lemma	upos	xpos	form_sample	freq_in_corpus	GLOSS	CLS	PRCLITIC
,	PUNCT	punct	,	510			
ji	ADP	posp	ji	330			
boe	NOUN	n	boenure	324	boe-nu-re		
onarege	NOUN	n	itonaregedu	194	it=onerege-du		i=
jorudu	VERB	v	iorudumode	174	i=jorudu-modu-re		i=
a	PRON	bi	Akaba	130			
apo	ADP	posp	ebo	128	e=apo		e=
ako	VERB	v	ako	128			
_	ADV	adv	jamedu	106			
i	PRON	bi	ire	104			
e	PRON	bi	enure	90			
icare	ADV	adv	Icare	90			
?	PUNCT	punct	?	86			
tu	VERB	v	Itumode	82			
mako	VERB	v	Imagore	78			
.	PUNCT	punct	.	74			
ro	VERB	v	iromodukare	68			
keje	ADP	posp	keje	68			
imedu	NOUN	n	Imedu	68			
karo	NOUN	n	karo	68			
_	PUNCT	punct	,	66			
kuiada	NOUN	n	kuiada	66			
to	ADP	posp	to	66			
aregodu	VERB	v	Itaregodukare	64	are-godu		
_	ADP	posp	tada	64			
u	PART	prcl	ure	62	u=re		u=
maragodu	VERB	v	maragodui	58			
!	PUNCT	punct	!	56			
oino	ADV	adv	oino	56			
kodu	VERB	v	ikodumode	52			
bi	VERB	v	ewikare	52			
pobo	NOUN	n	pobo	50			
u	PRON	bi	Ure	48			
bataru	NOUN	n	ewadaru	48	e=bataru		e=
bai	NOUN	n	ubai	48			
ke	NOUN	n	ke	46			
maku	VERB	v	maku	46			
o	NOUN	n	eno	46			
to	VERB	v	to	46			
kae	ADP	posp	kaeba	46			
:	PUNCT	punct	:	44			
jorudu	VERB	v	Iorudure	42	i=jorudu-re		i=
imi	PRON	pron	imi	42			
bogai	ADP	posp	bogai	40			
adugo	NOUN	n	adugo	40			
piji	ADP	posp	piji	38			
awu	DET	dem	Awu	36			
ai	ADP	posp	inai	36			
woe	ADV	adv	woe	36			
aredu	NOUN	n	aredu	36			
nowu	DET	dem	Nowu	34			
wogu	VERB	v	iwogure	34			
mare	CCONJ	cconj	Mare	34			
kowuje	VERB	v	kowuje	32			
mugu	VERB	v	imugure	32			
_	PRON	_	tuwo	32			
aidu	VERB	v	Itaidure	32	it=aidu-re		i=
baru	NOUN	n	baru	32			
bokwa	X	x	bokwarewu	30	bokwa-re-wu		
mearudu	VERB	v	Imearudure	30	i=mearudu-re		i=
jorubo	NOUN	n	jorubo	28			
deu	NOUN	n	deu	28			
u	PRON	_	Ure	26			
joruduwa	VERB	v	paioruduwa	26	pa=jorudu-wa		pa=
tada	ADP	posp	tada	26			
tu	ADV	adv	tu	26			
moto	NOUN	n	moto	26			
aroe	NOUN	n	aroe	26			
;	PUNCT	punct	;	24			
tugu	VERB	v	tugu	24	tugu		
muga	NOUN	n	tumuga	24	muga		tu=
du	X	x	du	22			
bito	VERB	v	bito	22			
kigodu	PRON	bi	takigodure	22	ta=kigodu-re		ta=
aiwo	VERB	v	aiwodo	22	aiwo-do		
kodi	SCONJ	sconj	kodi	22			
pa	PRON	bi	pamode	20	pa-modu-re		pa=
koia	ADP	posp	Aigoia	20			
ie	NOUN	n	ie	20			
meri	NOUN	n	meri	20			
ae	ADP	posp	ae	20			
toro	ADV	adv	toro	20			
ia	DET	dem	ia	20			
keje	SCONJ	sconj	dukejere	20	du-keje-re		
_	DET	dem	awu	18			
du	PART	prcl	du	18			
pugeje	ADV	adv	pugeje	18			
_	NOUN	noun	Ioga	18			
dukeje	SCONJ	sconj	dukeje	16			
onaregedu	NOUN	n	tonaregedu	16			
boi	NOUN	n	boi	16			
bagai	ADP	posp	bagai	16			
mana	NOUN	n	imanamage	16			
duji	X	x	duji	16			
kera	NOUN	n	Akera	14			
kuru	NOUN	n	kurudo	14			
kiogo	NOUN	n	kiogo	14			
okwage	VERB	v	okwagedo	14			
oredu	NOUN	n	oredu	14			
imejera	NOUN	n	eimejera	14	e=imejera		e=
tabo	ADP	posp	tabo	14			
i	NOUN	n	i	14			
a	PRON	bi	are	14	a=re		a=
ro	NOUN	n	ero	14			
roga	ADV	adv	roga	14			
ce	PRON	bi	Cenure	12			
pemega	ADV	adv	pemegado	12			
pega	VERB	v	Pegakare	12	pega-ka-re		
boepa	NOUN	n	boepa	12			
pega	ADV	adv	pegare	12			
karega	X	x	karega	12			
jamedu	ADV	adv	jamedu	12			
kuri	NOUN	n	kurire	12			
kodu	NOUN	n	kodu	12			
ino	ADV	adv	ino	12			
joku	NOUN	n	joku	12			
meru	VERB	v	imeruie	12	i=meru-ie		i=
kado	VERB	v	kado	12			
kuri	ADV	adv	kurikare	12	kuri-ka-re		
kudu	NOUN	n	kudu	12			
kaboba	PRON	pron	kaboba	12			
i	PRON	_	imode	12	i=modu-re		i=
kuguri	NOUN	n	kugure	12			
pega	NOUN	n	pegare	12			
meru	NOUN	n	imeru	12			
dukeje	ADV	adv	Dukeje	12	du-keje		
...	PUNCT	punct	...	12			
kimo	ADV	adv	kimo	10			
rema	AUX	cop	rema	10			
tugo	NOUN	n	tugo	10			
tori	NOUN	n	tori	10			
ju	NOUN	n	ju	10			
rakoje	VERB	v	rakojere	10			
ema	PRON	pron	emage	10			
pagi	PRON	pron	pagi	10			
João	PROPN	propn	João	10			
pemega	NOUN	n	Pemegarewu	10			
i	ADP	posp	ji	10			
ki	NOUN	n	ki	10			
ciri	VERB	v	ciri	10			
kuda	ADP	posp	Pagudawu	10	pa=kuda-wu		pa=
_	VERB	vc	etamudo	10			
paru	NOUN	n	paru	10			
kodomai	ADV	adv	kodomai	10			
ogwa	NOUN	n	Iogwa	10	i=ogwa		i=
rutu	VERB	v	Irudumode	10	i=rutu-modu-re		i=
mea	NOUN	n	mea	8			
Fabrício	PROPN	propn	Fabrício	8			
jure	NOUN	n	Juremode	8			
akore	VERB	v	akore	8			
oreduje	NOUN	n	oreduje	8			
karega	ADV	adv	karega	8			
boku	NOUN	n	Boku	8			
ca	INTJ	intj	Ca	8			
pugeje	ADV	adv	pugeje	8			
barogwato	ADV	adv	barogwato	8			
marido	NOUN	n	marido	8			
barogo	NOUN	n	barogo	8			
ji	NOUN	n	ji	8			
inoba	PRON	whp	Inoba	8			
baiga	NOUN	n	baiga	8			
mearudae	VERB	v	mearudaerewu	8	mearudae-re-wu		
towuje	VERB	v	towuje	8			
ko	VERB	v	akore	8	ako-re		
u	PART	prcl	ure	8	u=re		u=
bope	NOUN	n	bope	8			
kori	ADP	posp	kori	8			
pemega	VERB	v	pemegado	8	pemega-do		
imi	PRON	pro	imi	8			
paga	VERB	v	pagare	8			
negedurogu	NOUN	n	negedurogu	8	negedu-rogu		
arigao	NOUN	n	arigao	8			
joruduiwa	VERB	v	ioruduiwamode	8	i=jorudui-wa-modu-re		i=
kuri	VERB	v	kurire	8	kuri-re		
tu	PRON	bi	ture	8			
cewu	DET	dem	ce	8			
arego	VERB	v	arego	8			
Maria	PROPN	propn	Maria	8			
butu	VERB	v	butu	8			
barigu	VERB	v	barigu	8			
ragodu	VERB	v	tumaragoduwo	8	tu=maragodu-wo		tu=
kuri	ADJ	adj	kurirewu	8			
bito	VERB	vt	bito	8			
maku	VERB	vt	maku	8			
maragodu	VERB	vi	Imaragodumode	8	i=maragodu-modu-re		i=
ma	SCONJ	sconj	ma	8			
kajao	ADV	adv	Kajao	8			
biri	NOUN	n	biri	8			
wie	NOUN	n	Awie	8			
kigadu	NOUN	n	kigadu	8			
konorigi	NOUN	n	Konorigi	8			
kocare	ADV	adv	Kocare	8			
Jakomea	PROPN	propn	Jakomea	8			
bataru	NOUN	noun	ewadaru	6			
jitu	X	x	jitu	6			
_	SCONJ	sconj	ma	6			
Mariel	PROPN	propn	Mariel	6			
bie	NOUN	n	Iwie	6			
inoba	ADV	adv	Noba	6			
kuricigo	ADV	adv	kuricigore	6	kuricigo-re		
kimao	NOUN	n	kimao	6			
akedu	VERB	v	akedure	6	akedu-re		
je	ADV	adv	je	6			
Fabrício	PROPN	_	Fabrício	6			
mare	CCONJ	_	mare	6			
meriri	NOUN	n	Meriri	6			
buke	NOUN	n	buke	6			
ika	NOUN	n	ika	6			
okwa	VERB	v	togwagedo	6	t-okwage-du		tu=
marigudu	ADV	adv	Marigudu	6			
itura	NOUN	n	itura	6			
kare	NOUN	n	kare	6			
