source	book	genre	language	notes
Genesis	Genesis	scripture	bor	DOCX parsed (heuristic ch/verse)
Psalms	Salmos	scripture	bor	JSON structured; PT empty
Novo Testamento	Novo Testamento Ochoa	scripture	bor	TXT parsed (heuristic)
Ageu	Ageu	scripture	bor	TXT parsed (heuristic)
Amos	Amos	scripture	bor	TXT parsed (heuristic)
Baruc	Baruc	scripture	bor	TXT parsed (heuristic)
Cantico Dos Canticos	Cantico Dos Canticos	scripture	bor	TXT parsed (heuristic)
Cronicas 1 2	Cronicas 1 2	scripture	bor	TXT parsed (heuristic)
Daniel	Daniel	scripture	bor	TXT parsed (heuristic)
Deuteronomio	Deuteronomio	scripture	bor	TXT parsed (heuristic)
Eclesiastes	Eclesiastes	scripture	bor	TXT parsed (heuristic)
Eclesiastico	Eclesiastico	scripture	bor	TXT parsed (heuristic)
Esdras	Esdras	scripture	bor	TXT parsed (heuristic)
Joel	Joel	scripture	bor	TXT parsed (heuristic)
Jonas	Jonas	scripture	bor	TXT parsed (heuristic)
Josue	Josue	scripture	bor	TXT parsed (heuristic)
Judite E Ester	Judite E Ester	scripture	bor	TXT parsed (heuristic)
Juizes	Juizes	scripture	bor	TXT parsed (heuristic)
Lamentacoes	Lamentacoes	scripture	bor	TXT parsed (heuristic)
Levitico	Levitico	scripture	bor	TXT parsed (heuristic)
Macabeus 1	Macabeus 1	scripture	bor	TXT parsed (heuristic)
Macabeus 2	Macabeus 2	scripture	bor	TXT parsed (heuristic)
Malaquias	Malaquias	scripture	bor	TXT parsed (heuristic)
Numeros	Numeros	scripture	bor	TXT parsed (heuristic)
Oseias	Oseias	scripture	bor	TXT parsed (heuristic)
Proverbios	Proverbios	scripture	bor	TXT parsed (heuristic)
Reis 1	Reis 1	scripture	bor	TXT parsed (heuristic)
Reis 2	Reis 2	scripture	bor	TXT parsed (heuristic)
Rute	Rute	scripture	bor	TXT parsed (heuristic)
Sabedoria	Sabedoria	scripture	bor	TXT parsed (heuristic)
Samuel 1	Samuel 1	scripture	bor	TXT parsed (heuristic)
Samuel 2	Samuel 2	scripture	bor	TXT parsed (heuristic)
