id,bororo
1,"Meri rekodutabo, Jerigi Otojiwu uwadodure, akore: - Kodire inagoino, iorubodare Meriribaru (paiwedu)  akae, akado toro aerubo bogai."
2,"Icare boecodure, icare barogwa kododure."
3,"Dukeje icare eture tuwobe emuga kae, egore: Nogware kugure, cegodo toro. Boe baado. Ceregodumode pagagu aroe etae."
4,Icare egore: - Irogodu kowu.
5,"Icare eregodure Meriribaru ae, eregodure Kuruguga ae. Icare ere ekujagudo. Icare ere eporaido, ere okwa akirido; ere ekera ra paru codo, ere okwa akirido; ere ewure ra paru codo, ere okwa akirido. Icare ere pariko tugu etaoto, ere tôro kogudo ekajeje. Icare eture ebo bororo kae."
6,Egogodure tuduwo: - m m m m m... Icare eture cuku cuku cuku bororoji.
7,"Akedure icare, ere tura kado. Icare cewu aroe etuo aregodure, ure tumugudo tu ewure paru. Ere cimo pariko, ere tuwabo, ere makai tu."
8,"Ca! Uture tabo tuwai kae, ure jeto tu tuieda keje."
9,"Meri rekodutabo (5 horas), Akaruio Bokodori (Bak.) rekodure Tadugo ae, ure tugera kogudo iera kajeje, kodure apo jii... uwobe etae. Ure mugudo tu, tuwobe emuga keje."
10,"Bakorokudu (Bad.) rekodure Manobaru (Ar.Ceb.) ae, ure tugeragu ji, kodo apo jii... woje tuwobe emuga kae. Ure mugudo tu tuwobe emuga keje (Bakorokudu muga keje)"
11,"Jerigi Otojiwu rekodure Butoregadu ae, ure tugeragu ji, kodo apo jii tuwobe etae, ure mugudo tu... tumuga keje."
12,"Dukejere icare ere tugeragu Iwagududoge eiameduji, ime, areme eiameduji, ere erego baito."
13,"Akaruio Bokodori rekodure Meriribaru (Paiwedu) ae, rekodure Kuruguga (Ap.) ae (Adugodoge eimejeragere emage)."
14,"Dukeje icare nogware ere emugudo ba tada tu tu, ere emugudo tuwobe emuga keje."
15,"Meriribaru mugure tuwobe emuga keje, Kuruguga mugure tuwobe emuga keje."
16,"Dukeje icare Adugo Corewu (Tadugo) akogodure, akore: pf... pf..."
17,Dukeje icare Butoregadu (Adugo Corewu jamedu) akogodure.
18,Dukeje icare Kaigu (Adugo Kujagurewu) akogodure.
19,Dukeje icare Manobaru (Adugo Kujagurewu oro) akogodure.
20,Dukeje icare Meriri Baru (Adugo Meri) akogodure: buri buri buri...
21,Dukeje icare metuia Kuruguga (Adugo Meri) akogodure: buri buri buri...
22,"Dukeje icare Iwagududoge eiamedu (ime, areme) akogodure"
23,Boeco paruji egogodure. . Boeco paruji adugodoge egogodure.
24,"Nonore icare Tadugo akogodure mito tu je, akore: bu... bu... bu..."
25,Nonore icare eiamedu akogodure.
26,"Barogwa rore já tuku, egoino dukeje."
27,"Icare erore ta... toro boeto tuiamedutabo, tuiorubo kae, kado kae, bai kae jamedu."
28,"Nowu Akaruio Boroge, nowu Mamuiawugeceba, nowu Jerigi Otojiwu, etuwage ipare eiamedu eture kado kae, eture bai kae, nowu adugodoge eigace (As taquaras vão ser os arcos das onças)."
29,"Dukejere icare etaregodure nowu kado tabo, bai tabo, Meri jetui woe pagudu jitu tabo (meia manhã)."
30,"Merire kroci awu pagaia piji (1 hora da tarde) dukejere icare eregodure nowu Tugarege etae pugeje. Icare ere nowu kado kogudo nowu bai tabo, du tonajire ere nowu adugodoge ewirido (os colocam em fila), tuwo edugodo nowa tabo, irogodutabo."
31,"Ere nowu ico akedudo dukeje icare ere edugodo nowa tabo, ere to co! nowu rotu kuruto, dure ere to co! ewirito."
