id,bororo,fonte
1,Paje Maria Pedrosa:,Pedrosa
2,"Ia boe keje, adugo buke etaregodure puae.",Pedrosa
3,Buke jemarunure tugérogu bogai.,Pedrosa
4,"Adugo jamedu, icare etaregodure puae.",Pedrosa
5,"Buke roiwakare pudabo. Adugo ure tuboredo ji ca makore ji: U! Akaregodure mato, mato amugudo tu woe itabo. Icare adugo ure tumugudo tu buke apo. Buke akore: amugudo woe itogi boe, woe itogi amumode tu woe.",Pedrosa
6,"Paekuwo pudogi oino, adugo akore uie.",Pedrosa
7,"Ure tumugudo toro buke oino togi akore: aké boire ai, imi jamedu iké boire i jamedu. Kode parowo oino, pabegodumode icá pagaiwo mode pu peto.",Pedrosa
8,Boe rá meture pé tadawure umode tumeduia ko.,Pedrosa
9,"Oino paromode, icare adugo akore: U, u boe jokodu oinono rugado oino paromode.",Pedrosa
10,"Oino icá, buke akore: Cá pawo paeku mi. Pawo paeku mi.",Pedrosa
11,"Icare adugo ure tuioko mi, tuioko bu puwogeje tu.",Pedrosa
12,"Ure tubewudo pudui, ure tubewudo pudui, cá pegodure.",Pedrosa
13,Buke jamedu pegodure jamedu. Ure tuioko jado aaa aiwore adugo pegodure icá tugera raido jiii toro kuda tugerago nowu adugo upeji tumugudu tu tuguda.,Pedrosa
14,Icare ure tugeragu nowu tube remawuji mugudu toro adugo kuda.,Pedrosa
15,"Ica akore: pawo paeko jado, icá adugo ure tuioko jado.",Pedrosa
16,Icá akore: pagaiwowo paguda kakodiwu pé to ba boe ra metumode.,Pedrosa
17,Icá etaiwore tuguda oh oh.,Pedrosa
18,Oinore kumodogere adugo pé toda.,Pedrosa
19,Buke remawu rema icá oinore boe rare peto.,Pedrosa
20,Icá adugo kiarigodure.,Pedrosa
21,"Icá buke akore: imodukare akowuje, iroiwamodukare ai.",Pedrosa
22,Mare imode aeku tá.,Pedrosa
23,Adugo akore: ui.,Pedrosa
24,"Icá buke ure tuginogi tugu jokuto ure awu joku tá, ure awu metuia tá toku je.",Pedrosa
25,"Icare adugo ragudure akore iaa, iaa, iaa.",Pedrosa
26,Tudu tabo.,Pedrosa
27,"Buke jamedu uture jamedu,",Pedrosa
28,Icá adugo ragudure tugodui jorudukare boeji pugeje. Joku bokware.,Pedrosa
29,"Icá makore boe jamedu boe, awu kiogo, awu barege kugure boe ewo tugera bararedo pudui tuioko bokware kodi.",Pedrosa
30,"Icá, icare aregodure kuo ae, kuo.",Pedrosa
31,Icá makore kuoji.,Pedrosa
32,"Akore: imeduia nure aki, imeduia nure aki akera bararedo i, ioku bokware ah icá.",Pedrosa
33,"Kuo akore: u boe jokodu, boe jokodu inuba boere kaboba inuba boere ai pugeje kodiba aeku bokware oino.",Pedrosa
34,"Icare adugo akore: ohh buke ure ioku tá dukodire ioku bokware kodire iedure boeji doi doi doi oino kodire inagoi oino boewo ia, boewo tugera bararedo i.",Pedrosa
35,"Icare kuo akore: u amugudo tuguda tu nono iemarumode ia aeku bogai, ia woe.",Pedrosa
36,"Icá, nono icare uture kodure jii bokwado i paru kae.",Pedrosa
37,"Icá nowu bokwado i, aiwore ji, aiwore ji ahh urugado.",Pedrosa
38,Aiwore iji ahh woe rugado. Icá tuwurerogu tugu mototo jawu.,Pedrosa
39,Icá jorudure nowu ia bokwado i kuruji.,Pedrosa
40,DuBoe egore bokwadobe oino ji.,Pedrosa
41,"Icare ure tugerago ji, tuwurerogu reko ji, kugaru tá piji, icá aiwore ji ahh urugado ure mugudo tu.",Pedrosa
42,Icá jemarure metuia bogai pugeje.,Pedrosa
43,"Tuwure tugu mototo jice woje, icá jorudure iaji pugeje.",Pedrosa
44,"Aiwore jice icá awurogu kodure, ure pobe.",Pedrosa
45,"Icare uture adugo bogai, icare aregodure ae.",Pedrosa
46,"Icá ure nowu joku jado oino, icá ure nowu bokwadobe tugu karai jokuto, ure awu metuia jado pugeje ure awu metuia tugu karai jokuto.",Pedrosa
47,Icare akore: Icá aeku jado.,Pedrosa
48,Icá adugo ure tuioku jado icá nono jorudure boeji. Aiwo pemegare pugeje. Icare jekarere.,Pedrosa
49,"Dukeje makore kuoji akore: ia amureworogu keje awiapagamode tu amearudumode iwurea akoji tu akagodo “ Okwakuo “ “ Okwakuo “ oino, oinore akagomode.",Pedrosa
50,"Du ioruduiwamode amugure nono duji, imode boe pado baii oino akoiei.",Pedrosa
51,Ikera iwure jokawo awugeje.,Pedrosa
52,Icare akore uie boe jokodu.,Pedrosa
53,"Icá nowu adugo uture mare icá joku pemegare aiwore tubiji, ure tuimaedu icá uture.",Pedrosa
54,Kodo jii icare aregodure ia boekumeki kae.,Pedrosa
55,Aiwore tu icá  jorudure cowu bukeji jice pugeje.,Pedrosa
56,Icá akore: icá imode akowuje oino icare imode akowuje.,Pedrosa
57,Icá ure tubodudo ji bakuru jore oino mato buke joruduwakare adugo koduie mato pudai duji.,Pedrosa
58,"Icá bakuru jore oino woje pugeje, icare ure tudugodure icare aiwore tu tuibagi oino ah adugo puredugodure ae, icare rekodure, rekodure, rekodure adugo kodure kodaji uture tabo.",Pedrosa
59,"Icare roiwakare pudabo pugeje, icare aregodure ia koiwo paru kae, nowu koiwo kurire.",Pedrosa
