form	segmentation	morphemes	gloss	status	note
corewu	co-re-wu	co|-re|-wu	preto|IND|REL	confirmed	Predicado lexical seguido de indicativo e relativizador.
kujagurewu	kujagu-re-wu	kujagu|-re|-wu	vermelho|IND|REL	confirmed	Predicado lexical seguido de indicativo e relativizador.
Adugo	a-tugo	adugo	felino|pinta	confirmed	
ai poborewu	ai pobo-re-wu	ai|pobo|-re|-wu	felino|água|IND|REL	confirmed	Expressão lexical com mais de uma palavra; felino associado à água.
ure	u=re	u|re	3.SG=IND	confirmed	Proclítico de terceira pessoa singular com indicativo.
imagore	i=mako=re	i|mako|re	1.SG|fala|IND	confirmed	Eu falei
Pao	pa=o	pa|o	1.PL.IN|pai	confirmed	
akore	ako=re	ako|re	dizer|IND	confirmed	
ji	ji	∅|ji	3.SG|POSP		A posposição ji é glosada aqui como POSP, por ser polêmica, ou seja, ter muitos significados.
jiwu	jiwu	∅|ji|wu	3.SG|POSP|NOMZR	confirmed	
kurirewu	kuri=re-wu	kuri|re|wu	grande|IND|NOMZR		
Pagimejera	pa=imejera	pa|imejera	1.PL.IN|chefe	confirmed	
aregodumode	are-godu-modu=re	are|godu|modu|re	trazer|INC|IRR|IND	confirmed	
duwugere	du-wu-ge=re	du|wu|ge|re	X|NOMZR|PL|IND	confirmed	
judeudoge	judeu-doge	judeu|doge	judeu|PL	confirmed	
cewu	ce=wu	ce|wu	1.PL.EX|SUB	confirmed	
keje	keje	∅|keje	3.SG|em	confirmed	
eiamedu	e=jamedu	e|jamedu	3.PL|todos	confirmed	
pegarewu	pega=re-wu	pega|re|wu	mau|IND|NOMZR		
nure	nu=re	nu|re	PROG|IND	confirmed	
