id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-1PE-001-HEAD-001	I. PEDRO	1PE	1		Boe paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-1PE-001-001	I. PEDRO	1PE	1	1	Pedro, Jesus Cristo o apostolo, pemegareuge eedui ia moto tuginoiwuge etai, Ponto, Galácia, Capadócia, Asia, Bitínia kejewuge etai.		
BOR-CORBO-BM-1PE-001-002	I. PEDRO	1PE	1	2	"Paore tugeragu tai tuiorduwai tai du kodi, Aroe Pemegareu ure tabemegado tameartoruwo Jesus Cristo bataruji, taedorogoduwo ku koia. Pao o boe pemegareu boe butugureu makudu kuriwo tagai.
Pao ro."		
BOR-CORBO-BM-1PE-001-003	I. PEDRO	1PE	1	3	Pawo Pagimejera Jesus Cristo Uo Aroe Eimejera akaru pemegado. Okudu uiagudu koiare ure pawodudo pugeje ia boe epagare bogaiboe jereu kae, Pagimejera Jesus Cristo jewodui bireuge epiji du koia.		
BOR-CORBO-BM-1PE-001-004	I. PEDRO	1PE	1	4	Ia makudumode baru tada tagaiboe umodukare tubegado, ia pegareu ukare, bimodukare, du bogaire ure taewodudo.		
BOR-CORBO-BM-1PE-001-005	I. PEDRO	1PE	1	5	"Tameartoru koiare Pao ro rakareu jeture tai, tawo taginorudo; boe emode awu inodu pawuje boiboe keje.
 Pao Onaregedu ro."		
BOR-CORBO-BM-1PE-001-006	I. PEDRO	1PE	1	6	Awu inodu koiare ure taegaredo, tagiarigodure biega tu je kimo boe ecebae makareu keje kodi karega.		
BOR-CORBO-BM-1PE-001-007	I. PEDRO	1PE	1	7	Tamaertorae jetorogodure awu tajebae tabo, mare boe emago pemegawo tai du bogai, boewo tagurido, Pagimejera Jesus Cristo umode towadudo du keje. Tameartorae kodure meriri ekureu kori, dure pemegagodure joru tabo, akedumode kodi karega.		
BOR-CORBO-BM-1PE-001-008	I. PEDRO	1PE	1	8	Tameardu kurire Jesusji taerdukai jitu tabo. Taerdukare ji roga mare tameartorure ji, du kodire taegare jore tuwugeje.		
BOR-CORBO-BM-1PE-001-009	I. PEDRO	1PE	1	9	"Paga karega, taerduwa birigodure tagaroe umode cinorudo tameartorae morice duji.
Aroe Pemegareu ro."		
BOR-CORBO-BM-1PE-001-010	I. PEDRO	1PE	1	10	Awu taginorudae tore profetadoge ere tumeardae tugu, duwuge emagore tagonagodumode jiwu boe pemegareuji.		
BOR-CORBO-BM-1PE-001-011	I. PEDRO	1PE	1	11	Eemarure Cristo Utaroe Pemegareu mugure ebowu makore jiwu boemode kejewu bogai. Du kodire emagore Cristo jiwomodeduji, umode tugurido pemega pugeje duji.		
BOR-CORBO-BM-1PE-001-012	I. PEDRO	1PE	1	12	"Ewiedure tuie awu bakaru kogado, mare pudai karega, tagai. Oinore icare awu inodu awadodure tawiegai pugeje, ure Bakaru Maiwu Pemegareu kogado tawiegaiwuge eigoia, aregodure baru pijiwu Aroe Pemegareu koia. Awu bakaru jire tupadoge etaidure tuiorduwo ji jamedu.
Boei tubemegadodu."		
BOR-CORBO-BM-1PE-001-013	I. PEDRO	1PE	1	13	Tagaroe kogudo tabeagajejewu tabo, taedorodo tai, tabaga jodo makudumode tagai Pagimejera Jesus Cristo umode towadudo jiwu meri kejewu boe pemegareu bogai.		
BOR-CORBO-BM-1PE-001-014	I. PEDRO	1PE	1	14	Boe etore emeartorui tuomage ewadaru jitu reore, tagi jamedu, tarokaba tameardae mariguduwuji, paga karega, nowu boe keje taerduwakare boeji.		
BOR-CORBO-BM-1PE-001-015	I. PEDRO	1PE	1	15	Umagai makore taiwu pemegare du reore, tagi jamedu tabemegado boe jameduji.		
BOR-CORBO-BM-1PE-001-016	I. PEDRO	1PE	1	16	Ica, bapera pemegareu keje atugododure oino: “Tabemegado, ipemegare kodi”  (Lev 11,44).		
BOR-CORBO-BM-1PE-001-017	I. PEDRO	1PE	1	17	Tagagore cewu ure tugogado boei tukai boe ewarigu pubijiwu, tao iure ema duji ma, tabagududo ce taedui awu moto keje du tonaji.		
BOR-CORBO-BM-1PE-001-018	I. PEDRO	1PE	1	18	Taerdure tagarududodure taro pegareu mariguduwu piji, mare meriri ekureu, meriri kigadureu tabo karega.		
BOR-CORBO-BM-1PE-001-019	I. PEDRO	1PE	1	19	Mare Cristo ku mori kuricigoreu tabore tagarududodure. Emare Cordeiro maiwu iwureu nure ema.		
BOR-CORBO-BM-1PE-001-020	I. PEDRO	1PE	1	20	Pemegare jii moto towujedumodedu otodai, mare boiboe kejere ure towadudo tumeardu kuri koia tai.		
