id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-1TH-001-HEAD-001	I. TESSALONICENSES	1TH	1		Boe paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-1TH-001-001	I. TESSALONICENSES	1TH	1	1	Paulo, mare Silvano, mare Timóteo, cenure awu bapera atugodo Tessalônica kejewu Igreja bogai, Pao Aroe Eimejera ie tabo, Pagimejera Jesus Cristo ie tabo. Boe pemegareu, boe butugureu muguwo tagabo.		
BOR-CORBO-BM-1TH-001-002	I. TESSALONICENSES	1TH	1	2	Cere tukutaido tu tu Paoji tagai, cewiabutui tu tu tawugeje cenogwa kuridodae boe keje.		
BOR-CORBO-BM-1TH-001-003	I. TESSALONICENSES	1TH	1	3	Paga karega, Pao Aroe Eimejera jekai, cewiabuture tu tu tamaragodui tameartorae tabo, taiagudu tabo, tabaga tabo Pagimejera Jesus Cristo bogai du tabo, Pao Aroe Eimejera aiwoi tai du keje.		
BOR-CORBO-BM-1TH-001-004	I. TESSALONICENSES	1TH	1	4	Pao meardu kurire jiwu cewiemage, ceerduware Pao makoi tawogai duji.		
BOR-CORBO-BM-1TH-001-005	I. TESSALONICENSES	1TH	1	5	Paga karega, cereadodure Pao o bakaru Pemegareuji tawiegai, mare cewadaru tabo tu je karega, mare cero raka tabo, Aroe Pemegareu tabo, boe rikireu tabo.		
BOR-CORBO-BM-1TH-001-006	I. TESSALONICENSES	1TH	1	6	Tagirema tagodure ceregodaji, Pagimejera rekodaji, tai tageragu Pao Bakaruji taegare tabo, Aroe Pemegareu tabo, tajebae kuricigoreu oiado.		
BOR-CORBO-BM-1TH-001-007	I. TESSALONICENSES	1TH	1	7	Oinore tare boe enoebatodudaedo tagi Macedônia kejewu, Asia kejewu meartorureuge etai.		
BOR-CORBO-BM-1TH-001-008	I. TESSALONICENSES	1TH	1	8	Boe jokodu Pao bataru utui tabijidu ako aregodure Macedônia kae, tu karega, Acaia kae tu karega, mare tameartorui Pao jidu ure taodo boe jamedu boe parugajeje. Du kodire cemago jokodumodukare awu inoduji.		
BOR-CORBO-BM-1TH-001-009	I. TESSALONICENSES	1TH	1	9	Boe jokodure, boe ereadodu nure boe jamedu boe keje inoba tare tageragu cei, tai tagera ra paga pagawu aroe eimejerage epiji, tawo tagirimi Pao remawu ae, tawo Pao remawu utugaregedo tagi.		
BOR-CORBO-BM-1TH-001-010	I. TESSALONICENSES	1TH	1	10	"Tabagawo aregodui baru pijiwu tonaregedu jewodui bireuge epijiwu Jesus bogai, du ure pagaru boe ekodu kagirae aregodumodedu piji.

2b.Iwiemage, cemeartorui Pao jitu koia ure cedurudo cemagowo Pao o Bakaru Pemegareuji tawiegai, boe pemegakadu oiado."		
BOR-CORBO-BM-1TH-001-003	I. TESSALONICENSES	1TH	1	3	Awu cenagoi taidu aregodukare boe jokodukaredu piji, cewo taeku to pui karega, cewo taekuri pagado karega.		
BOR-CORBO-BM-1TH-001-004	I. TESSALONICENSES	1TH	1	4	Mare Pao meartorure cei, cewo ime etaidudo du bogai karega, mare cewo Pao, aiwore pawabotodu, aidudo du bogai.		
BOR-CORBO-BM-1TH-001-005	I. TESSALONICENSES	1TH	1	5	Paga karega, jii je cekare iaboe iaboe ekurido paga tu je, taerduware oinoduji. Jii je cerokare iaboe boeji ceemarui awu moto kejeboe bogai du tabo. Pao jorduware nowu boe oinoduji.		
BOR-CORBO-BM-1TH-001-006	I. TESSALONICENSES	1TH	1	6	Ceemarukare boewo cegurido du bogai, tawo cegurido du bogai karega, ia boe ewo cegurido du bogai karega.		
BOR-CORBO-BM-1TH-001-007	I. TESSALONICENSES	1TH	1	7	Cristo o apostolodogei cegi du reorere, umode turugadu cewo cedo nono boe kurireuge boe eegai. Du kodi karega, cere cewiegado tadoda. Cerore nono aredui tore enogwagirido du reore.		
BOR-CORBO-BM-1TH-001-008	I. TESSALONICENSES	1TH	1	8	Du reorere cenogudu ceiagudu tagabodu koiare, cedaidure cewo Bakaru Pemegareu maku tagai, mare tu je karega, cewiwo tu tawugeje jamedu, cemeardu kurire jiwugere tagi kodi.		
BOR-CORBO-BM-1TH-001-009	I. TESSALONICENSES	1TH	1	9	Tawiabuture cemaragodae keje, cemedugodae keje. Cemaragodui boecoji, meriji, cekawo tamorora amagadudo tai du tabore cere Pao o Bakaru Pemegareu kogado.		
BOR-CORBO-BM-1TH-001-010	I. TESSALONICENSES	1TH	1	10	Taerduware, Pao jorduware jamedu, oinoie cero pemegare, cero jetorore, cero pegakare meartorure Pao jiwuge tai.		
BOR-CORBO-BM-1TH-001-011	I. TESSALONICENSES	1TH	1	11	Taerduwa birigodure ceroi tu tu tai umagai ia imedu roi torei du reore duji.		
BOR-CORBO-BM-1TH-001-012	I. TESSALONICENSES	1TH	1	12	Cenogituware tai, cere tameardu awadudo tai, cemagore tai tarowo nono Pao orere emawuge ereore, du makore tawogai to boe pemegareu kae, turugu pemegareu kae.		
BOR-CORBO-BM-1TH-001-013	I. TESSALONICENSES	1TH	1	13	Du kodire cenure tukutaido tu tu Paoji, tare tageragu tameardure ji ceiabijiwu Pao bataruji kodi. Tare tageragu ui nono ime ewadaru reore karega, mare ui nono Pao Bataru ema remawu reore, du ro pemegare meartorure jiwuge tai.		
BOR-CORBO-BM-1TH-001-014	I. TESSALONICENSES	1TH	1	14	Paga karega, tagire, cewiemage, tagodure Pao o Igrejadoge emugui Judéia kejewuge eregodaji, Jesus Cristo o Igrejadoge eregodaji. Paga karega, tagi jamedu tawobere tajebaedo, judeudoge ero magai ei du reore.		
BOR-CORBO-BM-1TH-001-015	I. TESSALONICENSES	1TH	1	15	Awu judeudoge emidodu ere Pagimejera Jesus Cristo bito, ere profetadoge ewido, etonare cei jamedu, duwugere ekare Pao jekaredo, etonare boe eiamedu boeji.		
BOR-CORBO-BM-1TH-001-016	I. TESSALONICENSES	1TH	1	16	Etaidukare cemagowu judeukare emawugei ewo cinorudo du bogai. Oinore ere tudo jii turo pegareuji. Mare oino Pao korii eidu aregodure etae.		
BOR-CORBO-BM-1TH-001-017	I. TESSALONICENSES	1TH	1	17	Cegi, cewiemage, pawogware pubiji biega tu je, mare pawabo tada paedure puapo, pagaidu remawu nure paerduwo pui pugeje kuri je.		
BOR-CORBO-BM-1TH-001-018	I. TESSALONICENSES	1TH	1	18	Cere ceduiagu tawogai pobe tu je karega, imi, Paulo, mito tu je rakudu, mare Aroe pegareu  ukare ceroiwado.		
BOR-CORBO-BM-1TH-001-019	I. TESSALONICENSES	1TH	1	19	Tagi karega ure cebagare bogaiboe, ceegarere jiboe, cenojarore jiboe pagimejera Jesus Cristo jekai, aregodumode kejewu meri keje?		
BOR-CORBO-BM-1TH-001-020	I. TESSALONICENSES	1TH	1	20	U! Tagire cegareaere tagi, cenojaroraere tagi.		
BOR-CORBO-BM-1TH-003-HEAD-001	I. TESSALONICENSES	1TH	3		Timóteo ro.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-1TH-003-001	I. TESSALONICENSES	1TH	3	1	Mare ceroiwakare cebagawo gu pugeje, du kodi icare cedaidure cemuguwo ceginoi woe Atena keje,		
BOR-CORBO-BM-1TH-003-002	I. TESSALONICENSES	1TH	3	2	Cewo cewie Timóteo, Pao bure joia Cristo o Bakaru jiwu, utudo tawogai, uwo tadurudo, uwo tameardu awadudo tai tameartorae keje.		
BOR-CORBO-BM-1TH-003-003	I. TESSALONICENSES	1TH	3	3	Iaboe iaboe emorora amagadukawo awu cejebaeji. Paga karega, taerduware ceonai awu inodu paru kae duji.		
BOR-CORBO-BM-1TH-003-004	I. TESSALONICENSES	1TH	3	4	Ceedui tagabo kimo du keje, cemagore tawiegai ceerdumoduie cejebaeji, boe magai ceidure. Taerduwa pemegare inoduji.		
BOR-CORBO-BM-1TH-003-005	I. TESSALONICENSES	1TH	3	5	Du kodire icare iroiwakare iwuduguwo pugeje, icare ire iaboe enorado tagagaru bogai, ipagudure Aroe pegareu mode tawarigo boe pemegareu piji duji, pamaragodae paga rabodu ure.		
BOR-CORBO-BM-1TH-003-006	I. TESSALONICENSES	1TH	3	6	Macare Timóteo ure tugirimi tabiji, ure cewiie tameartoraeji, taro tagago pemegai pui duji. Ure cewiie tawiabutui tu tu cewugeje duji, tagaidui taerduwo cei kimo duji: Cegi cedaidure ceerduwo tai jamedu.		
BOR-CORBO-BM-1TH-003-007	I. TESSALONICENSES	1TH	3	7	Du kodire cewugugugodure tameartorae koia, awu cegiarigodu boe keje, cejebae boe keje.		
BOR-CORBO-BM-1TH-003-008	I. TESSALONICENSES	1TH	3	8	Icare cewodure pugeje ceerduwai tarokai doi doi boeji Pagimejera keje duji.		
BOR-CORBO-BM-1TH-003-009	I. TESSALONICENSES	1TH	3	9	Oinore cenure tukutaido Paoji tagai, ceegare kuricigore jekai taigoia du kodi.		
BOR-CORBO-BM-1TH-003-010	I. TESSALONICENSES	1TH	3	10	Oinore cemagore Paoji meriji, boecoji, ceerduwo tai pugeje, cewo ia okware kimo tameartoraejiboe pemegado.		
BOR-CORBO-BM-1TH-003-011	I. TESSALONICENSES	1TH	3	11	Pao Aroe Eimejera, Pagimejera Jesus Cristo edo cedawara boado ceduwo tagae.		
BOR-CORBO-BM-1TH-003-012	I. TESSALONICENSES	1TH	3	12	Pagimejarawo tameardu kurii puidu itodudo, cemeardu kuri magai tai du reore.		
BOR-CORBO-BM-1TH-003-013	I. TESSALONICENSES	1TH	3	13	Duma tawabo ro rakawo, pemegawo Pao Aroe Eimejera jekai, Pagimejera Jesus Cristo aregodumode toge pemegareuge ebo jiwu meri keje.		
BOR-CORBO-BM-1TH-004-HEAD-001	I. TESSALONICENSES	1TH	4		Okituwa nure boei, boewo tubemegado, boe enoguduwo puapo.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-1TH-004-001	I. TESSALONICENSES	1TH	4	1	Icare cewiemage, taerduwadodure ceiabiji inoba taromode tawo Pao jekaredo du bogai, tarore ino rugadu. Cenogwamagudu nure tai Pagimejera Jesus Cristo ie tabo, tagoduwo gu gu tagodobiji.		
