id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-1TI-001-HEAD-001	I TIMÓTEO	1TI	1		Bapera paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-1TI-001-001	I TIMÓTEO	1TI	1	1	Imi, Paulo, Jesus Cristo o apóstolo, ure paginorudowu Pao aidu koia, pabagare bogaiwu Pagimejera Jesus Cristo aidu koia.		
BOR-CORBO-BM-1TI-001-002	I TIMÓTEO	1TI	1	2	"Inure awu bapera atugodo meartorureu itonaregedu remawu Timóteo akae. Pao Aroe Eimejera mare Pagimejera Jesus Cristo eno boe pemegareu, boe okudureu, boe butugureu muguwo akabo.
Paga pagawu jorduwareuge."		
BOR-CORBO-BM-1TI-001-003	I TIMÓTEO	1TI	1	3	Imode awia jetu inagore ai itui Macedônia kae du keje boeji. Aragojemode Éfeso bakurireu tada, akawo iaboe iaboe ia turoiware jiboe tuginoiwu kogado.		
BOR-CORBO-BM-1TI-001-004	I TIMÓTEO	1TI	1	4	Etogea kawo bakaru paga pagareuji, boe enogiegidae akedu bokwareuji. Nowu inodu kodukare Pao aidure jiboe rekodaji, mare boe ekorigoduwo pui jice woje du bogai tu je.		
BOR-CORBO-BM-1TI-001-005	I TIMÓTEO	1TI	1	5	Awu inagore aiboe boe enogudodae nure ema, boture boe ewabo jetororeu piji, boe emeardae pemegareu piji, boe emeartoru rikireu piji.		
BOR-CORBO-BM-1TI-001-006	I TIMÓTEO	1TI	1	6	Iage, tui tudaru awu inagoino du piji, ere tumagu tuwadaru paga pagareu ai.		
BOR-CORBO-BM-1TI-001-007	I TIMÓTEO	1TI	1	7	Etaidure tuwo tudo nono boe eroiagudu epage ereore, mare eerduwakare tumagore jiboeji, tuiore kejeboeji.		
BOR-CORBO-BM-1TI-001-008	I TIMÓTEO	1TI	1	8	Ceerduware boe eroiagudu pemegaie ure duji, mare boe eromode tumeardae jetororeu tabo du keje.		
BOR-CORBO-BM-1TI-001-009	I TIMÓTEO	1TI	1	9	Boe eroiagudu todukare pemegareuge etai, mare pegareuge etai, meartorukareuge etai, meardae pegareuge etai, ukare tumagu Pao aiwuge etai, ure pemegareboe pegadowuge etai, ure tuje, tuo kiargodudowuge etai, ure boe ewidowuge etai.		
BOR-CORBO-BM-1TI-001-010	I TIMÓTEO	1TI	1	10	Iera keadureuge etai, akaru pegareuge etai, ure tumedage epegadowuge etai, batararodureuge etai, ure togwa pegadowuge etai, onare bataru pemegareu jiwuge eiamedu etai.		
BOR-CORBO-BM-1TI-001-011	I TIMÓTEO	1TI	1	11	"Oinore itonagodure jiwu Pao akaru kurireu o Bakaru Pemegareu akore.
Pao o boe pemegareu."		
BOR-CORBO-BM-1TI-001-012	I TIMÓTEO	1TI	1	12	Inure tukutaido Pagimejera Jesus Cristoji, ure idurudo, ure ido irugadu tumagoi iwogai tumaragodae kae duji.		
BOR-CORBO-BM-1TI-001-013	I TIMÓTEO	1TI	1	13	Marigudu iwadaru pegare boe pemegareuji, itonare boei, irorerure ei, kodi karega. Mare okudure itabo, irore iorduwa bokwa tabo, imeartoru kai kimo du koia.		
BOR-CORBO-BM-1TI-001-014	I TIMÓTEO	1TI	1	14	Icare Pagimejera o boe pemegareu kuri remawu nure ii, boe emeartorae tabo, Jesus Cristo okudae tabo.		
BOR-CORBO-BM-1TI-001-015	I TIMÓTEO	1TI	1	15	Boe jokodureu, boe etaidae reo: Cristo aregodure awu moto kae tuwo ro pegareuge edo cinorudo, duwuge etada boetojiwure imi rema.		
BOR-CORBO-BM-1TI-001-016	I TIMÓTEO	1TI	1	16	Okudu, oiagudu makudure inai ma, Jesus uwo togudu toiagudu awadudo inai boetoji ma, boe eerduwo ure tudo iiboeji, duma emeartoruwo ji jamedu, tuwo turemo boe eda pemegareu akedu bokwareuto.		
BOR-CORBO-BM-1TI-001-017	I TIMÓTEO	1TI	1	17	"Pao ore boe jamedu boe jiwu, bi bokwareu, paerdukare ji ui mito tu jedu, boewo akaru kurido, boe ewadaru jerebariwo apo jii je. Oino godu.
Boe enogituwae."		
BOR-CORBO-BM-1TI-001-018	I TIMÓTEO	1TI	1	18	Iioi profetadoge egoi aiboeji du keje, imago nure ai, itonaregedu Timóteo: Adurudodu pemegado aioi boe pemegareu keje du tabo.		
BOR-CORBO-BM-1TI-001-019	I TIMÓTEO	1TI	1	19	Akedu rakado ameartoraeji, ameardae pemegareuji. Iage ere tuwogwado tui tumeartorae pijido du tabo.		
BOR-CORBO-BM-1TI-001-020	I TIMÓTEO	1TI	1	20	Nowuge etada Himeneure, Alexandrere, duwugere ire emagu Aroe pegareu  ai ma, eerduwawo tukawo tuwadaru pegado boe pemegareuji.		
BOR-CORBO-BM-1TI-002-HEAD-001	I TIMÓTEO	1TI	2		Boe enogwamaguduwo boe eiamedu aidu.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-1TI-002-001	I TIMÓTEO	1TI	2	1	Imagore tai boetoji du reo: Tagogwamagududo, tagogwa kurido, tamode tukutaido boe eiamedu boe eparu tabo.		
BOR-CORBO-BM-1TI-002-002	I TIMÓTEO	1TI	2	2	Boe eimejerage kurireuge eparu tabo, jeture boeiwuge eiamedu paru tabo ma, ceragoje pemegawo, cero cemago jetorowo, cenogwamagudu tabo, cero jetororeu tabo jii je.		
BOR-CORBO-BM-1TI-002-003	I TIMÓTEO	1TI	2	3	Oinodu pemegare ure paginorudowu Pao jekai, ure jekaredo.		
BOR-CORBO-BM-1TI-002-004	I TIMÓTEO	1TI	2	4	Aidure boe eiamedu boewo cinorudo, eerduwawo boe rikireuji.		
BOR-CORBO-BM-1TI-002-005	I TIMÓTEO	1TI	2	5	Paga karega, Paore mito tu je, makore Paoji ime eparu tabowu ure mito tu je jamedu, dure imedu Jesus Cristo rema.		
