id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-2CO-001-HEAD-001	I I. CORÍNTIOS	2CO	1		Bapera paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-2CO-001-001	I I. CORÍNTIOS	2CO	1	1	Paulo, Jesus Cristo o apóstolo, Pao aidu reore, mare uwie Timóteo, Corinto kejewu Pao uwobe ewogai. Acáia kejewu pemegareuge eiamedu bogai jamedu.		
BOR-CORBO-BM-2CO-001-002	I I. CORÍNTIOS	2CO	1	2	"Pao Aroe Eimejera mare Pagimejera Jesus Cristo eno boe pemegareu boe butugureu jetuwo tagabo.
Paulo jekarei tujebae oiadodadu."		
BOR-CORBO-BM-2CO-001-003	I I. CORÍNTIOS	2CO	1	3	Pawo Pagimejera Jesus Cristo Uo Aroe Eimejera akaru pemegado. Pao okudureu ure boe ewudugugodudowu nure ema.		
BOR-CORBO-BM-2CO-001-004	I I. CORÍNTIOS	2CO	1	4	Ure cedo cedugu cegiwae jamedu boeji, du tabowo cere, jiwaere cereoreuge eiamedu boe ewo tudugu tudo jamedu.		
BOR-CORBO-BM-2CO-001-005	I I. CORÍNTIOS	2CO	1	5	Ica, cei cemeduiado Jesus Cristo jiwae jiboe, du reorere ure ceegare kurireu maku cenai.		
BOR-CORBO-BM-2CO-001-006	I I. CORÍNTIOS	2CO	1	6	Kode, cegiwaere, mare taegarewo tai, taginorudoduwo. Ceegare makudure cenai du reorewo taegare makuduwo tagai jamedu, tagiwa rakawo boe pegareu jamedu boeji, nono cegiwa raka magai boe pegareu jamedu jitu reore.		
BOR-CORBO-BM-2CO-001-007	I I. CORÍNTIOS	2CO	1	7	Cemeartoru rakare tai. Ceerduware tai tameduiado cegiwae jiboe reore, du reorere tamode tameduiado ceegaremode jiboeji jamedu.		
BOR-CORBO-BM-2CO-001-008	I I. CORÍNTIOS	2CO	1	8	Cewiemage, cedaidure taerduwawo Asia kejewu cegiwaeji. Ceiwa rakare cei, kurire cei nono, du inodu koia cemeardaere cemodukae ceebu cee tabo pugeje duji.		
BOR-CORBO-BM-2CO-001-009	I I. CORÍNTIOS	2CO	1	9	Cere nono cewimodeduiedu kodiwore. Mare nowu inodu ure tudowuje, duma cemeartorukawo cei, mare cemeartoruwo ure bireuge eewodudowu Paoji tu je.		
BOR-CORBO-BM-2CO-001-010	I I. CORÍNTIOS	2CO	1	10	Ure ceginorudo cewimodedu inodu piji, umode ceginorudo piji jamedu. Cebagare jamedu umode ceginorudo piji jii je du bogai jamedu.		
BOR-CORBO-BM-2CO-001-011	I I. CORÍNTIOS	2CO	1	11	"Mare tagi, tamode tagerabraredo cei, tai tagogwa kurido cebaru tabo du tabo. Du inodu tabo, Paore to boe pemegareu maku cenai, makareuge enogwa kuridodae koiadu, umode makareuge edo Pao akaru kurido, ceiboe koia.
Paulo makoi boe rikireu jitu."		
BOR-CORBO-BM-2CO-001-012	I I. CORÍNTIOS	2CO	1	12	Ca, cenojaromode cei kejeboe reo: ceerduware cero pemegai, cero jetoroi, awu moto keje tadoda remawu, mare boe eerduwa rakai moto kejeboe karega, mare Pao o boe pemegareu makudui cenai du koia.		
BOR-CORBO-BM-2CO-001-013	I I. CORÍNTIOS	2CO	1	13	Taroiware tamagowo ji bapera kejeboe, tamode pawujeboe du tabore cere bapera atugodo tawogai tu je. Ipagare taerduwa kororogodumode tu awu inodu jitu bogai, jii oto pa kae.		
BOR-CORBO-BM-2CO-001-014	I I. CORÍNTIOS	2CO	1	14	Ia jire taerduware marigudu: cegire ocaroreboe rema tagai, tamagai ocaroreboemode ema cenai du reore, Pagimejera Jesus Cristo aregodumode jiwu meriji.		
BOR-CORBO-BM-2CO-001-015	I I. CORÍNTIOS	2CO	1	15	Imeartorure awu inodu jamedu boeie oino rugadu duji. Du kodire boe paruto itaidure ituwo tawogai taegarewo pobe pugeje du bogai.		
BOR-CORBO-BM-2CO-001-016	I I. CORÍNTIOS	2CO	1	16	Cewu ikoduiagu Macedônia kae du kodiwu, ire ikoduiagu nono tagae boetoji, du keje, ii ikirimi Macedônia piji du tabo, ire ikoduiagu tagae pugeje, du pijire ia tagoduia itabo jii Judéia kae.		
BOR-CORBO-BM-2CO-001-017	I I. CORÍNTIOS	2CO	1	17	Ikodu pemega kana ure awu inoduji? Ikana ure iroiagu ino ia akomode - U!  Oino, du inodu tonaji akomode: - Boro!  Oino du reore kana?		
BOR-CORBO-BM-2CO-001-018	I I. CORÍNTIOS	2CO	1	18	"Pao jorduware imagoi taiboe ukae 
U! ukae Boro!  Oino pudonaji duji."		
BOR-CORBO-BM-2CO-001-019	I I. CORÍNTIOS	2CO	1	19	Mare paga karega, Pao Onaregedu Jesus Cristo, duwure Sila, Timóteo, imi, cemagore akaru tabo tai du ukare U! ukare Boro! oino pudonaji. Mare paci oino, ema ure U!		
BOR-CORBO-BM-2CO-001-020	I I. CORÍNTIOS	2CO	1	20	Pao makore turomode jiboe jamedu boe, ure tudowuje Cristo tada, ure nono Pao akoi: U. oino pai, Cristo koia. Du Kodire pagagore: Oino godu! oino Paoji, pai ie kurido du tabo.		
BOR-CORBO-BM-2CO-001-021	I I. CORÍNTIOS	2CO	1	21	Paga karega, Pao koia rugadure ure pameartorudo paei Cristo tada duji, ure pabemegado jamedu.		
BOR-CORBO-BM-2CO-001-022	I I. CORÍNTIOS	2CO	1	22	Pagire oere pagi. Ure to kruca bu pawugeje. Ure Tudaroe Pemegareu tugu pawaboto nono turoi paidu jamedu boe koia.		
BOR-CORBO-BM-2CO-001-023	I I. CORÍNTIOS	2CO	1	23	Pao jorduware imagoi taiboe boe rugadu jituji. Ikawo tagiarigo ire imeardae tawuje itukawo toro Corinto bakurireuto pugeje.		
BOR-CORBO-BM-2CO-001-024	I I. CORÍNTIOS	2CO	1	24	Cedaidukare tagimejerawo cegi tameartorae keje, mare paga karega, tagidare tameartorae keje marigudu. Oino paci je, cedaidu nure taegareae itoduwo tu je.		
BOR-CORBO-BM-2CO-002-HEAD-001	I I. CORÍNTIOS	2CO	2		Inoba boe eromode ure tuiaedo turo pegareu pijiwuji.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-2CO-002-001	I I. CORÍNTIOS	2CO	2	1	Ire imeardae tawuje itukawo tawogai pugeje, ikawo tagiarigodudo.		
BOR-CORBO-BM-2CO-002-002	I I. CORÍNTIOS	2CO	2	2	Mare paga karega, imode tagiarigo ma, inoba ipagamode cewu ire kiarigowuge ewo iegaredo du bogai?		
BOR-CORBO-BM-2CO-002-003	I I. CORÍNTIOS	2CO	2	3	Ire nowu bapera atugodo tawogai, ikiarigodukawo umode iegaredowuge eigoia, itaregodui toro du keje. Iorduwa birigodure ure iegaredoboe umode taiamedu boe eegaredo jamedu.		
BOR-CORBO-BM-2CO-002-004	I I. CORÍNTIOS	2CO	2	4	Ire cewu bapera atugodo tawogai imorora amagadu kuricigo tabo, ieguru kuricigo tabo jamedu, mare iwo tagiarigo du bogai karega, mare taerduwawo oinoie imeardu kuricigore taiamedu boe jituji.		
BOR-CORBO-BM-2CO-002-005	I I. CORÍNTIOS	2CO	2	5	Iaboe ure ikiarigo du keje, imi karega ure ikiarigo, mare taiamedu boere ure tagiarigo.		
BOR-CORBO-BM-2CO-002-006	I I. CORÍNTIOS	2CO	2	6	Ure turugadu nowu imedu ai, makareuge ei turorerui jitu dure.		
BOR-CORBO-BM-2CO-002-007	I I. CORÍNTIOS	2CO	2	7	Oino tawudugugodumode ji, tamode udo tudugu tudo ma, kiarigodu kuricigokawo, ukawo tuwido inodu koia.		
BOR-CORBO-BM-2CO-002-008	I I. CORÍNTIOS	2CO	2	8	Inogwamagudu nure tai tagoguduwo apo.		
BOR-CORBO-BM-2CO-002-009	I I. CORÍNTIOS	2CO	2	9	Ire cewu bapera atugodo tawogai du keje, itaidure iwo irokogado tai, iorduwawo taie tarugadu tameartoruwo inogituware tai jiboeji jii je duji.		
BOR-CORBO-BM-2CO-002-010	I I. CORÍNTIOS	2CO	2	10	Tawudugugodumode iaboei du keje iwudugugodumode ei jamedu. Paga karega, iwudugugodure iaboe ei du keje, iwugugodure ei mare imeardu kuricigoi tai Cristo jekai du koia.		
BOR-CORBO-BM-2CO-002-011	I I. CORÍNTIOS	2CO	2	11	Itaidukare Aroe pegareu wo taekuri pagado, paerduwa birigodure kaboba jiba aidure kodi.		
BOR-CORBO-BM-2CO-002-012	I I. CORÍNTIOS	2CO	2	12	Cewu itaregodui Tróade bakurireuto du keje, iordure Pagimejerai imaragodaemode emaboe jetu nono duji.		
BOR-CORBO-BM-2CO-002-013	I I. CORÍNTIOS	2CO	2	13	Mare imorora amagadu kuricigore iordukai pawie Tito jitu koia. Icare ikimadure ebo iperabiji, iture toro Macedônia moto kae.		
BOR-CORBO-BM-2CO-002-014	I I. CORÍNTIOS	2CO	2	14	Mare paegare kuricigore Paoji, duwu koiare ure tugerabraredo pai pawo pamorido Cristo apo jii je, ure pado tagaru maedo boe jamedu boe joki, ia roreboe ro rakaguragareu magadu reore.		
BOR-CORBO-BM-2CO-002-015	I I. CORÍNTIOS	2CO	2	15	Pare nono ia roreboe pemegareu ro amureu, dure Cristore maku Pao ai, dure ure taodo ure cinorudowugei, ure tuwogwadowugei jamedu.		
BOR-CORBO-BM-2CO-002-016	I I. CORÍNTIOS	2CO	2	16	Ure tuwogwadowuge etai awu roreboe jerimaga nure ema du koiare ure boe ewido; mare cewu ure cinorudowuge etai, ure boe eedowu roreboe nure ema, du koiare ure boe eedo. Mare kakoduwu imeduba roiwamode turowo oinono?		
BOR-CORBO-BM-2CO-002-017	I I. CORÍNTIOS	2CO	2	17	Cekare nono cewu ure Pao bataru perododowuge ereore. Mare paci oino, cere nowu bataru kogado Cristo ie tabo umagai aregodui Pao piji du reore.		
BOR-CORBO-BM-2CO-003-HEAD-001	I I. CORÍNTIOS	2CO	3		Bakaru maiwu pemega kodure jaowu pemega kori.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-2CO-003-001	I I. CORÍNTIOS	2CO	3	1	Cekana ure cegurido awu cenagoino du tabo? Iarema cekana umode taerdudo ia baperaji, iarema cedogea kana ure tawo ceerdudo ia baperaji, nono iaboe ero magai pui du reore?		
BOR-CORBO-BM-2CO-003-002	I I. CORÍNTIOS	2CO	3	2	Tagire ceno baperare tagi, atugoi cewabo tadadu du jire ime eiamedu eerduware, emagore ji jamedu.		
BOR-CORBO-BM-2CO-003-003	I I. CORÍNTIOS	2CO	3	3	Boe jokodure tagire Cristo o bapera atugo nure tagi, koiare ure cedo atugodo, mare ia kurureboe tabo karega, tori kobo keje karega, mare Pao Utaroe tabo, boe ekodu keje, tawabo tada.		
BOR-CORBO-BM-2CO-003-004	I I. CORÍNTIOS	2CO	3	4	Inodu jire cemeartorure Pao tada, Cristo tada.		
BOR-CORBO-BM-2CO-003-005	I I. CORÍNTIOS	2CO	3	5	Cedaobiji karega ceroiware iaboeji iaboeji, mare Pao pijire ceroiwa aregodure.		
BOR-CORBO-BM-2CO-003-006	I I. CORÍNTIOS	2CO	3	6	Ema rugadure ure ceroiwa maku cenai cemaragoduwo bakaru maiwuji, mare bapera atugo koia karega, mare Aroe Pemegareu koia. Mare paga karega, bapera atugo ure boe ewido, mare Aroe Pemegareu ure boe eedo.		
