id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-3JN-001-HEAD-001	III. JOÃO	3JN	1		Gaio jiboe.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-3JN-001-001	III. JOÃO	3JN	1	1	Codureu imedu imi, imeardu kurire jiwu imeduia Gaio bogai.		
BOR-CORBO-BM-3JN-001-002	III. JOÃO	3JN	1	2	Imeduia, itaidure akodu pemegawo amaragodae jamedu boe keje, boe pemegawo ai, akaroe pemegagoduwo gu gu je.		
BOR-CORBO-BM-3JN-001-003	III. JOÃO	3JN	1	3	Iegare kuricigore pawiemage etaregodui itaeduji, emagoi iwiegai akodui aro akago jetororeu tabo duji.		
BOR-CORBO-BM-3JN-001-004	III. JOÃO	3JN	1	4	Iegare kuri remawu nure imeardui itore ekodui boe rikireu keje duji.		
BOR-CORBO-BM-3JN-001-005	III. JOÃO	3JN	1	5	Imeardu kuricigore jiwu imedu, anure ameartorure jiboe to aro pemegai pawiemagei du tabo, ia pawiemage etaregodui moto tuginoiwu pijiwuge ei jamedu.		
BOR-CORBO-BM-3JN-001-006	III. JOÃO	3JN	1	6	Awuge ereadodure ameardu kuriaeji pawobe ewiegai. Amode etogeadure jiboe jamedu boe maku etai etawaraji, du pemegamode, Pao meardae rekodaji.		
BOR-CORBO-BM-3JN-001-007	III. JOÃO	3JN	1	7	Paga karega, eture tumeardu kuri koia Pao ieji, boe makudukai etai aopegokareuge ekera piji du tabo.		
BOR-CORBO-BM-3JN-001-008	III. JOÃO	3JN	1	8	"Du kodire parumode pageragu ure inowu imei, pawo pagera braredo ei, emaragodui boe rikireuji du tabo.
Ditrefes jiboe."		
BOR-CORBO-BM-3JN-001-009	III. JOÃO	3JN	1	9	Ire ia iwadaru atugodo Pao uwobe etai. Mare Ditrefes, ocaro rakaguragare puduiwu imedu, aidukare tuwo tugeragu cei.		
BOR-CORBO-BM-3JN-001-010	III. JOÃO	3JN	1	10	Du kodire, itaregodui nono du keje, imode biabutudo turo pegareu keje, tui tuwadaru pegado cei du tabo. Jamedu aidukare tuwo tugeragu pawiemagei, ukare aidure tuwo tugeragu eiwuge edo tugeragu ei, ure etawuje Pao uwobe epiji jamedu.		
BOR-CORBO-BM-3JN-001-011	III. JOÃO	3JN	1	11	"Imeardu kurire jiwu imeduia, aro kaba nono pegareboe erore, mare arodo nono pemegareboe erore. Ro pemegareu boture Pao piji, ro pegareu jorduwakare Paoji.
Demétrio jiboe."		
BOR-CORBO-BM-3JN-001-012	III. JOÃO	3JN	1	12	"Demtério jiboe, boe eiamedu boe emago pemegare ji, boe rikireu jore keje jamedu. Cegi jamedu cemago pemegare ji. Aerduware cemogoi boe rikireu jituji.
Boe ao."		
BOR-CORBO-BM-3JN-001-013	III. JOÃO	3JN	1	13	Itaidure iwo bapera atugododu maedo awogai, mare iromodukare ino bapera atugo tabo.		
BOR-CORBO-BM-3JN-001-014	III. JOÃO	3JN	1	14	Ipagamode itu mariguwo iorduwo ai, du keje pamagomode pagogwa tabo pui.		
BOR-CORBO-BM-3JN-001-015	III. JOÃO	3JN	1	15	Boe butugureu muguwo akabo. Pamedage eimadure awogai. Akimadudo pamedage remawuge ebo.		
