id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-REV-001-HEAD-001	APOCALIPSE	REV	1		Boe Paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-REV-001-001	APOCALIPSE	REV	1	1	Pagimejera Jesus Cristo o bakaru awadudodureu Paore maku ai tuwo todumode maigoduboe awadudo tudugarege etai du reo. Paore maku to tupa jabiji tudugare João ai.		
BOR-CORBO-BM-REV-001-002	APOCALIPSE	REV	1	2	Duwure makore tuiordure jiboe jamedu boe Pao bataruie ure, Jesus Cristo bataruie ure duji.		
BOR-CORBO-BM-REV-001-003	APOCALIPSE	REV	1	3	"Jiwo aidugirireuge makomode awu bataru jiwuge, meardure jiwuge, rore nono padure kejeboe reoreuge, mare paga karega, boe puredugodu nure.
Boe eimadui."		
BOR-CORBO-BM-REV-001-004	APOCALIPSE	REV	1	4	Joãore awu bakaru maku Pao o Igrejadoge ei ikera awubodure pobe taci ikera awubowutodu mugui Asia kejedu etai. Boe pemegareu, boe butugureu, aregodui jere jii jewu Pao piji, Aroe Pemegareu oe kuri cigoreu mugui Pao apodu piji, 5makore boe jetororeu jiwu, jewodure boetoji bireuge epijiwu, awu moto kejewu boe eimejerage eimejera Jesus Cristo piji, du muguwo tagabo. Emare meardu kuricigore pai, ure paro pegareu kabi tugu tabo.		
BOR-CORBO-BM-REV-001-006	APOCALIPSE	REV	1	6	Ure Tuo burejoiadogedo pagi. Jire boe eegarewo, jire boe emode ro ko tao kae boe jameduji jii je. Oino godu.		
BOR-CORBO-BM-REV-001-007	APOCALIPSE	REV	1	7	Aregodumode tumugui boetugu keje du tabo. Boe eeku jamedu boe jordumode ji, cewu ure bitowuge eerdumode ji jamedu. Koiare, boe epadui pu mekeje awu moto kejedu jamedu boe emode tugera to tumororaji. U! Oino godu.		
BOR-CORBO-BM-REV-001-008	APOCALIPSE	REV	1	8	"Pao akore: Alfa nure imi, Omega nure imi: boe paru, boe oto nure imi; jere jii jeboe nure imi, roiware boe jamedu boe jiwu nure imi.
João jordure jiboe."		
BOR-CORBO-BM-REV-001-009	APOCALIPSE	REV	1	9	João nure imi, tamana nure imi, tameduia nure imi pajebae tabo, Pao o boe pemegareu tabo, pabewui Jesus Cristo jiboe keje du tabo. Iregodudodure ia moto mugui pobo maereu oiadodadu iei Patmos cedu kae, Pao bataru koia, Jesus bataru koia.		
BOR-CORBO-BM-REV-001-010	APOCALIPSE	REV	1	10	Iragojei toro du tabo, ia Pao o meri keje, irore pai je, du kejere imeardure ikujebiji ia boe emago rakareu ui nono meriri akoreu reore duji.		
BOR-CORBO-BM-REV-001-011	APOCALIPSE	REV	1	11	Akore oino: Aerdure jiboe atugodo bapera keje, maku toro Igrejadoge ei ikera awubodure pobe taci ikera awubowuto mugui Asia kejewuge etae: Éfeso kae, Esmirna kae, Pérgamo kae, Tiatira kae, Sardes kae, Filadélfia kae, Laodicéia kae.		
BOR-CORBO-BM-REV-001-012	APOCALIPSE	REV	1	12	Icare itaiwore ikujebiji iorduwo akoinoboe jitu bogai, icare iordure jorugu ja meriri ekureuge ei ikera awubodure pobe taci ikera awubowuto duji.		
BOR-CORBO-BM-REV-001-013	APOCALIPSE	REV	1	13	Nowu jorugu ja etoiado, iaboere nono Imedu Onaregedu reoreboe mugure etoiadoda, ukudae raicigore jii bure kae, ia boe epeagajejewu meriri ekureu kogure kajeje.		
BOR-CORBO-BM-REV-001-014	APOCALIPSE	REV	1	14	Aora, ao kigadure ure nono Cordeirodoge ewu kigadu reore, boedoguru kigadu reore, joku ure nono joru urugu rakareu reore.		
BOR-CORBO-BM-REV-001-015	APOCALIPSE	REV	1	15	Burere nono meriri metui jorugu tadadu urugu reore, mako ure nono makaguragareu pobo jaruru reore.		
BOR-CORBO-BM-REV-001-016	APOCALIPSE	REV	1	16	Iedure kuiejedogei ikera awubodure pobe taci ikera awubowuto duji tugera pemegareu tabo. Ia toriga raireu meri rakaguragareu ore puibijidu aregodure jabiji, jere nono meri joku urugu rakaguragareu reore.		
