id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-ACT-001-HEAD-001	ATOS DOS APÓSTLOS	ACT	1		Boe paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-ACT-001-001	ATOS DOS APÓSTLOS	ACT	1	1	Imeduia Teófilo, nowu boetojiwu ino bapera keje, ire Jesus rore jiboe jamedu boe, ure boe eerduwado jiboe jamedu boe, bu, 2jii paru piji jii ruture baruto du kae, tui to apostolodoge eerduwado Aroe Pemegareu koia du keje.		
BOR-CORBO-BM-ACT-001-003	ATOS DOS APÓSTLOS	ACT	1	3	"Ica, ure tuiwodo du rekodaji icare ure towadudo tuie tabo to apostolodoge eegai, tui eerduwadodu makaguragado du tabo. Merire ikera pudogidure iwure pudogidure ikera pudogidure iwure pudogidure du tonajire ure towadudo eegai, tumagoi Pao baru tadawu o boe pemegareuji ewiegai du tabo.
Jesus rutui baru todu."		
BOR-CORBO-BM-ACT-001-004	ATOS DOS APÓSTLOS	ACT	1	4	Nowu boigoduwu togwagei ebodu keje, makore ei ekawo tuiaedo Jerusalém piji, mare epagawo nono jii Tuo makore jiboe ui tudowuje du kae, - du jire tameardure iiabiji. Oinore akore. -		
BOR-CORBO-BM-ACT-001-005	ATOS DOS APÓSTLOS	ACT	1	5	Paga karega, João ure boe etaimo pobo tabo, tagirema, tagao pegododumode Aroe Pemegareu tabo oino maigodu.		
BOR-CORBO-BM-ACT-001-006	ATOS DOS APÓSTLOS	ACT	1	6	Emagerema, tui tudo pui du tabore, enorare ji, egore: - Cegimejera, oino maigodu kana amode Israeldoge eeda pemegado pugeje?  Akore ei: -		
BOR-CORBO-BM-ACT-001-007	ATOS DOS APÓSTLOS	ACT	1	7	Piji, ukare turugadu taerduwawo Pao ure biado pudabo boeji.		
BOR-CORBO-BM-ACT-001-008	ATOS DOS APÓSTLOS	ACT	1	8	Mare ica, Aroe Pemegareu umode turawuje tawugeje, umode tabewudo, du koiare tamagomode iiboeji Jerusalém tada, Samaria o moto jamedu keje, jii moto okwa kae toro.		
BOR-CORBO-BM-ACT-001-009	ATOS DOS APÓSTLOS	ACT	1	9	Akoinodu tonajire icare ruture baruto eegai, icare okware pi tuku eeku piji boetugu tada.		
BOR-CORBO-BM-ACT-001-010	ATOS DOS APÓSTLOS	ACT	1	10	Etaiwore ji du tonajire icare ime ei pobedu, ekudae kigadure eidu, ere towadudo eegai, egore ei:  -		
BOR-CORBO-BM-ACT-001-011	ATOS DOS APÓSTLOS	ACT	1	11	"Galiléia pijiwu ime, kodiba tagaiwore baruto tu oino tamugui? Ica, awu Jesus arudure tabiji barutowu, umode turawuje tuibagi pugeje, umagai taerdure rutui barutodu jitu du reore pugeje.
Apostolodoge."		
