id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-COL-001-HEAD-001	COLOSSENSES	COL	1		Bapera paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-COL-001-001	COLOSSENSES	COL	1	1	Imi, Paulo, Pagimejera Jesus Cristo o apóstolo, Pao aidure du koia, mare iwie Timóteo,		
BOR-CORBO-BM-COL-001-002	COLOSSENSES	COL	1	2	"Colossa Kejewu pemegareuge ewogai, cewiemage emeartorui Jesus Cristo jiwuge ewogai. Boe pemegareu, boe butugureu aregodui Pao Aroe Eimejera pijiwu muguwo tagabo.
Paulore tukutaido Paoji, Colossa kejewuge ero pemegareu koia."		
BOR-CORBO-BM-COL-001-003	COLOSSENSES	COL	1	3	Cenogwa kuridodui tu tu je du tabo, cere tukutaido Pagimejera Jesus Cristo Uo Aroe Eimejeraji.		
BOR-CORBO-BM-COL-001-004	COLOSSENSES	COL	1	4	Paga karega, cemeardure boe egoi tameartorui Cristo jituji, tamearudu kurii pemegareuge eiamedu jituji.		
BOR-CORBO-BM-COL-001-005	COLOSSENSES	COL	1	5	Tabagare makudumode tagaiboe baru tadaboe bogai du koia. Awu tabagare bogaiboe makudure tagai, boei Pao o Bakaru Pemegareu kogado tawiegai du tabo.		
BOR-CORBO-BM-COL-001-006	COLOSSENSES	COL	1	6	Awu aregodure tagaewu Bakaru Pemegareu, du ure taodo moto jamedu boe kao, du tudu kuricigore tu tu jii je. Oinore boere tadoda jii tameardui boei Pao o boe pemegareu kogado tawiegai kejewu meri piji jii oino.		
BOR-CORBO-BM-COL-001-007	COLOSSENSES	COL	1	7	Du taerduware ji awu pameardu kurire jiwu pameduia Epafra jabiji. Ure tugera braredo cei tui nono Cristo utugareie ure pudumidu kodiwore.		
BOR-CORBO-BM-COL-001-008	COLOSSENSES	COL	1	8	"Emare ure cewie tameardu kurie pui Pao Utaroe ui tameardu awadudo du koia.
Ure togwa kurido Paoji eparu tabo."		
BOR-CORBO-BM-COL-001-009	COLOSSENSES	COL	1	9	Du kodire cegi jamedu, nowu cemeardure kejewu meri piji, cenogwa kuri kurido Paoji tabaru tabo. Cenogwamagudure ji taerduwa kororogoduwo taidure jiboeji, taerduwa jamedu boe tabo, tamearduwa pemegareu jamedu boe tabo du bogai.		
BOR-CORBO-BM-COL-001-010	COLOSSENSES	COL	1	10	Du tabore taromode nono Pagimejera aidure jiboeji, tai jekaredo boe jamedu jiboeji, tai taro pemegareu kurido du tabo, tai taerduwa rakado Paoji tu tu je du tabo.		
BOR-CORBO-BM-COL-001-011	COLOSSENSES	COL	1	11	Paoi tadurudo boe jameduji turo rakareu kurireu tabo, du tabore tamode tawudugudo tai, tamode tadurudo boe jameduji.		
BOR-CORBO-BM-COL-001-012	COLOSSENSES	COL	1	12	Tagi jamedu, tamode tukutaido Paoji taegare tabo, ure paenado pemegareuge eonare jiboeji turugu pemegareu tada kodi.		
BOR-CORBO-BM-COL-001-013	COLOSSENSES	COL	1	13	Paore padawuje boecoreu piji ure parego tumeardu kuricigore jiwu tonaregedu o boe pemegareu kae.		
BOR-CORBO-BM-COL-001-014	COLOSSENSES	COL	1	14	Awu Onaregedu ure paro pegareu okwado, ure paginorudo.		
BOR-CORBO-BM-COL-001-015	COLOSSENSES	COL	1	15	Kejere paerdure paeku tabo paerdukare jiwu Paoji. Boe eiamedu boe etumana boetojiwu nure ema.		
BOR-CORBO-BM-COL-001-016	COLOSSENSES	COL	1	16	Kejere baru tadawu boe eiamedu boe, awu moto kejewu boe jamedu boe towujedure keje, ceerdure jiboe jamedu boe, ceerdukare jiboe jamedu boe; baru tadawu ro rakareboe jamedu boe, tupadoge eiamedu boe, towujedure keje, towujedure ai.		
BOR-CORBO-BM-COL-001-017	COLOSSENSES	COL	1	17	Rakojere jii je, boe eiamedu boe otodai, boe eiamedu boe eragoje kimore keje jamedu.		
BOR-CORBO-BM-COL-001-018	COLOSSENSES	COL	1	18	Emare Pao uwobe eimejera rema, emare jewodure bireuge epijiwu boetojiwu rema. Du kodire mugure boe eiamedu boe emuga boetojiwu keje.		
BOR-CORBO-BM-COL-001-019	COLOSSENSES	COL	1	19	Paga karega Pao aidure boe pemegareu jamedu boe muguwo tada kodi.		
BOR-CORBO-BM-COL-001-020	COLOSSENSES	COL	1	20	Aidure ure towujeboe jamedu boe, awu moto kejeboe, baru kejeboe jamedu boe ewudugugoduwo pui, ui tugu jamedu boe redo i padui pugajejedu keje boe etai du koia.		
BOR-CORBO-BM-COL-001-021	COLOSSENSES	COL	1	21	Tagi jamedu, marigudu boe tuginoiwugere tagi jekai, tagonare ji, tameardae pegareu, taro pegareu koia.		
BOR-CORBO-BM-COL-001-022	COLOSSENSES	COL	1	22	Mare icare ure tabemegado Tonaregedu bitodui tugodu tabo du koia, taedu pemegawo, taedu jetorowo tuiegai, boe enogwa puredu kawo tai tuiegai.		
BOR-CORBO-BM-COL-001-023	COLOSSENSES	COL	1	23	"Mare tagedu rakado tameartoraeji, tadurudo tabagai tameardure jiwu Bakaru Pemegareu bogai, du kogadodure mugure baru kudawu boe eiamedu boe ewiegai. Imi, Paulo, imire awu Bakaru Pemegareu epare imi.
Paulo maragodae."		
BOR-CORBO-BM-COL-001-024	COLOSSENSES	COL	1	24	Icare iegarere bare iiwu icebaeji tagai. Okwa kimore Cristo ucebae jiboe inure kororogodudo ikodu keje, o Igreja paru tabo, dure Cristo uredu rema.		
BOR-CORBO-BM-COL-001-025	COLOSSENSES	COL	1	25	Paore to Igreja utugaredo imi tui awu imaragodae maku inai tagai, iwo tuwadaru kogadodu pemegado.		
BOR-CORBO-BM-COL-001-026	COLOSSENSES	COL	1	26	Awu biadodureboe pemegareu biadodure jii boe oto piji mariguduwuge etai, mare oino awadodure tudugarege pemegareuge eegai.		
BOR-CORBO-BM-COL-001-027	COLOSSENSES	COL	1	27	Pao aidure tuwo pemegareuge edo boe pa oinoie awu biadodureboe pemegareu kurire judeukare emawuge etai duji. Dure oino: Cristo, pabagare bogaiwu, mugui tadoda.		
BOR-CORBO-BM-COL-001-028	COLOSSENSES	COL	1	28	Jire cereadodure, cenogituwai boe eiamedu boei du tabo, cei boe eiamedu boe eerduwado boe jetororeu jamedu boeji, ma, ime eiameduwo tuiedorodo Cristo tada.		
BOR-CORBO-BM-COL-001-029	COLOSSENSES	COL	1	29	Awu inodu koiare imaragodure, awu inodu koiare ire ipewudo Cristo ro raka ro rakai itada du tabo.		
BOR-CORBO-BM-COL-002-HEAD-001	COLOSSENSES	COL	2		Paulo morora amagadure Asia kejewu Pao uwobe eigoia.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-COL-002-001	COLOSSENSES	COL	2	1	Itaidure taerduwawo imaragodu rakai taigoia, mugure Laodicia kejewuge eigoia, jordukare ii kimowuge eiamedu koia jamedu duji.		
BOR-CORBO-BM-COL-002-002	COLOSSENSES	COL	2	2	Itaidure tameduwo tadoda, tameardu kuriwo pui, tameardu awadudodu kuricigowo, taerduwawo Pao o boe biadodureboe pemegareuji, dure Cristo rema.		
BOR-CORBO-BM-COL-002-003	COLOSSENSES	COL	2	3	Tadare boe eerduwadoboe jamedu boe, boe emeardae pemegareu jamedu boe meture tada.		
BOR-CORBO-BM-COL-002-004	COLOSSENSES	COL	2	4	Imagore oino tai iaboe iaboe ekawo taeku to pui tuwadodae pagareu tabo.		
BOR-CORBO-BM-COL-002-005	COLOSSENSES	COL	2	5	Paga karega, ipuredukare tai ikodu tabo, mare iragojere tadoda itaroe tabo, iegarere iordui taro tagago, tawadaru pemegai, tarokai doi doi je tameartorui Cristo jitu tabo.		
BOR-CORBO-BM-COL-002-006	COLOSSENSES	COL	2	6	Tamagai tare tageragu Cristo jitu reorere, tamerumode keje jamedu.		
BOR-CORBO-BM-COL-002-007	COLOSSENSES	COL	2	7	Taragoje rakado keje, tagaba tawure taru piji, taiodo tameartorae keje, taerduwadodu magai du reore, tamedui tadoda du tabo, tamago pemegai jitu tabo.		
BOR-CORBO-BM-COL-002-008	COLOSSENSES	COL	2	8	Tameardu awadudo tai. Tagaba boedo taeku to pui tumagoi tuiorduwa paga pagareu jitu tabo, duwugere eiore ime eroia keje, awu moto kejeboe keje, mare eiokare Cristo keje.		
BOR-CORBO-BM-COL-002-009	COLOSSENSES	COL	2	9	Kejere paerdure paeku tabo Pao Aroe Eimejera remawuji.		
BOR-CORBO-BM-COL-002-010	COLOSSENSES	COL	2	10	Awu baru tadawu ro rakareboe eimejera nure ema, koiare boe pemegareu jamedu boe makudure tagai.		
BOR-CORBO-BM-COL-002-011	COLOSSENSES	COL	2	11	Kruca padure tawugeje jamedu, mare boe ekera pijiwu kruca karega, mare Cristo o kruca, dure pai pagodu jiboe pijido dure ema.		
BOR-CORBO-BM-COL-002-012	COLOSSENSES	COL	2	12	Tai tagao pegodo du tabo tamedure Cristo apo moto tada, mare taewodure apo jamedu tameartorui Pao ro rakareu jitu koia, du ure jewodudo bireuge epiji.		
BOR-CORBO-BM-COL-002-013	COLOSSENSES	COL	2	13	Tawire taro pegareu kai, takai tawiri krucado du koia, mare Paore taewodudo Cristo apo. Ure paro pegareu barigu pabiji, butugugodure pai.		
BOR-CORBO-BM-COL-002-014	COLOSSENSES	COL	2	14	Ure nowu bapera ui pawarigu boe pegareu todu pegado, ure okwado rugadu, butugugodure pai.		
BOR-CORBO-BM-COL-002-015	COLOSSENSES	COL	2	15	Ure awu moto kejewu ro rakareuge ekera kedodo, tui boe redugodudo ei du tabo, tubadui i keje du tabo.		
BOR-CORBO-BM-COL-002-016	COLOSSENSES	COL	2	16	Iaboe iaboe emago pega kawo tai tagogwagere jiboeji, tagudure ceboeji, iarema ia taegarei tai tago joru butu keje rabodu, iarema ia ari rutu keje rabodu, iarema ia Sábado meriji rabodu.		
BOR-CORBO-BM-COL-002-017	COLOSSENSES	COL	2	17	Awu inodu jamedu boe aregodumode pagaiboe pemegareu o boetugu rema tu je. Boe riki remawure Cristo rema.		
