id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-EPH-001-HEAD-001	EFÉSIOS	EPH	1		Bapera paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-EPH-001-001	EFÉSIOS	EPH	1	1	Imi, Paulo, Jesus Cristo o apóstolo, Pao aidu reore, inure awu bapera atugodo Éfeso bakurireu kejewu Pao uwobe ewogai, meartorure Jesus Cristo jiwuge ewogai.		
BOR-CORBO-BM-EPH-001-002	EFÉSIOS	EPH	1	2	"Pao Aroe Eimejera mare Jesus Cristo eno boe pemegareu, boe butugureu, muguwo tagabo.
Pao aidui boewo cinorudodu."		
BOR-CORBO-BM-EPH-001-003	EFÉSIOS	EPH	1	3	Boewo Pagimejera Jesus Cristo Uo akaru pemegado, duwu koiare ure baru tadawu boe pemegareu kurireudo pai Cristo tada.		
BOR-CORBO-BM-EPH-001-004	EFÉSIOS	EPH	1	4	Emare ure tugeragu pai, awu moto towujedumodedu otodai, pagiwo pabemegare, paedorore tuiegai.		
BOR-CORBO-BM-EPH-001-005	EFÉSIOS	EPH	1	5	Kuri boe paruto ure paenado torewo pagi, tumeardu kurii pai Cristo tada du koia, mare paga karega, aidure oinowo ure rugadu kodi.		
BOR-CORBO-BM-EPH-001-006	EFÉSIOS	EPH	1	6	Oinodu tabowo ture maku pagai tumeardu kurire jiwu tonaregedu tadawu to boe pemegareu urugu jowo boeto.		
BOR-CORBO-BM-EPH-001-007	EFÉSIOS	EPH	1	7	Nowu tonaregedu ku koiare ure paginorudo boe pegareu piji, butugugodure pai paro pegareu jamedu boe keje, mare paga karega, emare to boe pemegareu kuricigore pudabo.		
BOR-CORBO-BM-EPH-001-008	EFÉSIOS	EPH	1	8	Ure awu to boe pemegareu kurireu redo paiogi tuguricigoreu tabo tuiorduwa tabo, tubemega tabo.		
BOR-CORBO-BM-EPH-001-009	EFÉSIOS	EPH	1	9	Ure taidure jiboe pemegareu biareu udo turugadu kuri boe paru todu, ure awadudo oino pai.		
BOR-CORBO-BM-EPH-001-010	EFÉSIOS	EPH	1	10	Awu taidure ji boe pemegareu reo: Tuwo boe jamedu boe, moto kejeboe, baru tababoe, to pui Cristo tada.		
BOR-CORBO-BM-EPH-001-011	EFÉSIOS	EPH	1	11	Cewu ro rakare boe jamedu boe jiwu, taidu kejere ure cedawuje pubiji pudae Cristo tada.		
BOR-CORBO-BM-EPH-001-012	EFÉSIOS	EPH	1	12	Ure ceonado to boe pemegareu kurireuji, cebagare Cristo bogai jii boe paruto du kodi.		
BOR-CORBO-BM-EPH-001-013	EFÉSIOS	EPH	1	13	Tagi jamedu tameardui boe jokoduwu bataru jitu keje, tameartorui umode taginorudowu bakaru pemegareu jitu keje, makudumode tagaiwu Aroe Pemegareu meture tai jamedu, Cristo tada.		
BOR-CORBO-BM-EPH-001-014	EFÉSIOS	EPH	1	14	Awu Aroe Pemegareu makudumode pagaiboe jokodudo, pabaga kimoi Pao ure tugeragu jiwuge einorudodu kororogodui taci je du bogai, boe emago pemegawo pudui du bogai.		
BOR-CORBO-BM-EPH-001-015	EFÉSIOS	EPH	1	15	Du kodi icare imi jamedu, imeardui boe egoi tameartoruie Cristo jitu, tameardu kurii cristaodoge eiamedu jitu du keje,		
BOR-CORBO-BM-EPH-001-016	EFÉSIOS	EPH	1	16	Ikare itamudo imagoi Paoji tabaru tabo duji.		
BOR-CORBO-BM-EPH-001-017	EFÉSIOS	EPH	1	17	Inogwamagudure Pagimejera Jesus Cristo Uo urugureuji, uwo taerduwa, tamearduwa awadudo tagai, taerduwawo pudui du bogai, 18uwo tawabo urugudo tawo boe pa Pao makore tawogai tabagawo bogaiboe kodiboeji: Tawo boe pa oinoie ro pemegareuge eonare jiwu boe pemegareu kuricigoreure.		
BOR-CORBO-BM-EPH-001-019	EFÉSIOS	EPH	1	19	Tawo boe pa oinoie ro rakareu kurireure pai, pameartorure marigudu du koia.		
BOR-CORBO-BM-EPH-001-020	EFÉSIOS	EPH	1	20	Oinore ure turo rakareu kurireu awadudo Cristo tada, tui jewodudo bireuge epiji du tabo, tui mugudo tugana pemegareu jaogwai baru tada du tabo.		
BOR-CORBO-BM-EPH-001-021	EFÉSIOS	EPH	1	21	Tui mugudo tupadoge epadui pumekejedu jamedu boe ewugeje, awu moto kejewuge eiamedu boe, baru tadawuge eiamedu boe ewugeje jamedu du tabo.		
BOR-CORBO-BM-EPH-001-022	EFÉSIOS	EPH	1	22	Ure boe jamedu boe bu bure kuda, ure Igreja jamedu boe eimejerado ema.		
BOR-CORBO-BM-EPH-001-023	EFÉSIOS	EPH	1	23	Awu Igreja ure nono uredu rema, cewu meture boe jamedu boe tadawu ja rema.		
BOR-CORBO-BM-EPH-002-HEAD-001	EFÉSIOS	EPH	2		Pao o boe pemegareu koiare ure meartorureuge einorudo.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-EPH-002-001	EFÉSIOS	EPH	2	1	Tagirema tawi nure marigudu taro pegareu koia.		
BOR-CORBO-BM-EPH-002-002	EFÉSIOS	EPH	2	2	Taro pegare ia kodiwu keje tagodui awu moto kejewu boe emeardae pegareu rekodaji, tagodui  Aroe pegareuge eimejera rekodaji; emare maragodu kimore meartoru bokwareuge ewabo tada kimo.		
BOR-CORBO-BM-EPH-002-003	EFÉSIOS	EPH	2	3	Marigudu paiamedu tabore nowu inodure pagi, cewu pagodui parowo nono pagodu aidu reore du kodi, cewu paroi nono pagodu aidure jiwu boe pegareu jitu kodiboe keje. Pare nono pegareuge ereore, pawodure paenai Pao korigodumode pai kodiboe tabo dure.		
BOR-CORBO-BM-EPH-002-004	EFÉSIOS	EPH	2	4	Mare Pao okudae, oiagudae kuricigore, meardu kuricigore pai.		
BOR-CORBO-BM-EPH-002-005	EFÉSIOS	EPH	2	5	Du koiare ure paeredu maku pagai Cristo apo, cewu pawire paro pegareu koia du kodiboe keje. Tamoridodure tamori bokwa tabo, mare Pao o boe pemegareu koia.		
BOR-CORBO-BM-EPH-002-006	EFÉSIOS	EPH	2	6	Ure paewodudo Cristo apo du koiare, du apore, ure pamugudo baru tada.		
BOR-CORBO-BM-EPH-002-007	EFÉSIOS	EPH	2	7	Nowu inodu tabore ure to boe pemegareu awadudo boe eegai jii je rugadu, mare paga karega, meardu kuricigore pai du kodi.		
BOR-CORBO-BM-EPH-002-008	EFÉSIOS	EPH	2	8	Tameartoru koia taginorudodure tamori bokwa tabo, mare taigoia karega, nowu inodu makududodure Pao piji.		
BOR-CORBO-BM-EPH-002-009	EFÉSIOS	EPH	2	9	Paro koia karega paginorudodure. Du kodire oino iaboe iaboe enojarokawo pudui nowu inodu koia.		
BOR-CORBO-BM-EPH-002-010	EFÉSIOS	EPH	2	10	Pao maragodae nure pagi, dure ure padowuje Cristo tada, du tabowo paro pemegareure nono ui paroiagudu reore.		
BOR-CORBO-BM-EPH-002-011	EFÉSIOS	EPH	2	11	Tagire judeudogekare tagi tawodu tabo, tagiedodure kruca padukare kejewuge, cewu kruca padure keje boe ekera tabowuge egoe.		
BOR-CORBO-BM-EPH-002-012	EFÉSIOS	EPH	2	12	Tawia jeto mariguduie Cristo mugukae tagabo duji. Nowu kodiwu keje Pao oge karega ure tagi, Pao meardu kuriae mugukare tagabo, tabagare bogaiboe bokware, Pao mugukare tagabo awu moto keje.		
BOR-CORBO-BM-EPH-002-013	EFÉSIOS	EPH	2	13	Mare oino, Jesus Cristo ro koia, tagire taedu jaegirire Pao oge remawugei marigudu du taedure ebo pugeje Cristo ku koia.		
BOR-CORBO-BM-EPH-002-014	EFÉSIOS	EPH	2	14	Mare paga karega, emare boe ewudugugudae rema pai kodi, emare ure boei pobedu edo mito tu je, tui boe etonai puidu akedudo du tabo.		
BOR-CORBO-BM-EPH-002-015	EFÉSIOS	EPH	2	15	Tugodu tabore ure boe eroiagudu okwado du tabowo ture boe ei pobedu edo imedu maiwudo mitotu tudada tui boe ewudugugo pui du tabo.		
BOR-CORBO-BM-EPH-002-016	EFÉSIOS	EPH	2	16	Ure boe ei pobedu edo tudo pui Pao apo, tui edo mito tu je du kae, i padui pugajejedu koia, tui boe etonai puidu okwado keje du tabo.		
