id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-PHM-001-001	FILEMON	PHM	1	1	Imi, Paulo, imedui baicoreu tada Jesus Cristo bukeje, iwie Timóteo jamedu, cemeardu kurire jiwu, ierabrarere ceiwu Filemon awogai,		
BOR-CORBO-BM-PHM-001-002	FILEMON	PHM	1	2	Paduie Apia bogai, pamaragodure apowu Arquipo bogai, Pao uwobe ei tudo pui awai kejedu bogai jamedu.		
BOR-CORBO-BM-PHM-001-003	FILEMON	PHM	1	3	Pao Aroe Eimejera, Pagimejera Jesus Cristo eno boe pemegareu boe butugureu muguwo tagabo.		
BOR-CORBO-BM-PHM-001-004	FILEMON	PHM	1	4	Iwiabuture awugeje imagoi Paoji du tabo, ire tukutaido ji jii je.		
BOR-CORBO-BM-PHM-001-005	FILEMON	PHM	1	5	Paga karega, imeardure ameartoraeji, ameardu kurii Pagimejera Jesus Cristo jituji, meartorure jiwuge eiamedu jituji.		
BOR-CORBO-BM-PHM-001-006	FILEMON	PHM	1	6	Inogwamagudu nure Paoji uwo ameartoraedo turugadu tuwo ado boe pa pagoroe jamedu boe ore Cristo rema.		
BOR-CORBO-BM-PHM-001-007	FILEMON	PHM	1	7	Iegare kuricigore nowu akogudui boe ebo du koia, paga karega, aki iwie, aigoia are pemegareuge ewabo butugugo kodi.		
BOR-CORBO-BM-PHM-001-008	FILEMON	PHM	1	8	Iroiware iwo arodo aromode jiboeji, Jesus Cristo koia.		
BOR-CORBO-BM-PHM-001-009	FILEMON	PHM	1	9	Mare itaidu pemegare inogwamaguduwo ai akoguduwo aiaguduwo tu je, imi Paulo, ipegagodui imidu tabo, imedui baicoreu tada du tabo.		
BOR-CORBO-BM-PHM-001-010	FILEMON	PHM	1	10	Inogwamagudu nure ai awu ire itonaregedudo baicoreu tadawu itonaregedu Onesimo paru tabo.		
BOR-CORBO-BM-PHM-001-011	FILEMON	PHM	1	11	Marigudu boe karega ure ema akai, macare oino boe kurireu nure ema akai inai jamedu.		
BOR-CORBO-BM-PHM-001-012	FILEMON	PHM	1	12	Imode utudo awogai pugeje nono iwaboie ure emadu kodiwore.		
BOR-CORBO-BM-PHM-001-013	FILEMON	PHM	1	13	Itaiduia muguwo itabo taiwowo ii akarobi baicoreu tada bakaru pemegareu paru tabo.		
BOR-CORBO-BM-PHM-001-014	FILEMON	PHM	1	14	Mare imago kai ai du tabo, itaidukare irowo ia iro, duma aro pemegai iidu ukawo nono itaidu reore, mare akaidu reore.		
BOR-CORBO-BM-PHM-001-015	FILEMON	PHM	1	15	Boe jokodu ure turodo oino apiji ia kodiboe kodi mare makuduwo akai pugeje jii je du bogai.		
BOR-CORBO-BM-PHM-001-016	FILEMON	PHM	1	16	Mare atugarei ema du tabo pugeje karega, mare pawie ema du tabo. Imeardu kurire jiwu iwie nure ema, ameardu kurire jiwu awie remawu umode, mare boei pudumi du koia tu je karega, mare ema remawu meartorure Pagimejera Jesus Cristo jitu koia.		
BOR-CORBO-BM-PHM-001-017	FILEMON	PHM	1	17	Amanamode imi pameartoru koia ma, akeragu ji amagai amode akeragu ii du reore.		
BOR-CORBO-BM-PHM-001-018	FILEMON	PHM	1	18	Marigudu ro pegare ai ma, iarema ukare iaboe morido akai ma, bu iwugeje.		
BOR-CORBO-BM-PHM-001-019	FILEMON	PHM	1	19	Imi, Paulo, inure awu bapera atugodo ikera tabo rugadu, imire imode morido akai, mare itaidukare awia jetuwo akie amode amorido inai duji.		
BOR-CORBO-BM-PHM-001-020	FILEMON	PHM	1	20	Iwie, itaidure awo awu iegareae maku inai, Pagimejera koia. Iwabo ro rakado Pagimejera keje.		
BOR-CORBO-BM-PHM-001-021	FILEMON	PHM	1	21	Imeartorure oinoie aromode duji, aromode nowu kori jamedu, du kodire ire bapera atugodo awu inoduji awogai.		
BOR-CORBO-BM-PHM-001-022	FILEMON	PHM	1	22	Nowu inodu boe tabo, tamode ia ipa pemegado, paga karega, ipagamode imaguduwo tagai pugeje, tamagoi iparu tabo du koia.		
BOR-CORBO-BM-PHM-001-023	FILEMON	PHM	1	23	Epafras, mugure itabowu baicoreu tada Jesus Cristo koiadu, imadure tawogai.		
BOR-CORBO-BM-PHM-001-024	FILEMON	PHM	1	24	Marcos, Aristarco, Demas, Lucas, duwugere tugera braredo ii, eimadure tawogai jamedu.		
BOR-CORBO-BM-PHM-001-025	FILEMON	PHM	1	25	Pagimejera Jesus Cristo o boe pemegareu jetuwo tagaroe tabo.		
