id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-PHP-001-HEAD-001	FILIPENSES	PHP	1		Bapera paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-PHP-001-001	FILIPENSES	PHP	1	1	Imi, Paulo, mare Timóteo, Jesus Cristo utugarege, cenure awu bapera atugodo mugure Filipo bakurireu kejewu Jesus Cristo utugarege pemegareuge ewogai, bispodoge, diaconodoge ewogai jamedu.		
BOR-CORBO-BM-PHP-001-002	FILIPENSES	PHP	1	2	Pao Aroe Eimejera mare Pagimejera Jesus Cristo eno boe pemegareu, boe butugureu muguwo tagabo.		
BOR-CORBO-BM-PHP-001-003	FILIPENSES	PHP	1	3	Iwiabutui tawugeje tu tu je du keje, ire tukutaido Paoji tu tu je.		
BOR-CORBO-BM-PHP-001-004	FILIPENSES	PHP	1	4	Imagoi tu tu baruto du keje, imago imagore tabaru tabo, iegare tabo.		
BOR-CORBO-BM-PHP-001-005	FILIPENSES	PHP	1	5	Tare tagera braredo ii jii boetojiwu meri piji jii oino Pao o Bakaru Maiwu uwo taodo boe etai du kodi.		
BOR-CORBO-BM-PHP-001-006	FILIPENSES	PHP	1	6	Iorduware cewu ure turo pemegareu paru tawuje tadodawu, umode pemegado jamedu, jii Pagimejera Jesus Cristo aregodumode kejewu meri kae.		
BOR-CORBO-BM-PHP-001-007	FILIPENSES	PHP	1	7	Ure turugadu imeardae pemegawo oinono taiameduji, inure tarego iwabo tada kodi, tare imedagedo tagi boe pemegareuji imugure baicoreu tada du keje kodi.		
BOR-CORBO-BM-PHP-001-008	FILIPENSES	PHP	1	8	Pao jorduware inoba imeardu kurire tai Jesus Cristo okudu oiagudu tabo duji.		
BOR-CORBO-BM-PHP-001-009	FILIPENSES	PHP	1	9	Inogwamagudui tabaru tabo du keje, imago imagore Paoji tameardu kuriae itoduwo jii je, taerduwa rakareu tabo, tamearduwa rakareu tabo.		
BOR-CORBO-BM-PHP-001-010	FILIPENSES	PHP	1	10	Du tabowo taerduware boe pemegareu remawuji ma, tawabo pemegawo, tawo tado tarugadu Pagimejera Jesus Cristo aregodumode kejewu meri kae.		
BOR-CORBO-BM-PHP-001-011	FILIPENSES	PHP	1	11	"Taro jetorowo Jesus Cristo koia, ma, boewo Pao ie kurido, boewo Pao akaru motudo.
Pao o Bakaru Maiwu Pemegareu ui towadudodu."		
BOR-CORBO-BM-PHP-001-012	FILIPENSES	PHP	1	12	Itaidure taerduwawo ure tudo inaiboe jamedu boe uie turugadu tuwo Pao o Bakaru Maiwu utudo todobiji.		
BOR-CORBO-BM-PHP-001-013	FILIPENSES	PHP	1	13	Awu Pretório kejewuge, iage eiamedu boe eerduware imugui baicoreu tada Cristo koia duji.		
BOR-CORBO-BM-PHP-001-014	FILIPENSES	PHP	1	14	Awu imugui baicoreu tadadu koiare, pawobe emagaguragareuge enure tudurudo Cristo tada tumagowo Pao bataruji tubagudu bokwa tabo.		
BOR-CORBO-BM-PHP-001-015	FILIPENSES	PHP	1	15	Boe jokodu, ia boe emagore Cristo jiboeji tugori tabo, tubegai pui du tabo, iagerema emagore ji tumeardae pemegareu tabo.		
BOR-CORBO-BM-PHP-001-016	FILIPENSES	PHP	1	16	Awuge emagore ji toiagudu tabo, eerduware ienai iwo idurudo Pao o Bakaru Pemegareu jitu koia.		
BOR-CORBO-BM-PHP-001-017	FILIPENSES	PHP	1	17	Nowugerema emagore Cristo jiboeji tuwo meartorureuge enogwacedo pubiji, emeardae jetorokare, emeardaere tuwo icebae itodudo imugui baicoreu tada du tabo.		
BOR-CORBO-BM-PHP-001-018	FILIPENSES	PHP	1	18	Mare imorora amagadukare. Cristo kogadodure eiamedu jabiji: meardae jetororeuge eiabiji, meardae jetorokareuge eiabiji, du ure iegaredo, umode iegaredo jii je rugadu.		
BOR-CORBO-BM-PHP-001-019	FILIPENSES	PHP	1	19	Iorduware awu jamedu boe pemegare ii iwo ikinorudo, tamago tamagore iparu tabo kodi, Pagimejera Jesus Cristo Utaroe Pemegareu ure tugera braredo ii jamedu kodi.		
BOR-CORBO-BM-PHP-001-020	FILIPENSES	PHP	1	20	Ipaga nure imodukare iwarigu boeto, mare awuji, boe jameduji, Cristo umode tugurido itada, iemode du keje, iarema iwimode du keje (iorduware awu inodu boe jokoduie duji).		
BOR-CORBO-BM-PHP-001-021	FILIPENSES	PHP	1	21	Paga karega, iere, mare Cristo koia, iwimode mare iwo aidugiri rumode.		
BOR-CORBO-BM-PHP-001-022	FILIPENSES	PHP	1	22	Mare iemode iredu tada imaragodu pemegawo ma, iorduwakare kakodiwu jiba itaidu remawumode.		
BOR-CORBO-BM-PHP-001-023	FILIPENSES	PHP	1	23	Itaidure jiboe ure pobe: Itaidure ituwo imuguwo Cristo apo du pemegamode ii.		
BOR-CORBO-BM-PHP-001-024	FILIPENSES	PHP	1	24	Mare imuguwo woe ikodu tada, du ure turugadu tagai jamedu.		
BOR-CORBO-BM-PHP-001-025	FILIPENSES	PHP	1	25	Du kodire iorduware imugumode taiamedu apo kimo, boe pemegawo tai, taegarewo tameartoraeji.		
BOR-CORBO-BM-PHP-001-026	FILIPENSES	PHP	1	26	Du kodire imode ikirimi tagae ma, taegaremode Jesus Cristoji pugeje.		
BOR-CORBO-BM-PHP-001-027	FILIPENSES	PHP	1	27	Mare umode turugadu tawo tado nono Pagimejera Jesus Cristo o Bakaru Pemegareu ui taroiagudu reore. Ikodumode tagae, iarema ikodumodukare, mare itaidure imearduwo boe egoi tabewui puapo, tamaragodui puapo Pao o Bakaru Pemegareu jituji. Tabagudu kaba onare taiwugece rugadu.		
BOR-CORBO-BM-PHP-001-028	FILIPENSES	PHP	1	28	Paga karega inodu umode ewogwado, mare tagi, umode taginorudo. Oinore Pao aidure.		
BOR-CORBO-BM-PHP-001-029	FILIPENSES	PHP	1	29	Paga karega tagonagodure tameartorui Cristo jituji, mare tamearduwo tajebaeji Cristo koia jamedu duji.		
BOR-CORBO-BM-PHP-001-030	FILIPENSES	PHP	1	30	Inoredure tabowu imaragodae mitodu tabore tagoredure tabo jamedu kodi.		
BOR-CORBO-BM-PHP-002-HEAD-001	FILIPENSES	PHP	2		Bakaru Maiwu ema remawu.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-PHP-002-001	FILIPENSES	PHP	2	1	Tagaidure tawo iegaredo Cristo tada, tagaidure tawo imeardu awadudo ii, tagaidure pameduiawo puje, tagogudure taiagudure itabo ma,		
BOR-CORBO-BM-PHP-002-002	FILIPENSES	PHP	2	2	Iegare kurido tameardu kurii pui du tabo. Tado tamidodudo tameardu kurii pui du tabo, tagaroedo mito tu je.		
BOR-CORBO-BM-PHP-002-003	FILIPENSES	PHP	2	3	Tarokaba ia taro tai tado mito mito du tabo, tagojaroi tai du tabo, mare tai tabiegado du tabo, tai tamedage ekodudo tagori du tabo.		
BOR-CORBO-BM-PHP-002-004	FILIPENSES	PHP	2	4	Tawiapaga kaba tu tagaidure jiboeji, mare tamedage emeardaere jiboeji jamedu.		
BOR-CORBO-BM-PHP-002-005	FILIPENSES	PHP	2	5	Tado nono Cristore jiboeji.		
BOR-CORBO-BM-PHP-002-006	FILIPENSES	PHP	2	6	Emare Aroe Eimejera rema, mare ocarokare pudui Aroe Eimejerai pudumi duji.		
BOR-CORBO-BM-PHP-002-007	FILIPENSES	PHP	2	7	Mare ure tuwiegado tui imedudo pudumi tui boe etugaredo pudumi du tabo.		
BOR-CORBO-BM-PHP-002-008	FILIPENSES	PHP	2	8	Ure boe eerdudo imedui pudumi duji, ure tuwiegado pudui jii tui tumagu tuwidoduwo i padui pugajejedu keje du kae.		
BOR-CORBO-BM-PHP-002-009	FILIPENSES	PHP	2	9	Du kodire Pao okwa jerebarire apo boe jamedu boe kori, ure ie mugui boe eie jamedu boe aogejewu makai.		
BOR-CORBO-BM-PHP-002-010	FILIPENSES	PHP	2	10	Duma, boe eiamedu boe ere tubujodo Jesus ie otodai, baru tada, moto keje, joru tada jamedu.		
BOR-CORBO-BM-PHP-002-011	FILIPENSES	PHP	2	11	"Duma, boe eiamedu boe egomode Jesus Cristoie tugimejera rema, du tabore Pao akaru kurimode.
Boei tudurudo tuwo tubemegadodu."		
BOR-CORBO-BM-PHP-002-012	FILIPENSES	PHP	2	12	Du kodire, imeardu kurire jiwuge tagi, meartorure Pao bataru jiwugere tagi, tamaragodudo tawo taginorudo du bogai, tabagudu tabo, taroi du du du je du tabo, mare iegai tu je karega, mare oino iiageje jamedu.		
BOR-CORBO-BM-PHP-002-013	FILIPENSES	PHP	2	13	Paga karega, Pao koiare ure tagaidudo, tarodo nono taidu reore kodi.		
BOR-CORBO-BM-PHP-002-014	FILIPENSES	PHP	2	14	Tamode boe jamedu boe towuje tamago pega kai du tabo, tabagudu bokwa tabo.		
BOR-CORBO-BM-PHP-002-015	FILIPENSES	PHP	2	15	Iaboe iaboe emago kawo tai, tameardae jetorogoduwo, Pao orewo tagi, iaboe iaboe pegareu jetu kawo tado, taedui ro pegareuge etada du tabo, taerugu jowo moto joki.		
BOR-CORBO-BM-PHP-002-016	FILIPENSES	PHP	2	16	Tanure bakaru jereu reko tagabo. Du inodu tabo, pagimejera Jesus Cristo aregodumode kejewu meri keje iegaremode iregodukai paga tu je duji.		
BOR-CORBO-BM-PHP-002-017	FILIPENSES	PHP	2	17	Iku umode ceredo tameartorui Pao jitu koia mode ma, iegarere, inure iie kurido tai.		
BOR-CORBO-BM-PHP-002-018	FILIPENSES	PHP	2	18	Tagi jamedu taegaredo, tagaidudo tai itabo.		
BOR-CORBO-BM-PHP-002-019	FILIPENSES	PHP	2	19	Ipagamode iwo Timóteo utudo toro tagae Pagimejera Jesus Cristo ie tabo, iduruwo tagagaru aregodui iwogai du koia.		
BOR-CORBO-BM-PHP-002-020	FILIPENSES	PHP	2	20	Emare ure mito tu je itabo tumeardaewo tai.		
BOR-CORBO-BM-PHP-002-021	FILIPENSES	PHP	2	21	Iage eiamedu eemarure taidure jiboe bogai, Mare Jesus Cristo aidure jiboe bogai karega.		
BOR-CORBO-BM-PHP-002-022	FILIPENSES	PHP	2	22	Taerduware ro jetorogoduji, taerduware uie tumagu itabo Pao o Bakaru Pemegareu ai duji, tumagai itonaregedu reore.		
BOR-CORBO-BM-PHP-002-023	FILIPENSES	PHP	2	23	Du kodire. ipagamode iwo utudo tagae, iordumode inoba boemode ii kuri je du keje.		
BOR-CORBO-BM-PHP-002-024	FILIPENSES	PHP	2	24	Mare imeartorure Ikimijeraji imi jamedu ikodumode iorduwo tai kuri je jamedu.		
BOR-CORBO-BM-PHP-002-025	FILIPENSES	PHP	2	25	Iordu pemegare jamedu iwo Epafrodito utudo tagae jamedu, du imeduia rema imaragodaeji, ieonare jiboeji, du tare utudo itae marigudu tuwo tugerabraredo ii akere ii boe keje.		
BOR-CORBO-BM-PHP-002-026	FILIPENSES	PHP	2	26	Kiarigodure taiamedu boe bogai, morora amagadure taigoia, boere tawie tugogoduie ure du koia.		
BOR-CORBO-BM-PHP-002-027	FILIPENSES	PHP	2	27	Boe jokodu ure tuwiiagu tugogodae koia, mare Paore togududo apo. Mare apo tu je karega, itabo jamedu, ikiarigodae jokawo puwugeje du bogai.		
