id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-GAL-001-HEAD-001	GALATAS	GAL	1		Paulo imadui Galácia kejewuge ebodu.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-GAL-001-001	GALATAS	GAL	1	1	Imi, Paulo, imode awu bapera atugodo. Jesus Cristo mare Pao Aroe Eimejera, koiare ure jewodudo bireuge epijidu, emagore iwogai Apostolowo imi, mare ime enogwa tabo karega; ime karega emagore iwogai.		
BOR-CORBO-BM-GAL-001-002	GALATAS	GAL	1	2	Imi mare cewu meartorure Pao bataruji emugure woe itabowuge, cegimadu nure tagabo, meartorure Pao bataru jiwu Galácia kejewuge tagabo.		
BOR-CORBO-BM-GAL-001-003	GALATAS	GAL	1	3	Cedaidure Pao Aroe Eimejera mare Pagimejera Jesus Cristo eno boe pemegareu muguwo tagabo.		
BOR-CORBO-BM-GAL-001-004	GALATAS	GAL	1	4	Jesus Cristo, ure tuiwodo pagai, tuwo paginorudo paro pegareu piji, tuwo paginorudo awu moto ro pega jamedu boe piji, Pao aidu reore.		
BOR-CORBO-BM-GAL-001-005	GALATAS	GAL	1	5	"Jire boe eegaremode jii je. Oino godu.
Bakaru pemegareu ui mito tu jedu."		
BOR-CORBO-BM-GAL-001-006	GALATAS	GAL	1	6	Irore ta je, tai tagera ra kuri cewu makore tawogai Cristo o boe pemegareu tabo du piji, tagodui kuri ia bakaru tuginoiwu rekodaji duji.		
BOR-CORBO-BM-GAL-001-007	GALATAS	GAL	1	7	Mare paga karega, Cristo o bakaru pemegareu ukare pobe: ure mito tu je. Mare ia meture tadodawuge etaidure tuwo tagaora bai baido, tawo Cristo o bakaru pemegareu pegado.		
BOR-CORBO-BM-GAL-001-008	GALATAS	GAL	1	8	Mare ia cegi rabodu, iarema ia tupa ui turawuje baru piji rabodu, du koiare umode ia bakaru tuginoiwu kogado tawiegaidu, cewu cere kogado tawiegai me keje ma, Pao umode jiwo pegado.		
BOR-CORBO-BM-GAL-001-009	GALATAS	GAL	1	9	Imagomode awu iwadaru mitoduji pugeje: iaboe emode ia bakaru tuginoiwu kogado tawiegai cewu ire kogado tawiegaiwu me keje pugeje ma, Paomode eiwo pegado.		
