id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-HEB-001-HEAD-001	HEBREOS	HEB	1		Boe paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-HEB-001-001	HEBREOS	HEB	1	1	Marigudu Pao Aroe Eimejera mako makore paomagei profetadoge eiabiji, turo tabo, tuwadaru tabo.		
BOR-CORBO-BM-HEB-001-002	HEBREOS	HEB	1	2	"Oino maigodu makore pai Tonaregedu ja piji. Paore boe jamedu boe maku ai, ure awu moto towuje ai.
Cristo kodure tupadoge ekori."		
BOR-CORBO-BM-HEB-001-003	HEBREOS	HEB	1	3	Pao urugu jeragudu nure Tonaregeduce. Pao ure towadudo Tonaregedu keje. Onaregedu iedure Paore toboe jamedu boeji tuwadaru rakareu koia. Emare, tui boe ero pegareu okwado du keje, ure tumugudo Pao kana pemegareu jaogwai, toro baru oto mito du keje.		
BOR-CORBO-BM-HEB-001-004	HEBREOS	HEB	1	4	Mugure tupadoge ewugajeje, ie mugure ewugajeje du reore.		
BOR-CORBO-BM-HEB-001-005	HEBREOS	HEB	1	5	Ca! Kakoduwu tupadoge eiba Pao akore: “Itonaregedu nure aki, awuji ire itonaregedudo aki?” (Sl 2,7). Ia boe keje akore: “Uomode imi, Itonaregedumode ema”  (		
BOR-CORBO-BM-HEB-001-002	HEBREOS	HEB	1	2	Sam 7,14).		
BOR-CORBO-BM-HEB-001-006	HEBREOS	HEB	1	6	Ia pugeje, tui Tonaregedu arego moto kae du keje, akore: “Pao o tupadoge eiamedu boe emode tubujodo ji”  (Sl 96,7).		
BOR-CORBO-BM-HEB-001-007	HEBREOS	HEB	1	7	Paci woje: akoi tupadogei du keje akore: “Ure bakuru rakareugedo to tupadogece, ure jorugodudodudo tudugaregece”  (Sl 103,4).		
BOR-CORBO-BM-HEB-001-008	HEBREOS	HEB	1	8	Mare akoi Tonaregedu jitudu keje akore: “Aroe Eimejera, amuga rakojemode jii je, akedumodukare, aeture boei boe jetororeu tabo.		
BOR-CORBO-BM-HEB-001-009	HEBREOS	HEB	1	9	Ameardu kurire boe jetororeuji, akodu kagirie boe ero pegareuji, du kodire, Pagimejera, ako Aroe Eimejerare kidoguru jekarereu maedo aiogi amedage ekori” (Sl 44,78).		
BOR-CORBO-BM-HEB-001-010	HEBREOS	HEB	1	10	Ia pugeje akore: “Aki, Pagimejera, are moto towuje boe otorigi roguji, akera tabore are baru towuje.		
BOR-CORBO-BM-HEB-001-011	HEBREOS	HEB	1	11	Emage ewogwamode, akirema aragojemode. Eiamedu boe epegagodumode ia aroia pegagodu magadu reore.		
BOR-CORBO-BM-HEB-001-012	HEBREOS	HEB	1	12	Akire amode etududo boe magai upore pudabowu aroia tududodu reore, tududodumode rugadu. Akire amode nono areore jii je, ako joru akedumodukare”. (Sl 101,2528).		
BOR-CORBO-BM-HEB-001-013	HEBREOS	HEB	1	13	Kakoduwuba tupadoge eiba akore ia boe keje: “Amugudo ikana pemegareu jaogwai jii imode onare aiwuge ewu awure kuda du kae?” (Sl 109,1).		
BOR-CORBO-BM-HEB-001-014	HEBREOS	HEB	1	14	Tupadoge eiamedu, aroedogere emage, duwuge ure etu etudo ewo tugerabraredo jeonare boe pemegareu jiwugei.		
BOR-CORBO-BM-HEB-002-HEAD-001	HEBREOS	HEB	2		Boe enogituwae.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-HEB-002-001	HEBREOS	HEB	2	1	Du kodire, umode turugadu pai pawiapaga birigoduwo Pao o bakaruji, boe jokodu kare kare, pamode paiaedo o boe pemegareu piji duji.		
BOR-CORBO-BM-HEB-002-002	HEBREOS	HEB	2	2	Paga karega, Pao o tupadoge emagore jiboe Paore boe jokodudo ema, mare meartorukare ewadaru jiwuge eiamedu boe, mori pegareu makudumode etai.		
BOR-CORBO-BM-HEB-002-003	HEBREOS	HEB	2	3	Pagi pamode awu bakaru pemegareu oinodu barigu ma, inoba boemode pai?. Ica! Awu Bakaru Pemegareu kogadodure Pao jabiji boetoji du keje, meardure jiwuge ere boe jokodudo ema.		
BOR-CORBO-BM-HEB-002-004	HEBREOS	HEB	2	4	"Paore tuiodo awuge ewadaru keje, turo awadureu tabo, turo rakareu tabo, turo tuginoiwu tabo, tudaroe Pemegareu o boe pemegareu tabo du ure maku boe etai taidu reore.
Cristore tuwiegado."		
BOR-CORBO-BM-HEB-002-005	HEBREOS	HEB	2	5	Cemagore jiwu aregodumodewu moto mugudodumodukare tupadoge ero kuda jamedu.		
BOR-CORBO-BM-HEB-002-006	HEBREOS	HEB	2	6	Ia bapera atugo joi awu inodu kejewu reo: Kaboba imedu rema, kaboba imedu onaregedu rema atuwo ae?		
BOR-CORBO-BM-HEB-002-007	HEBREOS	HEB	2	7	Are udo tuwiegado tupadoge ekuda ia boe keje biega tu je, du kejere are ie kurido, are akaru kurido.		
BOR-CORBO-BM-HEB-002-008	HEBREOS	HEB	2	8	Are boe jamedu boe bu bure kuda”. (Sl 8, 57). Aró, kode, ure boe jamedu bu bure kuda ma, iaboe iaboe mugu bokwamodukare ro kuda. Mare oino paerdukare roga boe jamedu boe mugui ro kuda duji.		
BOR-CORBO-BM-HEB-002-009	HEBREOS	HEB	2	9	Mare cewu Jesus, mugudodure tupadoge ekuda biegatu je du, paerdure mugui tuguri, turugu tada, tujebae koia, tuwidodu koia. Paga karega, bire ime eiamedu boe etai, Pao o boe pemegareu koia.		
BOR-CORBO-BM-HEB-002-010	HEBREOS	HEB	2	10	Ca! Pao Aroe Eimejera, cewu boe eiamedu boere aiwu, koiare boe eimadu boere, aidure tuwo tore makareuge erego baru pemegareuto, uwo ure boe eiamedu boe einorudowu pemega jokodudo tujebae koia.		
BOR-CORBO-BM-HEB-002-011	HEBREOS	HEB	2	11	Paga karega, ure boe epemegadowu mare pemegadodureuge eiamedu boe ere mito tu je. Du kodire Jesus pagudukare tagoi tuwiemageie ure emage.		
BOR-CORBO-BM-HEB-002-012	HEBREOS	HEB	2	12	Akore: “Imode akie awadudo iwiemage ewiegai, boe etoiadoda iragodumode akagaru pemegareuji”. (S121,23).		
BOR-CORBO-BM-HEB-002-013	HEBREOS	HEB	2	13	Ia pugeje akore: “Imire imode imeartorudo ji” (Is 8,17). Ia boe keje pugeje akore: “Imireo, Paore maku inaiwu itore ebo”  (Is 8,18).		
BOR-CORBO-BM-HEB-002-014	HEBREOS	HEB	2	14	Umagai boe etore ekodu eku ure pureore, du reorere ema jamedu kodure ereore, tuwo ure boe ewogwadowu Aroe pegareu  ro bokwado tuwi tabo.		
BOR-CORBO-BM-HEB-002-015	HEBREOS	HEB	2	15	Tuwo pagudure tuwimodedu jiwuge edo cinorudo.		
BOR-CORBO-BM-HEB-002-016	HEBREOS	HEB	2	16	Mare ukare tugera raido tupadoge etai, mare ure tugera raido Abraão ore etai.		
BOR-CORBO-BM-HEB-002-017	HEBREOS	HEB	2	17	Du kodire ure tudo nono tuwiemage ereore boe jamedu boe keje, tuwo Pao uwobe eimejera okudureu ro pemegareudo pudumi Pao jekai, tuwo tuwobe ero pegareu morido.		
BOR-CORBO-BM-HEB-002-018	HEBREOS	HEB	2	18	Boe jokodu, ure turokogado tujebae jamedu boeji, du kodire roiware tuwo tugera braredo mugure tujebae tadawugei.		
BOR-CORBO-BM-HEB-003-HEAD-001	HEBREOS	HEB	3		Cristo kodure Moisés kori.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-HEB-003-001	HEBREOS	HEB	3	1	Du kodire, iwiemage pemegareuge, Pao makore tawogai taduwo boe pemegareu kae, tameardae tugu ure pameartoru maku pagaiwu Jesusji.		
BOR-CORBO-BM-HEB-003-002	HEBREOS	HEB	3	2	Ema meartorure ure turojaiwu Pao bataruji. Moisés jamedu meartorure ji, tuwobe eiamedu apo.		
BOR-CORBO-BM-HEB-003-003	HEBREOS	HEB	3	3	Mare kodure Moisés kori, ure bai towujewu kodu magai ture towujewu bai kori du reore.		
BOR-CORBO-BM-HEB-003-004	HEBREOS	HEB	3	4	Paga karega, iaboe eigoiare ere baidoge etowuje tu tu je. Ica, ure boe eiamedu boe etowujewu Pao rema.		
BOR-CORBO-BM-HEB-003-005	HEBREOS	HEB	3	5	Moisés pemegare, meartorure Paoji, jore Pao bataru keje, Pao utugarei pudumi du koia, tuwobe eiamedu tabo.		
BOR-CORBO-BM-HEB-003-006	HEBREOS	HEB	3	6	"Cristorema, jeture tuwobei Pao Onaregedui pudumi du tabo. Awu uwobe nure pagi, pai padurudo jii je pagedu rakawo pameartorure jiboeji, pagojaroi pabagare bogaiboeji.
Boewo tumeardu awadudo pudui tukawo tuiaedo Pao piji."		
