id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-JHN-001-HEAD-001	JOÃO	JHN	1		Ure boe eedowu Bataru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-JHN-001-001	JOÃO	JHN	1	1	Boe paru ui tudowuje du otodai, Bataru ure marigudu. Bataru mugure Aroe Eimejera apo. Bataru Aroe Eimejera nure ema rugadu.		
BOR-CORBO-BM-JHN-001-002	JOÃO	JHN	1	2	Boe paru ui tudowuje du otodai, Bataru mugure Pao apo rugadu.		
BOR-CORBO-BM-JHN-001-003	JOÃO	JHN	1	3	Koiare ure boe jamedu boe towuje; taobiji karega boe jamedu boere tudowuje: Koiare ure towuje.		
BOR-CORBO-BM-JHN-001-004	JOÃO	JHN	1	4	Tadare jereboe mugure; nowu jereboe, ime eerugu nure ema.		
BOR-CORBO-BM-JHN-001-005	JOÃO	JHN	1	5	Nowu urugureboe jore boecoto, mare boeco ukare tugeragu ji.		
BOR-CORBO-BM-JHN-001-006	JOÃO	JHN	1	6	Paore ia imedu iere João cedu rojai,		
BOR-CORBO-BM-JHN-001-007	JOÃO	JHN	1	7	Makowo urugureboe jiboeji, du koiawo boe eiamedu boe emeartorure.		
BOR-CORBO-BM-JHN-001-008	JOÃO	JHN	1	8	Urugureboe karega ure awu imeduce, mare aregodure tumagowo boe jokoduie nowu urugureboe rema.		
BOR-CORBO-BM-JHN-001-009	JOÃO	JHN	1	9	Nowu urugureboe, boe riki remawu urugureboe, du aregodui awu mato kae du keje, urugu jore ime eiameduto.		
BOR-CORBO-BM-JHN-001-010	JOÃO	JHN	1	10	Rakojere moto keje, koiare ure awu moto towuje, mare awu moto jorduwakare ji.		
BOR-CORBO-BM-JHN-001-011	JOÃO	JHN	1	11	Aregodure woe toe remaboe kae mare nowu oere emawuge ekare tugeragu ji.		
