id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-JUD-001-HEAD-001	JUDAS	JUD	1		Boe paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-JUD-001-001	JUDAS	JUD	1	1	Judas, Jesus Cristo utugare, Tiago uwie, imeardu kurire Pao kejewu pemegareuge etai, Jesus Cristo ure tugeragu ji pudaiwuge etai.		
BOR-CORBO-BM-JUD-001-002	JUDAS	JUD	1	2	"Boe okudureu, boe butugureu, boe emeardu kuriae kororogoduwo tagabo.
Boei tudurudo jorduwa paga pagawuge ime eidu."		
BOR-CORBO-BM-JUD-001-003	JUDAS	JUD	1	3	Imeardu kurire jiwu iwiemage, ake rakaguragare ii iwo bapera atugodo tawogai umode paginorudo boeji. Du kodire itaidure iwo awu bapera atugodu tawogai, inogituwawo tai, tagedu rakawo makudure Pao uwobe etaiwu boe emeartoraeji.		
BOR-CORBO-BM-JUD-001-004	JUDAS	JUD	1	4	Paga karega, ia ro pegareu ime emedure padoda podu tabo, duwuge eonare boewo tugogado ei marigudu. Ere Pao o boe pemegareu pegado, ere tuiorduwa bokwado ure paerduwadowu Pagimejera mitotu jewu Jesus Cristoji.		
BOR-CORBO-BM-JUD-001-005	JUDAS	JUD	1	5	Imode tawiabutudo, taerduware awu inodu jameduji kodi karega. Paore toge einorudo Egito piji du keje, ure meartorukareuge eeda kedodo.		
BOR-CORBO-BM-JUD-001-006	JUDAS	JUD	1	6	Jamedu ure ia to tupadoge ekai tudo nono iaboere, ei tumuga pemegareu pijido du tabo, ure ekogudo akedumodukareu bukigu tabo jii umode tugogado boei jiwu meri kurireu kae.		
BOR-CORBO-BM-JUD-001-007	JUDAS	JUD	1	7	Jamedu Sodoma, Gomorra bakurireuge, ia oieiwu bakurireuge, duwuge erore turo pegareu boeji, ere tumagu boe eromodukare emawu turo pegareuto, du kodire epadure toro joru akedu bokwareu kuda, boe eerdaece.		
BOR-CORBO-BM-JUD-001-008	JUDAS	JUD	1	8	Du reorere awu ime etaora pega remawure, ere tugodu pegado, ere Pao o bataru redugodudo, ere togwa pegado aroei.		
BOR-CORBO-BM-JUD-001-009	JUDAS	JUD	1	9	Aró! Cewu tupa kurireu iei Miguel cedu rugodui  Aroe pegareuge eimejeraji, Moisés bire du koia, du keje, ukare togwa pegado ji, mare akore oino ji tu je: “Aroe Eimejera umode tugogado ai”.  Oino.		
BOR-CORBO-BM-JUD-001-010	JUDAS	JUD	1	10	Awugerema emago pegare tuiorduwakare jiboeji. Eerdure tu awu moto kejeboeji barege eerdu magai tuioku tabo du reore, dure ure ewogwado boeto.		
BOR-CORBO-BM-JUD-001-011	JUDAS	JUD	1	11	Eiwo pegare, mare ekodure Caim utawaraji kodi. Ere tuwogwado Balaão ui tuwogwado du reore tugodui boe emori rekodaji du koia. Eeda kedore cewu Coré rugodui boei du keje.		
BOR-CORBO-BM-JUD-001-012	JUDAS	JUD	1	12	Ere boe pegado tagogwage boe keje. Enogwagere tagabo, turokai nono boe erore du tabo, tui tuguredudo du tabo. Ere nono bakuru ure rekowu boetugu biororeu reore. Iguru tudu bokwareu reoreuge, ewidodure pobe, tugwa bokwa koia.		
BOR-CORBO-BM-JUD-001-013	JUDAS	JUD	1	13	Pobo maereu pobuto pegareu ui todaro rurureu barigudu reoreuge. Kuiejedoge ekodui jice woje tuwo tuwogwado boeco akedumodukareuto du reoreuge nure emage.		
BOR-CORBO-BM-JUD-001-014	JUDAS	JUD	1	14	Nowu Henoc, ure pobe taci ikera awubowutowu Adão rekodajiwu, akore oino ei boemoduie oino ei ia boiboe keje. Akore: Ica, Pao kurireu aregodure pemegareu makareuge ebo.		
BOR-CORBO-BM-JUD-001-015	JUDAS	JUD	1	15	Tuwo tugogado boe eiamedu boei, tuwo pegareuge epogurudo, tuwo eredugodudo ero pegareu koia, ewadaru pegare Pao jiwu jamedu boe koia.		
BOR-CORBO-BM-JUD-001-016	JUDAS	JUD	1	16	"Butugugodu bokwareu mako pegareu nure emage, ekodure tuwadaru rekodajiwu ime, enogwa makore tojarore jiboeji, eebogodure iaboe eroji, mare moridoduwo pudai du bogai.
Boe enogituwadodu."		
BOR-CORBO-BM-JUD-001-016	JUDAS	JUD	1	16	Tagirema, imeardu kurire jiwuge tagi, tawiabutudo Pagimejera Jesus Cristo utugarege ewadaru keje.		
BOR-CORBO-BM-JUD-001-018	JUDAS	JUD	1	18	Duwugere egoino tai: Boe puredugodu keje batararodureuge etaregodumode, duwuge eromode nono tuiordae tumeardae pegareu rekodaji.		
BOR-CORBO-BM-JUD-001-019	JUDAS	JUD	1	19	Ere boe erugo pui jice wojewuge ime, meardae pegareu ime, duwugere Aroe Pemegareu mugukare ebo.		
BOR-CORBO-BM-JUD-001-020	JUDAS	JUD	1	20	Tagirema, imeardu kurire jiwuge tagi, taragoje rakado puapo tameartorure jiboe keje.		
BOR-CORBO-BM-JUD-001-021	JUDAS	JUD	1	21	Tamugudo Pao meardu kuriae keje, tabagai Pagimejera Jesus Cristo okudu uiagudu bogai du tabo ma, taewo jii je.		
BOR-CORBO-BM-JUD-001-022	JUDAS	JUD	1	22	Taiodo pagudureuge ewugeje.		
BOR-CORBO-BM-JUD-001-023	JUDAS	JUD	1	23	"Iage edo cinorudo, tai etawuje joru piji du tabo. Taiagududo iagei, mare tabagudu tabo, tagaidu kai ekudae rorogodudodure boe ekodu tabo duji jamedu.
Bapera ao."		
BOR-CORBO-BM-JUD-001-024	JUDAS	JUD	1	24	Cewu roiware tukawo tawududo, tuwo tugeragu tai turugu kurireu kae, tabega bokwa tabo, taegare tabowu,		
BOR-CORBO-BM-JUD-001-025	JUDAS	JUD	1	25	Cewu ure paginorudo Pagimejera Jesus Cristo koia Pao mito tu jewu, boewo jekaredo, boewo kurido, boewo boe eimejerado ema, boewo ro rakado, jii boe paru piji jii oino, boe jameduji jii je. Oino godu		
