id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-LUK-001-HEAD-001	LUCAS	LUK	1		Boe paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-LUK-001-001	LUCAS	LUK	1	1	Imeduia akaruio Teófilo, imode bapera atugodo bakaru pemegareuji awogai. Makareuge emaragodure tuwo bu bapera keje cewu ure tudowuje padodadu jamedu boeji.		
BOR-CORBO-BM-LUK-001-002	LUCAS	LUK	1	2	Ere bu bapera keje nowu inoduji, nono cewu eerdure jiwuge ereadodure pawiegai jii paru piji du reore, duwugere nowu bakaru epagere emage.		
BOR-CORBO-BM-LUK-001-003	LUCAS	LUK	1	3	Imi jamedu iordu pemegare iwo bapera atugodo ji, umagadu reore, iemarui jamedu boeji jii paru piji.		
BOR-CORBO-BM-LUK-001-004	LUCAS	LUK	1	4	"Ire bapera atugodo nowu inodu jameduji awogai, Teófilo, aerduwawo cewu ameardure jiboe boe jokodu boe riki rugaduie duji.
João Batista botumodedu."		
BOR-CORBO-BM-LUK-001-005	LUCAS	LUK	1	5	Judeudoge eimejera kurireui Herodes cedu tabo, ia sacerdote iei Zacarias cedu, Abias jaogwaiwu, rakojere Jerusalém keje. Oreduje iere Isabel, ia Aarão uwobe.		
BOR-CORBO-BM-LUK-001-006	LUCAS	LUK	1	6	Ei pobedu eedorogodure pudui Pao jekai, emeartoru rakare Pao makore jiboe jamedu boeji.		
BOR-CORBO-BM-LUK-001-007	LUCAS	LUK	1	7	Mare etorekare, mare paga karega, Isabel ore bokwareudo nure ema; jamedu ei pobedu ecodugodu remawu nure jamedu kodi.		
BOR-CORBO-BM-LUK-001-008	LUCAS	LUK	1	8	Sacerdotedoge ere ia tumeduia tawuje mito tu tu pubiji tuwo bokadoboe kowu Pao uwai tada.		
BOR-CORBO-BM-LUK-001-009	LUCAS	LUK	1	9	Ica, ia meri keje, ere Zacarias tawuje nowu inodu bogai, du ure turemo Pao uwaito tuwo nowu sacerdotedoge eroia towuje du bogai.		
BOR-CORBO-BM-LUK-001-010	LUCAS	LUK	1	10	Ure nowu bokadoboe kowu du tonaji, boe eiamedu boe eedure baawadu keje tui togwa kurido Pao jitu tabo.		
BOR-CORBO-BM-LUK-001-011	LUCAS	LUK	1	11	Boekarema, Paore rojaiwu ia tupa baru tadawu ure towadudo nono, Zacarias jekai, nowu roreboe pemegareu jeta ira kana pemegareu jaogwai.		
BOR-CORBO-BM-LUK-001-012	LUCAS	LUK	1	12	Icare Zacarias, tuiordui jitu keje, tori buture jagi, pagudugodaere tubodo apo.		
BOR-CORBO-BM-LUK-001-013	LUCAS	LUK	1	13	Mare tupa akore ji: - Apagudu kaba, Zacarias. Mare paga karega, akogwamagudure bogaiboe Pao meardure ji. Akoreduje Isabel umode ia akonaregedu makai, du amode iedo João.		
BOR-CORBO-BM-LUK-001-014	LUCAS	LUK	1	14	Aegare kuricigomodedu kodiboemode ema. Makareuge eegaremode butu keje.		
BOR-CORBO-BM-LUK-001-015	LUCAS	LUK	1	15	Mare paga karega, kuricigomode Pao jekai. Kudumodukare parera kuruce, kudumodukare pagodureboece. Aroe Pemegareu metumode tada butumodedu otodai.		
BOR-CORBO-BM-LUK-001-016	LUCAS	LUK	1	16	Umode Israeldoge makareuge erego eno Aroe Eimejera ae.		
BOR-CORBO-BM-LUK-001-017	LUCAS	LUK	1	17	Merumode tui Pao o bataru kogado du tabo, ro rakamode nono Elias ro raka reore. Umode boe etuomage, boe etore edo boe pemegado pui. Umode boe emeartoru bokwareuge edo tugirimi tugodu pemegareu kae. Umode Israeldoge edo tudo turugadu Pagimejera aregodumodedu kae.		
BOR-CORBO-BM-LUK-001-018	LUCAS	LUK	1	18	Zacarias unoragodure nowu tupaji, akore: - Inoba imeartorumode nowu inoduji? Ipegagodure, itoreduje kodure nowu inodu kori jamedu.		
BOR-CORBO-BM-LUK-001-019	LUCAS	LUK	1	19	Tupa akore ji: - Gabriel imireo, imire iragojere Pao Aroe Eimejera apo; imire irojaidodure akae, imagowo awu bakaru jekarereu pemegareuji awiegai.		
BOR-CORBO-BM-LUK-001-020	LUCAS	LUK	1	20	Akire are ameartoru bokwado iwadaruji. Nowu inodu koia, awadaru bokwamode, awadaru padumodukare akajeje jii nowu inodu umode tudowuje du kae; mare paga karega, nowu inodu umode tudowuje boe aregodui pudae du keje rugadu.		
BOR-CORBO-BM-LUK-001-021	LUCAS	LUK	1	21	Nowu boema, epagare baawadu keje Zacarias, bogai, eebogodure nowu okwai oino toro Pao uwai tada du,ji.		
BOR-CORBO-BM-LUK-001-022	LUCAS	LUK	1	22	Tui tuiebu du keje, akoiwakare tumagowo ei; ere boe pa bieduie Pao uwai tada ia boe pemegareu kurireu jituji. Ure ewie nowu inoduji tui tugera amagado du tabo. Bataru bokware rugadu.		
BOR-CORBO-BM-LUK-001-023	LUCAS	LUK	1	23	Tui tumaragodae akedudo du keje, uture tuwai kae.		
BOR-CORBO-BM-LUK-001-024	LUCAS	LUK	1	24	"Ia kodiboe rekodaji, oreduje Isabel kuiarure tu je. Ari ikera awubodure du tonaji, ukare tuiebu tuwai piji, tagoi: 25 Ica, cewu Paore makinaiwu boe pemegareu kurireu reo: Ure taiwodo ii tuwo ipogururedu barigu ipiji ime eegai.
Jesus butumodedu."		
BOR-CORBO-BM-LUK-001-026	LUCAS	LUK	1	26	Ari ikera awubodure mito taci ikera awubowuto Isabel kuiaruredu rekodajire, Paore to tupa Gabriel rojai ia bakurireu padui Galiléia tadadu iere Nazaré cedu kae.		
BOR-CORBO-BM-LUK-001-027	LUCAS	LUK	1	27	Nowu tupa makomode ia ui tumuguiagu ia imedu apowu nogwaredu pemegareudoji. Nowu imedu iere José, ia Davi uwobe. Nowu nogwaredu pemegareudo iere Maria.		
BOR-CORBO-BM-LUK-001-028	LUCAS	LUK	1	28	Tupare turemo Maria uwaito, akore ji: - Aegaredo, Maria. Pemegareboe awadure jeture akabo. Akabore Pao Aroe Eimejera mugure.		
BOR-CORBO-BM-LUK-001-029	LUCAS	LUK	1	29	Maria pagudugodure nowu bataru keje; kodi icare ure tumeardae tugu nowu inoduto, kakoduwu bakaru jiba akoino.		
BOR-CORBO-BM-LUK-001-030	LUCAS	LUK	1	30	Icare nowu tupa akore ji: - Apagudu kaba, Maria, Pao jekarere ai.		
BOR-CORBO-BM-LUK-001-031	LUCAS	LUK	1	31	Ica, akuiarumode, akuri butumode ia akonaregedu rogu apo, dure amode iedo Jesusce.		
BOR-CORBO-BM-LUK-001-032	LUCAS	LUK	1	32	Ema kuricigomode, iemode Pao baru tadawu Onaregedu: Pao umode uiedaga Davi muga makai; jetumode jii je Jacó uwobei rugadu.		
BOR-CORBO-BM-LUK-001-033	LUCAS	LUK	1	33	Jeture jiboe akedumodukare.		
