id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-MRK-001-HEAD-001	MARCOS	MRK	1		João Batista uwadodae.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-MRK-001-001	MARCOS	MRK	1	1	Pao baru tadawu Onaregedu Jesus Cristo o bakaru maiwu pemegareu paru. Profeta Isaias o bapera keje atugododure oino:		
BOR-CORBO-BM-MRK-001-002	MARCOS	MRK	1	2	"""Ica, inure ino tupa utudo akododai, emare umode akawara pemegado."		
BOR-CORBO-BM-MRK-001-003	MARCOS	MRK	1	3	Iaboe mako padure boe matadu kajeje, akore: Pagimejera utawara jetorodo, moto aoporu boe kororogodudo” (Mal 3,1; Is 40,3).		
BOR-CORBO-BM-MRK-001-004	MARCOS	MRK	1	4	Kodi icare João Batista je padure boe matadu kajeje tokituwai boei ewo tao pegodo ma, epemegawo, ero pegareu pijidoduwo.		
BOR-CORBO-BM-MRK-001-005	MARCOS	MRK	1	5	Du kodi icare, Judéia kejewuge eiamedu boe, Jerusalém kejewuge eiamedu boe etu eture ae tumagowo ji; emagore turo pegareuji, du kejere ure etao pegodo Jordão po tada.		
BOR-CORBO-BM-MRK-001-006	MARCOS	MRK	1	6	João merure camelo biri metui pudui du tabo, ia kogure kajeje, okwagere bokokuadogei, moiawoei jamedu.		
BOR-CORBO-BM-MRK-001-007	MARCOS	MRK	1	7	Icare uwadodure, akore: - Ia kodu remawure ikoriwu imedu aregodumode iregodaji, duwu otoji icekare iwo bure tadawu iku kiwuje.		
BOR-CORBO-BM-MRK-001-008	MARCOS	MRK	1	8	"Ire tagao pegodo pobo tabo, emarema, umode tagao pegodo Aroe Pemegareu tabo.
João Batistare Jesus ao pegodo."		
BOR-CORBO-BM-MRK-001-009	MARCOS	MRK	1	9	Boekimorema, nowu ia meri keje Jesus aregodure padure Galiléia kejewu bakurireu iei Nazaré cedu piji. Icare ao pegododure João koia, Jordão po tada.		
BOR-CORBO-BM-MRK-001-010	MARCOS	MRK	1	10	Icare ui tudawuje pobo piji du tonajire icare jordure barui tuiado, Aroe Pemegareu ui turawuje tui nono metugu reore du tabo bukeje duji.		
BOR-CORBO-BM-MRK-001-011	MARCOS	MRK	1	11	Boe emeardure ia boe mako aregodui baru piji duji, akore:  - Akire imeardu kurire jiwu itonaregedure aki: Awugejere ire imeardu kuriae jamedu boe bu.		
BOR-CORBO-BM-MRK-001-012	MARCOS	MRK	1	12	Awu inodu otobiji, Aroere utudo toro boe mataduto.		
BOR-CORBO-BM-MRK-001-013	MARCOS	MRK	1	13	"Merire ikera pudogidure, iwure pudogidure, ikera pudogidure, iwure pudogidure ji nono, Aroe pegareu  podure ji nono, barege eedure apo, tupadoge eedure ji.
Jesus uwadodae."		
BOR-CORBO-BM-MRK-001-014	MARCOS	MRK	1	14	Icare braere João tugu baicoreuto, du rekodajire icare Jesus uture Galiléia kae. Ure Pao o bakaru maiwu pemegareu kuo, tagoi: -		
BOR-CORBO-BM-MRK-001-015	MARCOS	MRK	1	15	"Icare boe aregodure pudae, Pao o boe pemegareu aregodu nure, icare tagodorogado tai, tameartorudo Pao o bakaru maiwu pemegareuji.
Jesus ure jorduwadowu boetojiwuge ei pobe puibijidu."		
BOR-CORBO-BM-MRK-001-016	MARCOS	MRK	1	16	Tumerui Galiléia kejewu kuruga kurireu okwai du tabore icare, jordure Simãoji, uwie Andréji, ei buke barigu poboto duji, boekarema, kare ecebage rabodure emage.		
BOR-CORBO-BM-MRK-001-017	MARCOS	MRK	1	17	Icare Jesus akore ei: - Tago itabo! Iwo tuwugerurudo imeiwugedo tagi.		
BOR-CORBO-BM-MRK-001-018	MARCOS	MRK	1	18	Kuri je ere tugera ra tuwuge piji, ekodure apo.		
BOR-CORBO-BM-MRK-001-019	MARCOS	MRK	1	19	Ekodure gu... je du keje, jordure Tiago, Zebedeu onaregeduji, uwie Joãoji, eedui ia ika tada duji, enure tugare pemegado tuwugeji.		
BOR-CORBO-BM-MRK-001-020	MARCOS	MRK	1	20	"Makore kuri etai. Eture tuo Zebedeu mugui tudugarege ebodu piji, ekodure apo.
Jesus ui  Aroe pegareuge ewarigu ia imedu pijidu."		
