id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-MAT-001-HEAD-001	MATEUS	MAT	1		Jesus Cristo otodaiwuge.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-MAT-001-001	MATEUS	MAT	1	1	Jesus Cristo, Davi Onaregedu, Abraão onaregedu, jeture otojiwu uwobe ekie epadui bapera kejedu.		
BOR-CORBO-BM-MAT-001-002	MATEUS	MAT	1	2	Abraão ure Isaac towuje. Isaac ure Jacó towuje. Jacó ure Judá towuje, ure Judá umanamage uwiemage etowuje jamedu.		
BOR-CORBO-BM-MAT-001-003	MATEUS	MAT	1	3	Judá mare Tamar ere Farés mare Zara etowuje. Farés ure Esron towuje. Esron ure Arão towuje.		
BOR-CORBO-BM-MAT-001-004	MATEUS	MAT	1	4	Arão ure Aminadabe towuje. Aminadabe ure Naasson towuje. Naasson ure Salmon towuje.		
BOR-CORBO-BM-MAT-001-005	MATEUS	MAT	1	5	Salmon mare Raabe ere Booz towuje. Booz mare Rute ere Obede towuje. Obede ure Jessé towuje. Jessé ure brae eimejera Davi towuje.		
BOR-CORBO-BM-MAT-001-006	MATEUS	MAT	1	6	Uria bokware pijiwu aredu apore, brae eimejera Davi ure Salomão towuje.		
BOR-CORBO-BM-MAT-001-007	MATEUS	MAT	1	7	Salomão ure Roboão towuje. Roboão ure Abias towuje. Abias ure Asa towuje.		
BOR-CORBO-BM-MAT-001-008	MATEUS	MAT	1	8	Asa ure Josafá towuje. Josafá ure Jorão towuje. Jorão ure Ozias towuje.		
BOR-CORBO-BM-MAT-001-009	MATEUS	MAT	1	9	Ozias ure Joatão towuje. Joatão ure Acaz towuje. Acaz ure Ezequias towuje.		
BOR-CORBO-BM-MAT-001-010	MATEUS	MAT	1	10	Ezequias ure Manassés towuje. Manassés ure Amon towuje. Amon ure Josias towuje.		
BOR-CORBO-BM-MAT-001-011	MATEUS	MAT	1	11	Josias ure Jeconias towuje, ure umanamage etowuje jamedu, Babilônia rorerui Judeudoge eidu kodiwu keje.		
BOR-CORBO-BM-MAT-001-012	MATEUS	MAT	1	12	Nowu Babilônia rorerui judeudoge eidu kodiwu rekodaji, Jeconias ure Salatiel towuje. Salatiel ure Zorobabel towuje.		
BOR-CORBO-BM-MAT-001-013	MATEUS	MAT	1	13	Zorobabel ure Abiude towuje. Abiude ure Eleacim towuje. Eleacim ure Azor towuje.		
BOR-CORBO-BM-MAT-001-014	MATEUS	MAT	1	14	Azor ure Sadoc towuje. Sadoc ure Aquim towuje. Aquim ure Eliude towuje.		
BOR-CORBO-BM-MAT-001-015	MATEUS	MAT	1	15	Eliude ure Eleazar towuje. Eleazar ure Matam towuje. Matam ure Jacó towuge.		
BOR-CORBO-BM-MAT-001-016	MATEUS	MAT	1	16	Jacó ure José towuje. José mugure Maria apo, du tabore Jesus ure tudowuje ai, dure iere Cristo.		
BOR-CORBO-BM-MAT-001-017	MATEUS	MAT	1	17	"Du kodire ere pudato pudatodure ikera pudogidure ewudure iwurekoto pobe puibiji Abraão piji jii Davi ae. Jii Davi piji Babilônia rorerurewo kae dure ikera pudogidure ewudure pobe puibiji iwurekoto jii Cristo ae.
Jesus buturedu."		
BOR-CORBO-BM-MAT-001-018	MATEUS	MAT	1	18	Ica, Jesus butu kodiwu: Uce Maria mare José ei tuienado puidu, emugumode puapodu otodaire, awu inodure tudowuje Mariaji: Kuiarure Aroe Pemegareu koia.		
BOR-CORBO-BM-MAT-001-019	MATEUS	MAT	1	19	Nowu mugumode apowu José, imedu jetororeu, aidukare akaru pegawo: icare padure tugajeje tuwo turodo oino piji podu tabo.		
BOR-CORBO-BM-MAT-001-020	MATEUS	MAT	1	20	Meardaere oino kimo, du kejere icare Pao Aroe Eimejera ia o Tupare towadudo ji unuiao tada. Akore: - José, Davi onaregedu, apagudu kaba Maria makuduwo akai akoredujece. Paga karega, kejere Aroe Pemegareu ure turawuje keje.		
BOR-CORBO-BM-MAT-001-021	MATEUS	MAT	1	21	Ema kuributumode ia tonaregedu rogu apo, dure amode iedo Jesusce; emare umode tuwobe einorudo turo pegareu piji kodi.		
BOR-CORBO-BM-MAT-001-022	MATEUS	MAT	1	22	Nowu inodu jamedu ure tudowuje uwo nono Aroe Eimejera makore profetadogei jiboe reore.		
BOR-CORBO-BM-MAT-001-023	MATEUS	MAT	1	23	"""Ica, ia virgem kuiarumode, onaregedu butumode, du iemode Emanuel  (nowu bataru inodure oino: Aroe Eimejera mugui pagabodu) (Is 7,14)."		
BOR-CORBO-BM-MAT-001-024	MATEUS	MAT	1	24	Icare, tuiedadu kejere, José rore nono Tupai turoiagudu reore. Ure tugeragu ji pudae rugadu.		
BOR-CORBO-BM-MAT-001-025	MATEUS	MAT	1	25	Boekarema, emugukai puapo du tabo, Maria onaregedure, dure ure iedo Jesusce.		
BOR-CORBO-BM-MAT-002-HEAD-001	MATEUS	MAT	2		Magodoge etaregoduredu.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-MAT-002-001	MATEUS	MAT	2	1	Jesus buture ia Judéia kejewu bakurireu iei Belém cedu keje, brae eimejerai Herodes cedu kodiwu kodi. Du kejere icare magodoge etaregodure meri rutu piji nowu bakurireu iei Jerusalém cedu kae.		
BOR-CORBO-BM-MAT-002-002	MATEUS	MAT	2	2	Enorare: - Kaiba judeudoge eimejera buture? Ceerdure o kuieje kurireuji meri rutu kuda, kodire cedaregodure cewo cebujodo ji.		
BOR-CORBO-BM-MAT-002-003	MATEUS	MAT	2	3	Tumeardui nowu inodu jitu keje, nowu brae eimejera Herodes rore toku, nowu Jerusalém kejewuge erore toku apo jamedu.		
BOR-CORBO-BM-MAT-002-004	MATEUS	MAT	2	4	Icare ure baire eimejerage, escribadoge, ure edo tudo pui, unorare ei kaibamodeba Cristo butumode.		
BOR-CORBO-BM-MAT-002-005	MATEUS	MAT	2	5	Icare egore ji: - Belém keje, Judéia moto keje, oinore bapera atugododure profeta koia:		
BOR-CORBO-BM-MAT-002-006	MATEUS	MAT	2	6	Aki, Belém, Judéia kejewu, aki boe biegareu karega ure aki Judéia kejewu bakurireuge etada. Paga karega, apijire boe eimejera jetumode inore emawuge Israeldogeiwu umode tudawuje (Miq 5,2).		
BOR-CORBO-BM-MAT-002-007	MATEUS	MAT	2	7	Kodire Herodes mako podure nowu magodoge ewogai. Icare unorare ei kakoduwu ia boe kejeba nowu kuieje kurireu ure towadudo eegai.		
BOR-CORBO-BM-MAT-002-008	MATEUS	MAT	2	8	Ure etuiagu nowu Belém kae, akore ei: - Toro taerduwa birigodudo nowu negedurogu bogai. Taerdui jitu kejere tamode iwie, ituwo bogai, iwo ipujodo ji jamedu.		
BOR-CORBO-BM-MAT-002-009	MATEUS	MAT	2	9	Tumeardui nowu brae eimejera bataru jitu kejere icare, eture pugeje. Icarema, cewu eerdure ji meri rutu kudawu kuieje kurireu kodure etododai jii cewu negedurogu mugurewo kae, nonore icare ure tuwuredo.		
BOR-CORBO-BM-MAT-002-010	MATEUS	MAT	2	10	Cewu kuieje kurireu ui towadudo du koiare icare ure aidureu gigireu jekarereu ure enogorawu tabo.		
BOR-CORBO-BM-MAT-002-011	MATEUS	MAT	2	11	Tui turemo du kejere eerdure cewu negeduroguji tuje Maria apo. Ere turodo tuku. Ere tubujodo ji, tui kurido du tabo: tui toroe jado du keje, ere meriri ekureu bu tu je, ere kidoguru roreu, kidoguru jirireu, ere bu tu pugeje, ere jodo tuku keje.		
BOR-CORBO-BM-MAT-002-012	MATEUS	MAT	2	12	"Ewiedure tunuiao tada ekawo tugirimi cewu Herodes ae, du kodi icare ere tugirimi to moto kae ia awara tuginoiwuji pugeje. 
Jesus uo, uce, eregodui apo Egito kaedu."		
