id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-ROM-001-HEAD-001	ROMANOS	ROM	1		Boe eimadu.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-ROM-001-001	ROMANOS	ROM	1	1	Imi, Paulo, imode awu bapera atugodo. Jesus Cristo burejoia nure imi, Pao ure apostolodo imi, ure tugeragu ii iwo bakaru pemegareu kogado du bogai.		
BOR-CORBO-BM-ROM-001-002	ROMANOS	ROM	1	2	Marigudu Pao makore to profetadoge eiabiji awu bakaru pemegareu umode tudowuje duji, duwugere awu inodu bu bapera pemegareu keje.		
BOR-CORBO-BM-ROM-001-003	ROMANOS	ROM	1	3	Kejere boe emagore Pao Onaregedu Pagimejera Jesus Cristo jiboeji, duwu brae eimejera Davi otojiwu nure ema, imedui pudumi du reore.		
BOR-CORBO-BM-ROM-001-004	ROMANOS	ROM	1	4	Aroe Pemegareure boe edo boe pa Aroe Eimejera Onaregeduie Jesus Cristoce duji, jewodui bireuge epiji du koia.		
BOR-CORBO-BM-ROM-001-005	ROMANOS	ROM	1	5	Pagimejera Jesus Cristo, koiare ure apostolodo imi, imaragoduwo tumaragodaeji, iwo awu moto kejewu boe erego emeartoruwo ji, ewiapagawo ji.		
BOR-CORBO-BM-ROM-001-006	ROMANOS	ROM	1	6	Awuge etadare tamedure jamedu, Roma kejewuge, Jesus Cristo makore tawogai jamedu.		
BOR-CORBO-BM-ROM-001-007	ROMANOS	ROM	1	7	Taiamedu boe, Roma kejewuge, Pao meardu kurire tai, togewo tagi du bogai. Pao Aroe Eimejera, Pagimejera Jesus Cristo o boe pemegareu boe butugureu jetuwo tagabo.		
BOR-CORBO-BM-ROM-001-008	ROMANOS	ROM	1	8	"Iegare kuricigore Aroe Eimejeraji, Jesus Cristo tada, taigoia, mare paga karega, moto kejewuge eiamedu boe eegare nure tameartoraeji.
Paulo aidure tuduwo Roma bakurireu kaedu."		
BOR-CORBO-BM-ROM-001-009	ROMANOS	ROM	1	9	Pao Aroe Eimejera, imaragodure aiwu iwabo jamedu tabo Tonaregedu o bakaru pemegareu keje, jorduware imagoi pudui tabaru tabo duji.		
BOR-CORBO-BM-ROM-001-010	ROMANOS	ROM	1	10	Inogwamagudure tu tu tu ji tuwo itudo tawogai, taidumode du keje.		
BOR-CORBO-BM-ROM-001-011	ROMANOS	ROM	1	11	Itogea kuricigore iorduwo tai, iwo ia baru tadawu boe pemegareu maku tagai, tameardu awaduwo tai du bogai.		
BOR-CORBO-BM-ROM-001-012	ROMANOS	ROM	1	12	Mare pawo pu meardu awadudo puibagi, pameartorae mitodu jitu koia.		
BOR-CORBO-BM-ROM-001-013	ROMANOS	ROM	1	13	Iwiemage, itaidure taerduwawo itaidu rakare iorduwo tai du bogai duji, itaidure imaragodu pemegawo tagabo, imaragodu magai ia ao pegokareuge ekao du reore, mare jii oino iroiwakare ituwo tawogai roga.		
BOR-CORBO-BM-ROM-001-014	ROMANOS	ROM	1	14	Imaragodure boe eiamedu boe etai: Grécia kejewuge etai, Grécia kejewukare emawuge etai, jorduwareuge etai, jorduwakareuge etai jamedu.		
BOR-CORBO-BM-ROM-001-015	ROMANOS	ROM	1	15	"Du kodire ire irugadu iwo bakaru pemegareu kogado Roma kejewuge tawiegai jamedu.
Boe emeartorae."		
BOR-CORBO-BM-ROM-001-016	ROMANOS	ROM	1	16	Ipogurumodukare inagoi bakaru pemegareu jituji. Paga karega, ro rakaguragareu nure ema tuwo meartorureuge eiamedu einorudo, Judéia kejewuge boetoji, rekodaji Judéia kejewukare emawuge.		
BOR-CORBO-BM-ROM-001-017	ROMANOS	ROM	1	17	"Mare paga karega, kejere Pao o boe jetororeu ure towadudo taregodui boe emeartorae piji, tui boe erego boe emeartorae kae, padumagai bapera pemegareu keje du reore: “Pemegareu imedu jemode tumeartorae kodi”  (Hab 2,4).
Meartoru bokwareuge ero pegareu."		
BOR-CORBO-BM-ROM-001-018	ROMANOS	ROM	1	18	Boe jokodu, Pao kodu kagirire ure boe rakareu biado turo pegareu koiawu imei.		
BOR-CORBO-BM-ROM-001-019	ROMANOS	ROM	1	19	Paga karega, ure boe eerdumode puduiboe awadudo eegai.		
BOR-CORBO-BM-ROM-001-020	ROMANOS	ROM	1	20	Awu moto towujedure du rekodaji, boe eerdukare jiwu Pao jiboe: ro raka, Aroe Eimejerai pudumidu, boe eerduware ji ure towujeboe koia. Du kodire boe emodukare tuiorduwa bokwa bokwado.		
BOR-CORBO-BM-ROM-001-021	ROMANOS	ROM	1	21	Boe eerdui Pao jitu tabo, ekare akaru kurido, ekare tukutaido ji, dure karega, emeardae pegare, ewabo mugure boeco tada.		
BOR-CORBO-BM-ROM-001-022	ROMANOS	ROM	1	22	Egore tuiorduwa rakaguragae, mare etaora bai baire.		
BOR-CORBO-BM-ROM-001-023	ROMANOS	ROM	1	23	Ewiapagakare Aroe Eimejera remawuji, mare ewiapagare aroe eimejerakare emawugei, ime ereoreugei, barege ereoreugei, kiege barege ereoreugei.		
BOR-CORBO-BM-ROM-001-024	ROMANOS	ROM	1	24	Du kodire Paore emagu nowu ewabo aidure jiboe kai, du kodire ere tugodu pegado.		
BOR-CORBO-BM-ROM-001-025	ROMANOS	ROM	1	25	Ere Pao bataru jetorogodureu maku tuwadararodae jipagi, ere tubojodo Paore towuji boeji, du jire ewiapagare, ekare tubujodo Pao remawuji, ewiapagakare ji. Duwu jire boe eegaremode jii je. Oino godu.		
BOR-CORBO-BM-ROM-001-026	ROMANOS	ROM	1	26	Du kodire Paore emagu poguru bokwareboe kai: Areme ere tumagu turowo nono eromodukare jiboe kai.		
BOR-CORBO-BM-ROM-001-027	ROMANOS	ROM	1	27	Ime ero pegare pui jamedu, tui toreduje pijido du tabo, ere tumagu puai, du kodire ere tugodu pegado turo pegareu morice.		
BOR-CORBO-BM-ROM-001-028	ROMANOS	ROM	1	28	Etaidukare tuiorduwawo Paoji, du kodire ure emagu tumeardae pegareu kai, turomodukare jiboeji.		
BOR-CORBO-BM-ROM-001-029	ROMANOS	ROM	1	29	Enogorobadure boe pegareu awadu tabo, boe ero pegajagureu awadu tabo, boe etaidui pu oroe jitu tabo, boe erorerae pegareu tabo, boe eimaredui pui du tabo, boei pu bito du tabo, boe erugodui pui du tabo, boe ewadarodae tabo, boe emeardae pegareu tabo, etonare Pao Aroe Eimejeraji.		
BOR-CORBO-BM-ROM-001-030	ROMANOS	ROM	1	30	Emago pegare pui, enogirure pui, ekodu kagirire pui, ere tojarodo pudui, ero pegareu awadure, ewiapagakare tuomagei.		
BOR-CORBO-BM-ROM-001-031	ROMANOS	ROM	1	31	Etaora bai baire, ewadaru riki bokwa, enogudu bokware tumedage ebo.		
