id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-JAS-001-HEAD-001	TIAGO	JAS	1		Imadu.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-JAS-001-001	TIAGO	JAS	1	1	"Imi, Tiago, Pao utugare, Pagimejera Jesus Cristo utugare, ikimadu nure judeudoge etuwobe ei pagera pudogidure pobe taci iwurekotodu taoi moto tuginoiwu kaowuge ewogai.
Boewo tudurudo tujebaeji."		
BOR-CORBO-BM-JAS-001-002	TIAGO	JAS	1	2	Iwiemage, boe emode turokogado tai du keje, taegare kuricigodo.		
BOR-CORBO-BM-JAS-001-003	TIAGO	JAS	1	3	Taerduware boei turokogado tameartorae jitu nowu inodure tamorora butugudo tai.		
BOR-CORBO-BM-JAS-001-004	TIAGO	JAS	1	4	Mare umode turugadu tawudugugodae maragoduwo tadoda ma, tabemega kororogoduwo, taro tago pegareu bokwa tabo.		
BOR-CORBO-BM-JAS-001-005	TIAGO	JAS	1	5	Ia tagi tagaidumode taerduwawo ma, tagogwamagududo Paoji, umode maku rugadu, ure boe makudu kuricigodo tubemega tabo tugorigodu bokwa tabo boe eiamedu boe etai kodi.		
BOR-CORBO-BM-JAS-001-006	TIAGO	JAS	1	6	Mare tagogwamaguduwo tameartoru tabo, taro kaba doi doi boeji; imedu rore doi doi boejiwu unure tudo nono pobo maereu pobuto reore, bakurure awogado, ure reko jice woje, jice woje.		
BOR-CORBO-BM-JAS-001-007	TIAGO	JAS	1	7	Nowu imedu oinowu meardae kaba Pao umode iaboe boe maku pudaidu bogai.		
BOR-CORBO-BM-JAS-001-008	TIAGO	JAS	1	8	Nowu imedu jorduwakare inoba turomode duji, rore doi doi tumaragodumode jiboeji.		
BOR-CORBO-BM-JAS-001-009	TIAGO	JAS	1	9	Ure tubiegadowu pawiemage, enojaromode Pao umode ekurido duji.		
BOR-CORBO-BM-JAS-001-010	TIAGO	JAS	1	10	Du kare, oroe kurireugere emage enojaromode Paoi ewiegado duji, paga karega, oroe kurireuge etagedumode boku kaowu okureboe reore.		
BOR-CORBO-BM-JAS-001-011	TIAGO	JAS	1	11	Meri ruture tuie uru tabo, boebutu kidure, okureboe oku buture, cewu motu akedure. Oinore oroe kurireuge etagedumode tumaragodae keje.		
BOR-CORBO-BM-JAS-001-012	TIAGO	JAS	1	12	Jiwo aidugirireu imedure durure boe pegareuji. Paga karega, jiwae akedumode du keje, mori pemegareu bi bokwareu Pao umode maku meardu kurire puduiwuge etaidu, makudumode ai jamedu.		
BOR-CORBO-BM-JAS-001-013	TIAGO	JAS	1	13	Iaboe iaboe, boei turokogado pudui du keje, ego kaba: - Pao nure turokogado ii, inodu kaba. Paga karega, boe pegareu puredukare Paoji, Pao ukare turokogado iaboei iaboei.		
BOR-CORBO-BM-JAS-001-014	TIAGO	JAS	1	14	Pagaobijire pameardae pegareure tumugudo pawugeje pudae, ure pagaidudo.		
BOR-CORBO-BM-JAS-001-015	TIAGO	JAS	1	15	Boe emeardae pegareu aregodumode du keje, ure boe ero pegado, boe ero pegareu koiare ure boe ewogwado.		
BOR-CORBO-BM-JAS-001-016	TIAGO	JAS	1	16	"Du kodi icare, imeardu kurire jiwu iwiemage, tagaba tae kuri pagado.
Pao ro pemegareu."		
BOR-CORBO-BM-JAS-001-017	TIAGO	JAS	1	17	Boe pemegareu jamedu boe makudui boe etaidu aregodure cobojeboe piji. Pao urugureu piji, du umodukare tudududo, ukare tudo tuginoi rugadu.		
BOR-CORBO-BM-JAS-001-018	TIAGO	JAS	1	18	Taidu tabore ure padowuje tuwadaru jokodureu tabo, pawo nono ture to boetojiwugere.		
BOR-CORBO-BM-JAS-001-019	TIAGO	JAS	1	19	Taerduwado awu inodu boe jokodu remawuie ure duji. Taiamedu boe ewo tudo turugadu tumearduwo, mare ewudugugodumode pudui tumagowo, tugorigoduwo.		
BOR-CORBO-BM-JAS-001-020	TIAGO	JAS	1	20	Paga karega, imedu korigodae kodukare Pao o boe jetororeu rekodaji.		
BOR-CORBO-BM-JAS-001-021	TIAGO	JAS	1	21	Du kodi icare boe ero pegareu jamedu boe, boe emeardae pegareu jamedu boe barigu tabiji, tageragu tawudugu tabo bataru pemegareu tugudodure tawabo to duji, du roiware tuwo tagaroedo cinorudo.		
BOR-CORBO-BM-JAS-001-022	TIAGO	JAS	1	22	Tarodo nono bataru pemegareu aidu reore, mare tameardui tu ji du tabo karega, umodukare ino ma, tamode taekuri pagado tagaobiji.		
BOR-CORBO-BM-JAS-001-023	TIAGO	JAS	1	23	Meardure bataru jiboe rokai nono bataru reoredu, ure nono cewu imedu aiwore tuieji meriri kuru to du reore.		
BOR-CORBO-BM-JAS-001-024	TIAGO	JAS	1	24	Aiwore pudui mare, uture nowu piji du keje, biagodure tureo piji.		
BOR-CORBO-BM-JAS-001-025	TIAGO	JAS	1	25	Mare ure tumeardae tugu ure boe einorudowu boe eroiagudu pemegareuto, unure tubewudo tabo, mare meardui tu ji du tabo karega, mare roi nono boe eroiagudu reoreu, jiwo aidugirimode turoino du tabo.		
BOR-CORBO-BM-JAS-001-026	TIAGO	JAS	1	26	Iaboe meardaemode tubemegaie ure duji, mare umodukare ceru kogudo ma, ure tuwabo jeto pui meartorae boe jokodu karega ure ema.		
BOR-CORBO-BM-JAS-001-027	TIAGO	JAS	1	27	Paga karega, boe emeartorae boe jokoduwu Pao jekai du reo: Boe etuwo marenarue etae, ukoge bokwareuge etae eedumode doi doi boeji ia bokware pudaiboe bogai du keje, turo pemega tabo, tui tuiaedo awu moto kejewu boe ero pegareu piji du tabo.		
BOR-CORBO-BM-JAS-002-HEAD-001	TIAGO	JAS	2		Boe etoiagudui pui pureore.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-JAS-002-001	TIAGO	JAS	2	1	Iwiemage, tameartorui ure tumoridowu Pagimejera Jesus Cristo jitu keje, tagaba pu barigu pubiji.		
