id	book	book_code	chapter	verse	source	reviewed	editorial_note
BOR-CORBO-BM-TIT-001-HEAD-001	TITO	TIT	1		Bapera atugo paru.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-TIT-001-001	TITO	TIT	1	1	Pao utugare imi, Paulo, Jesus Cristo ure irojai, iwo boe emeartorae reko Paore tugeragu pudaiwuge etai, iwo eerduwado boe rikireuji ma, emeardu kuriwo Paoji,		
BOR-CORBO-BM-TIT-001-002	TITO	TIT	1	2	Epagawo boe ewi bokwareu kodiboe bogai, makudumode etai boe towujedumodedu otodai, batararodae bokwareu Pao koia.		
BOR-CORBO-BM-TIT-001-003	TITO	TIT	1	3	Icai boe aregodui pudae du keje, ure paginorudowu Paore tuwadaru awadudo, tui ido awadudo du tabo.		
BOR-CORBO-BM-TIT-001-004	TITO	TIT	1	4	Icare ire awu bapera atugodo meartorureu itonaregedu remawu Tito awogai. Pao Aroe Eimejera, ure paginorudowu Jesus Cristo eno boe pemegareu, boe butugureu muguwo akabo.		
BOR-CORBO-BM-TIT-001-005	TITO	TIT	1	5	Ire amugudo Creta moto keje awo boe jamedu boe padu pemegado pui du bogai, awo Pao burejoiage eedudo tu tu bakurireuge eiamedu boe keje.		
BOR-CORBO-BM-TIT-001-006	TITO	TIT	1	6	Ire aroiagudu reorere, Pao burejoiage eiamedu boe emode tudo nono iaboere boeji, ekera makudui puaidu umode mito tu je, etore emeartoruwo Paoji, duwugere boe ego kawo epegaie, emeartoru bokwaie.		
BOR-CORBO-BM-TIT-001-007	TITO	TIT	1	7	Paga karega, bispore jeture Pao uwaiji, du kodire umode tudo nono iaboere boeji, ocaromodukare pudui, boekorimodukare ji, kudu kurimodukare, okeamodukare boeji.		
BOR-CORBO-BM-TIT-001-008	TITO	TIT	1	8	Mare umode tugera upodo aregodure tu tu tuwai kae boei, meardu kurimode boei, jordu rakamode turo kao, ro jetorogododumode, okwamagudumode tu tu Paoji.		
BOR-CORBO-BM-TIT-001-009	TITO	TIT	1	9	"Iedu rakamode Pao bataruji tui kogado boei du keje ma, okituwa pemegawo boei, tuiorduwawo inoba tagomode mako pegare bataru pemegareu jiwuge ewadaru jipagi.
 Creta kejewuge ero pegareu."		
BOR-CORBO-BM-TIT-001-010	TITO	TIT	1	10	Paga karega, boe jamedu boe keje, judeudoge remawuge makareuge emeartoru bokware, emago ierikare, ere boe eekuri pagado.		
BOR-CORBO-BM-TIT-001-011	TITO	TIT	1	11	Duwuge ure turugadu boewo eia mi, ere boe etuwobe eko boe pegareuto kodi, tui boe eerduwado boe emodukare boe eerduwado jiboeji, etagemo paga nure nowu inodu tabowo toroe kuricigowo du bogaire eroino.		
BOR-CORBO-BM-TIT-001-012	TITO	TIT	1	12	Ia emage ure nono profetaie ure pudumidu akore: Creta kejewuge ewadararodae barika, barege pegareuge nure emage, enogwage kuricigo, ekera kiari barika.		
BOR-CORBO-BM-TIT-001-013	TITO	TIT	1	13	Nowu akoino jiboe boe jokodu jire akoino. Kode, akogituwado ei awadaru raka tabo, ekedu rakawo tumeartoru pemegareu jitu bogai.		
BOR-CORBO-BM-TIT-001-014	TITO	TIT	1	14	Ewiapagakawo judeudoge eno bakaru paga pagareuji, ewiapagakawo ure tudaru boe rikireu pijiwuge ewadaruji.		
BOR-CORBO-BM-TIT-001-015	TITO	TIT	1	15	Uwabo pemegareugere, boe jamedu boe pemegare ei jamedu, mare meartoru bokwareu ro pegareu ime etai, boe pemegareu bokwa, emeardae pegare, ewabo tadaboe jamedu boe pegare jamedu.		
BOR-CORBO-BM-TIT-001-016	TITO	TIT	1	16	Emeardaere tuiorduwai Pao jituji, mare turo pegareu tabo, ere tuiordwa bokwado ji. Boe ekiarae nure emage, emeartoru bokwa, eroiwakare ia turo pemegareu bogai.		
BOR-CORBO-BM-TIT-002-HEAD-001	TITO	TIT	2		Meartorureuge ei turoiagudu.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-TIT-002-001	TITO	TIT	2	1	Aki, amagodo boe eerduwa jetororeuji.		
BOR-CORBO-BM-TIT-002-002	TITO	TIT	2	2	Kuridoge ero ewadaru jetorogoduwo, ewo tudo nono iaboere boeji, ekawo tudo co boeji, eduruwo tumeartoraeji, togudu tabo, tuwudugu tabo.		
BOR-CORBO-BM-TIT-002-003	TITO	TIT	2	3	Areme kuridoge jamedu, emode tudo nono iaboere boeji boe eegai, emago pega kawo, ero ewadaru jetorogoduwo, enogituwa pemegawo boei.		
BOR-CORBO-BM-TIT-002-004	TITO	TIT	2	4	Awu inodu tabo emode areme nogware eerduwado tumeardu kuriwo tugogei, torei.		
BOR-CORBO-BM-TIT-002-005	TITO	TIT	2	5	Eerdu rakawo turo kao, ero pemegawo tugogei, eetu pemegawo tuwaiji, epemegaguragawo, du ma Pao o bataru perododu kawo.		
BOR-CORBO-BM-TIT-002-006	TITO	TIT	2	6	Akogituwado iparei jamedu, ewudugugoduwo pudui.		
BOR-CORBO-BM-TIT-002-007	TITO	TIT	2	7	Akire amode boe eerdudo aro awadaru jetoroji, ai boe eerduwa pemegado, ai ado nono iaboere boeji.		
BOR-CORBO-BM-TIT-002-008	TITO	TIT	2	8	Boe emago pega kawo amagore jiboeji, duma, onare paiwuge egoiwa kawo tumago pegawo pai.		
BOR-CORBO-BM-TIT-002-009	TITO	TIT	2	9	Amagodo boe etugaregei, emeartoruwo tugimejerage ewadaruji, ewo eegaredo, ekawo ewadaru perodudo.		
BOR-CORBO-BM-TIT-002-010	TITO	TIT	2	10	"Ekawo eekuri pagado, mare boe jamedu boe tabo epowo ebo, nowu inodu tabo ewadaru jerebariwo ure paginorudowu Pao bataruji.
Pao o boe pemegareu ro."		
BOR-CORBO-BM-TIT-002-011	TITO	TIT	2	11	Pao o boe pemegareu ure towadudo tuwo boe eiamedu boe einorudo.		
BOR-CORBO-BM-TIT-002-012	TITO	TIT	2	12	Ure paerduwado paro pega kawo, pawo pagagemore jiboe pegareu pijido, paedorogodui pai du tabo, pagogwamagudui Paoji du tabo.		
BOR-CORBO-BM-TIT-002-013	TITO	TIT	2	13	Pabaga tabo pagagemore bogaiwu ure paginorudowu Aroe Eimejera kurireu Jesus Cristo umode towadudo turugu tabo du bogai.		
BOR-CORBO-BM-TIT-002-014	TITO	TIT	2	14	Ure tumagu pawugeje tuwo paginorudo boe pegareu jamedu boe piji, tuwo ia boedo pemegado pudai, togewo emege, etogeawo tuwo turo pemegado.		
BOR-CORBO-BM-TIT-002-015	TITO	TIT	2	15	Nowu inodu jire amode boe eerduwado, akogituwamode boei. Amagomode amago raka tabo. Iaboe iaboe ekawo awarigodudo ai.		
BOR-CORBO-BM-TIT-003-HEAD-001	TITO	TIT	3		Meartorureuge eroiagudu.		Cabeçalho/subtítulo editorial da fonte.
BOR-CORBO-BM-TIT-003-001	TITO	TIT	3	1	Ewiajetuwo emeartoruwo tugimejerage ewadaruji, edo tudo turugadu turo pemegareu jamedu boeji.		
BOR-CORBO-BM-TIT-003-002	TITO	TIT	3	2	Emago pega kawo iaboei iaboei, erugodu kawo pui, ero butuguwo, ero pemegawo boe eiamedu boei.		
BOR-CORBO-BM-TIT-003-003	TITO	TIT	3	3	Cegi jamedu ia kodiboe keje, cedaora bokware, boekori barikare cei, cewogware boeto jice woje, ceerdae, cemeardae jamedu boe ure tumugudo cewugeje, ceedure boe pegareu jamedu boe tada, cegorii tabo, boe kodu kagirire cei, cegodu kagirire pui.		
BOR-CORBO-BM-TIT-003-004	TITO	TIT	3	4	Mare ia meri keje, Pao ure paginorudowu aregodure, ure togudu toiagudu, tumeardu kurii boeidu awadudo.		
BOR-CORBO-BM-TIT-003-005	TITO	TIT	3	5	Ure paginorudo, ure pawodudo pugeje pagao pego tabo, Aroe Pemegareu ure boe maiwudodu tabo, tu tumeardu kuri koia pai, mare paro pemegareu jetororeu du koia karega.		
BOR-CORBO-BM-TIT-003-006	TITO	TIT	3	6	Paore awu Aroe Pemegareu maku pagai tuiedori bokwa tabo, ure paginorudowu Jesus Cristo koia.		
BOR-CORBO-BM-TIT-003-007	TITO	TIT	3	7	Du kodi icare ure paedorodo to boe pemegareu koia, ure paenado pawimodukare jokodu kae, pabagai tuwogai du tabo.		
BOR-CORBO-BM-TIT-003-008	TITO	TIT	3	8	Awu bakaru pemegare, ure turugadu boe emeartoruwo ji. Du kodi icare itaidure awo apewudo ai tabo, duma, meartorure Pao jiwuge ewo turo pemegareu ko tao kae. Awu boe oinodu pemegare, ure turugadu boei.		
BOR-CORBO-BM-TIT-003-009	TITO	TIT	3	9	Mare awiapaga kaba boe emago paga pagareugei, awiapaga kaba boe enogiegidae padui pumekeje duji, boe enogwa korii pudui duji, boe ekorigodui pui boe eroiagudu koia duji. Nowu inodu boe paga pagawu nure ema.		
BOR-CORBO-BM-TIT-003-010	TITO	TIT	3	10	Cewu ure boe ewarigu pubijiwu imedu, amagodo ji pobe tu je, du keje udo tuiaedo.		
BOR-CORBO-BM-TIT-003-011	TITO	TIT	3	11	"Paga karega, aerduware nowu rore oinowu ure tubegajagudo, ukare tugera ra turo pegareu piji, du koia unure tuwariu boeto taobiji.	
Bapera ao."		
BOR-CORBO-BM-TIT-003-012	TITO	TIT	3	12	Imode Artemas, iarema Tíquico utudo akae, du keje atu marigudo iwogai Nicápolis bakurireu kae. Paga karega, ipadure ikajeje imuguwo toro biaku butu tabo.		
BOR-CORBO-BM-TIT-003-013	TITO	TIT	3	13	Awia tugu awo akerabraredo boe eroiagudu epa Zenaji, Apoloji jamedu, iaboe iaboe okwa kawo etai awaraji.		
BOR-CORBO-BM-TIT-003-014	TITO	TIT	3	14	Akedo ai awo pawobe edo turo pemegado, ewo etogeare bogaiboe ko jao, eedu paga kawo.		
BOR-CORBO-BM-TIT-003-015	TITO	TIT	3	15	Jeture itabowuge eiamedu boe eimadure awogai. Aki jamedu akimadudo nowu meardu kurire pai tumertoru koiawuge ebo. Pao o boe pemegareu muguwo taiamedu boe apo.		
