id	source	portuguese	reviewed	portuguese_reviewed	editorial_note
BOR-CORBO-BIBOR-001	Marigudu… boe erudukare motoji, baruji, [iaboeji, iaboeji].	‘Antigamente não se via terra, céu, nada, nada’	Marigudu… boe erudukare moto ji, baru ji, [iaboe ji, iaboe ji].	‘Antigamente não se via terra, céu, nada, nada’	
BOR-CORBO-BIBOR-002	Deu ure tuje, onaregedure ure tuje.	Só tinha Deus e o filho dele	Deu ure tuje, onaregedure ure tuje.	Só tinha Deus e o filho dele	
BOR-CORBO-BIBOR-003	Marigu:du Deu ure moto to, ure baru to, ure pobo to, ure tori to.	Antigamente Deus fez a terra, o céu, a água e as pedras	Marigudu Deu ure moto to, ure baru to, ure pobo to, ure tori to.	Antigamente Deus fez a terra, o céu, a água e as pedras	
BOR-CORBO-BIBOR-004	Deu ure meri joku to, ure ari joku to, ure kuiejedoge eioku to.	Deus fez o brilho do sol, da lua, das estrelas		Deus fez o brilho do sol, da lua, das estrelas	
BOR-CORBO-BIBOR-005	Deu ure boku to, ure itura to, Deu ure ju, kuiada, aroe nowu boe jamedu boe ure to boe enogwagewu ji.	Deus fez o cerrado, fez a floresta, Deus fez a mandioca, milho, arroz fez tudo isso de alimento para as pessoas se alimentarem		Deus fez o cerrado, fez a floresta, Deus fez a mandioca, milho, arroz fez tudo isso de alimento para as pessoas se alimentarem	
BOR-CORBO-BIBOR-006	Deu ure kiogö rogu to, ure kare towuje, nowu jamedu boe ure towuje.	Deus fez o passarinhos, fez os peixes, fez tudo isso	Deu ure kiogorogu to, ure kare towuje, nowu jamedu boe ure towuje.	Deus fez os passarinhos, fez os peixes, fez tudo isso	
BOR-CORBO-BIBOR-007	Deu ure arigao to, ure kuwaru to, ure tapira to, ure popogo to, ure adugo to, jamedu boe ure to.	Deus fez o cachorro, fez o cavalo, fez a vaca, fez o veado, fez a onça-pintada, fez tudo isso		Deus fez o cachorro, fez o cavalo, fez a vaca, fez o veado, fez a onça-pintada, fez tudo isso	
BOR-CORBO-BIBOR-008	Deu ure nowu boe jameduji boe akedudo tuje [du keje] ure imedu to.	Depois que Ele terminou de fazer tudo isso, ele fez o homem	Deu ure nowu boe jamedu ji boe akedudo tuje dukeje ure imedu to.	Depois que ele terminou de fazer tudo isso, ele fez o homem	
BOR-CORBO-BIBOR-009	Deu ure boepa pemegaguragare, boepa moturewu to, cowu imedu muguwo keje, muguwo tada.	Ele fez uma roça perfeita, fez uma roça bonita, para aquele homem viver nela, viver dentro dela		Ele fez uma roça perfeita, fez uma roça bonita, para aquele homem viver nela, viver dentro dela	
BOR-CORBO-BIBOR-010	Deu ure ia aredu to, nowu oredu iere Adão, oreduje iere Eva.	Deus fez uma mulher, o esposo dela chamado Adão, e a esposa se chama Eva	Deu ure ia aredu to, nowu oredu iere Adão, oreduje iere Eva.	Deus fez uma mulher; o esposo dela se chama Adão, e a esposa se chama Eva	
BOR-CORBO-BIBOR-011	Deu aidu rakaguragare cowu imeduji, areduji.	Deus gostou muito daquele homem e da mulher	Deu aidu rakaguragare cowu imedu ji, aredu ji.	Deus gostou muito daquele homem e da mulher	
BOR-CORBO-BIBOR-012	Aredu imedu aidu rakaguragare Deu ji jamedu.	A mulher e o homem gostaram bastante de Deus tambem	Aredu imedu aidu rakaguragare Deu ji jamedu.	A mulher e o homem gostaram bastante de Deus também	
BOR-CORBO-BIBOR-013	Deu akore ei, akore enokwageiagu ji nowu boepa tadawu boe jamedu, nowu iguru jamedu boe ji, mare rakojere boe eiadadawu ekare eko.	Deus falou para eles comerem tudo que existia naquela roça, para comerem dos frutos das arvores, menos das arvores do meio		Deus falou para eles comerem tudo que existia naquela roça, para comerem dos frutos das árvores, menos das árvores do meio	
BOR-CORBO-BIBOR-014	ia meri keje Satanae aregodure aredu ae, Satanae ure bope doge eiamedu boe eimejera ema, ema koiare ure erojai, ekojai.	Um certo dia Satanae se aproximou da mulher, Satanae e o chefe dos demonios, ele que faz eles fazerem e falarem coisas erradas		Um certo dia Satanae se aproximou da mulher. Satanae é o chefe dos demônios; é ele que os faz fazer e falar coisas erradas	
BOR-CORBO-BIBOR-015	Deu koiare ure Satanae towuje, ure bope towuje, nowu keje pemegare.	Deus que fez o Satanáe, ele fez o demonio, antes eles eram bons		Deus fez Satanae e fez o demônio; antes eles eram bons	
BOR-CORBO-BIBOR-016	Deu koiare ure Satanae towuje ure bope towuje boekare etaidure etugoduwo pudumiwo tuguríre, pudumiwo tugodure Deu kori kocare Deu ere rugádu barigu	Deus que fez Satanáe, fez o demonio, antes eles eram bons mas depois eles quíseram ser maior do que Deus, por isso que Deus o expulsou	Deu koiare ure Satanae towuje ure bope towuje boekare etaidure etugoduwo pudumiwo tugurire, pudumiwo tugodure Deu kori kocare Deu ere rugadu barigu	Deus fez Satanae e fez o demônio; antes eles eram bons, mas depois quiseram ser maiores do que Deus, por isso Deus os expulsou	
