id	name	description
BOR-CORBO-ETN-0001	Nanai / morogoreu	Boere nowu tudu beredo, boewo reko tuwiri koridodu ure tubegadoduji
BOR-CORBO-ETN-0002	Bokogoreu / jokukuie	Ere kurodu kowuje, ere kurudo tugeje tuguduwo če
BOR-CORBO-ETN-0003	Pariwa	Boe mode iwoi tawuje, tugera magaduwo ia boe ero tabo (turo monogodae, boe ero boe ego biadodu)
BOR-CORBO-ETN-0004	Póra	Nowu aru kuru remaure, boere ake epado ema, Mare ime emaragadae. (Aroe erubo)
BOR-CORBO-ETN-0005	Akigoamekureu	Boere a čodo kidoguru tabo, dure boere reko tuwia paruji tumeadae pemegawo boe ero jamedu boeji
BOR-CORBO-ETN-0006	Akigoreu	Boere boe jodo ukwa keje dure boere berego, tuguri kori epado ema, tuwiri kigori jamedu
BOR-CORBO-ETN-0007	Mekodo pareu	Boere ika, kamoreu, ira, bai ipodo nowu i tabo
BOR-CORBO-ETN-0008	Batorareu diorubo	Boere nowu i rugudu reko boetore enogwaji ere tugu tuiagibe ro pega kawo ei. Boere reko aredu kuiarureudo kuriji onoragedu areduwo ema
BOR-CORBO-ETN-0009	Óko	Boere nowu i biri kuru epado boe ekuri kori boe ewijia kori epado ema jamedu
BOR-CORBO-ETN-0010	Akiri kigado	Boe erigire ema, boe ewai ipore ema. Boere aroia kabidodu epa towuje nowu urugudu tabo, nowu jorubo kudu pemegare boe ewaboji
BOR-CORBO-ETN-0011	Akiri	Boere paro ipo, bai ipodo ema, boe erigire ema jamedu a rogure boere tugujedo ema. Boere nowu i toguru ta dure boere berego boe ekojari epače
BOR-CORBO-ETN-0012	Managuruí / mana-gurureu	Boere bai ipodo ema
BOR-CORBO-ETN-0013	boe bokware	Kuru remaure boere mado ia tugorirebeji ia tugugodaeji, ake epare ema jamedu, Boere kuru berego tuguduwo če boe etoriwudu, boe ekuiboka, boe ataga kori pegareuji
BOR-CORBO-ETN-0014	Burudúi	Boere bai ipodo ema. Boere baigado, kaiborido, aragodo ema Jamedu. Boere biri mugudo nowu bekuru remawu bogai t
BOR-CORBO-ETN-0015	Bacetaojiakirireu	Boere aru berego boe ekojari, ake epače
BOR-CORBO-ETN-0016	Iwararagareu	Kodure boere kowuje. Aru berego kuru pemegare boe etoriwudu koriji
BOR-CORBO-ETN-0017	Paragóreu	Boere kodu kowuje
BOR-CORBO-ETN-0018	Bó	Boere a gori kowuje. Boere ikado tabo, bai aodo ema jamedu
BOR-CORBO-ETN-0019	Boe eto pagodae	Boere Tuiokú kori epado nowu raru kuruče. Boere toedo aru keje tuwo kuru remo turuwo koriji. Boere aru berego Boe ewiri uru, boe ekojari epare ema jamedu. Boere taimó nowu kuru tabo tuwiri kigori pegareuji
BOR-CORBO-ETN-0020	Noido	Boere nowu no kududo dure boere kugudo, noa a boere kowuje itoia jamedu, Boe ero makare nowu ai tabo: kodo, kodorabo, parikibotó. Boere nowu ai bu tuwai aoji, tuwai paruji. Boe enogwagere noa a ji, itoiaji barae ekogodae anemia ji. Nowu no kudu pemegare barae egore
BOR-CORBO-ETN-0021	Akudo (palmeira) / ako (fruta grande)	Ere baigado itoče, iage ere bai towuge tabo. Ere pemegado tugeje ia boe ero boekege. Ere kugudo, kowu (mugudo / berego), buturedu dure ere kowuge. Ere a kowuge, ere kududo dure ere tugu juto
BOR-CORBO-ETN-0022	Akudo (palmeira) / kuimare (pequeno)	Ere baigado itoče, iage ere bai towuge tabo. Ere pemegado tugeje ia boe ero boekege. Ere kugudo, kowu (mugudo / berego), buturedu dure ere kowuge. Ere a kowuge, ere kududo dure ere tugu juto
BOR-CORBO-ETN-0023	Apegire (fruto) / apido (planta)	Nowu a botugodu kuru re ere tuioku kori. epado ema, boe tore eia ekeru peča epado ema. Emode nowu buturedu kowuge, ere mugudo, kowu jamedu. Ere kududo, kugudo, torudo, iworo kurudo ema (ia boe ero boe keje ekudumo če. Emode nowu apidoia kowuje nowu ai ere kodarabodo ema, parikiboto, kodo, baku, Emode ai bu tuwai aoji paruji
BOR-CORBO-ETN-0024	Baiogo	Ere meririku ipodo ema, bai ipogurure ema (bai ipo boiadadawu)
BOR-CORBO-ETN-0025	Poro Ekareu	Eré kurudo rogu kowuje
BOR-CORBO-ETN-0026	Betaga Erubo	Ere biri berego nowu kuru ere redo ariato tuwo tumugudo tada, areme ekogodae pegareu epače, I biri kuru čere ekudumode emode reko tuwiri kuroduji bituwo
BOR-CORBO-ETN-0027	Betagaikonogo / Betaga Biri Kororogo-dureu	Ere biri berego dure pemegare boe ečebae boeji
BOR-CORBO-ETN-0028	Miaçereu Erubo	Ukwa boe ere beredo du čere boe etore ekudure boe pegareuji
BOR-CORBO-ETN-0029	Parori	Ere a kowu dure ere kowuje, ere a kududo, nowu tudu boere kurudo. Nowu i ere naiado ema bai ipogurure ema. Nowu biri pemegare moče epače. Ere biri tugu poboto dure ere tugu ia poari boeto tuguduwo če dure erubore ema awu boe ewiri ekogodae pega boeji, boe ekuiboka kori, boe epegaguru, boe ekuri kori. Nowu biri kuru pemegare boe ekojari, awagu mode toedo epare ema jamedu, boe toriwudo kori, boe ewureado kori pegare epa rema jamedu, umode tigera bararedo boe erageduwo
BOR-CORBO-ETN-0030	Jekojagureu (Tadarimana) / Je Kwugegureu Erubo (Piebaga)	Ere kagu pobo okodo kao dure ere reko pudui togorireu boeji, etogorire jiu boeji, ewiri kigori pegareu, pemegare mokui ao doge eto oia kigori ji, boe ewiri kigori pegareu epare ema jamedu. Ukwa ere berego tugudu kuruče awu boe ekogodaeji: boe ewiri uru, boe ečebae ure tadudu-dodu, barogo peguru epa, boe pegaguru ku, barae kogodae pegareu jeture-boeidu
BOR-CORBO-ETN-0031	Pagadi Ikuredo	Nowu ukwa kuru pe re pemegare barogo peguruji
BOR-CORBO-ETN-0032	Jekojagureu (Tadarimana) / Je Kwugegureu Erubo (Piebaga)	Ere mugudo, kowu tuwo kowuje
BOR-CORBO-ETN-0033	Okó	Ere ukwa kowu dure ere čodo boei, boere ia tubagudure čeboe kowuje dukeje
BOR-CORBO-ETN-0034	Kíe eké aru xáru / Kie erubo	Ere biri berego nowu kuru pemegare boe epegaguru, boe epegaguru kuji. Nowu biri kobo, boe erubore ema tuwaidigiriwo karei
BOR-CORBO-ETN-0035	Tugoriréu Bokujíwu	Aru boere reko aroe ewiriji, aroe akedu mariguwo
BOR-CORBO-ETN-0036	Kogue Eibarararéu	Ere ai, ukwa berego tuguduwo kuruce, boe emokowudo epa
BOR-CORBO-ETN-0037	Bekorurebe / Bekuru-rebe	Tudu ere kududo, ere kuru pagodudo, betureboedo ema ere kurudo. Ere itaguru tawuje tuwo baiga ikudo, nowu ai bai awujiwure ema, ere torodo ema, tureruwo tabo
BOR-CORBO-ETN-0038	Marido (árvore) / Mano (fruto)	Ere tuwaigado itoče, boe ekuierе nowu itaguruče, boere kodo towuje ai tabo oro tabo
BOR-CORBO-ETN-0039	Tugogo	Erubore ema tubegagurugi. Rore pai-pai jewuge boere ekuiedo ema
BOR-CORBO-ETN-0040	Butobo	Emode akodo turagodukeje. Boe ewabore ema turagoduwo tabo, boewo pobo reko tabo
BOR-CORBO-ETN-0041	Aroe ekuie poari	Bai ipoguru boiadodawure ema
BOR-CORBO-ETN-0042	Kiogorogo Ojorube	Boe emode etaimo nowu iwara kuruče ukwa kuruče boe ewiri uru epa nure ema, barae ekogodae pegareu epa nure ema jamedu (dengue, doença de chagas, malária, gastrite, e tosse) boe ekojari. Aru kuru boe eiogore pudui barae ekogodae pegareuji (hepatite) boe etore ewudu beregadugodu epa nure ema jamedu
BOR-CORBO-ETN-0043	Ikuredu Bakarogo Ekure	Boe ere nowu ukwa kowu ureduduji kodi boe eiogi boe etaora koriji nowu kudu rogu boe eiogore pudui boe eia pegaji boe eia kuroduji. Boe ere nowu jorubo ukwa kurudo duji re boe enogwagere boe enoroja pegaji
BOR-CORBO-ETN-0044	Gerigige Etore Erubo	Boe ere mano tawuje aroe padui baiadada dukeje ere aroedo ture remagu pui jamedu mano tabo
BOR-CORBO-ETN-0045	Mano	Boe emode kurodu kowuje boe ere kurudo jamedu. Boe ere nowu i biri kururu boe ekudure če boe ewiri uruji boe ekuri koriji. Nowu biri pemegado tuwo boe ere tugowudu bitudo a pemegare tuwo boe ekuri butudo
BOR-CORBO-ETN-0046	Jatugo	Boe ere kurodu kowuje, boe ere kurudo, barae ere juko etaregareudo ema, iwara jore towu pobo betu rirewu rogu, barae ere betureboe bekurudu tabo. Boe ere nowu a gori kowuje. Boe emode nowu kočo araka bu tu (goiaba) kigadureu i biri keje boe ere beredo pemegare boe epegaguruji. Nowu ukwa boe eiogore pudui ečewu barae egore tori meture boe etadaduji (pedra na vesícula), ečewu barae ekogodae iere (diabete e colesterol alto) epa nure ema jamedu. Boe ere beredo du boe ekudure če to kori epače pemegare tuwo boe etodo kabi jamedu (depurativo)
BOR-CORBO-ETN-0047	Kočo	Boe ere tugera pemegado etaimoda jurubo kuruče du boe ere kurireboe etaimo če ewudugugoduwo boe etore jokuru kurireu jamedu
