id	source	portuguese	reviewed	portuguese_reviewed	segmentation	gloss	editorial_note
BOR-CORBO-OIE-ANTONIO-CAIO-G96-001	Oieigo jetuiaga(2) Bokodoriware iga Oieigo wararere taagaruia padarogwareu aiadugodoge eiga jaruru rerudodu aturuwareu ako umuguio cegimejera bopaguduia MARIDO BAKORORO tuiagajejewu onawuio okwabijire. Oieigo jetuiaga!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-002	Na kana kaina mato(2) Akiarega akagaru otogewu BAEIARI BAKORORO cewogodori kuogoreu jeradudu paduiagu ekumodureu JAKOMEA BAKORORO AKONAIA OTOIOGIRE.!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-003	Na podoje tuguje toro ecewu bataruduia aroe ewororo jaiobejewu tabarigogo iroiareu okwa akiri redudu puduiagu turemoduia bopaguduia OKOGE COIO BAKORORO apodojee okwa bukorire. Na podoje tuguje toro.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-004	Ekorira ako butuie mato cemorijewu uruberireu bopaguduia KUIADE EIMEJERA tuwoie ecewu iturabo tadawuge edugo aregodudo tarege KOGECOIO BAKORORO ceigoia turugudodu okwabijire. Ekorira ako butuie mato!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-005	Ema taiagoia uiroga pureuwore(2) Mariguruboreu bopaguduia utugoio eimejera aiagoia uiroga ecewu BUTORUBO BORORO bukejewuge eimejera atogewu BOKUOJEBA BAKORORO jakoia ureuwore. Ema taiagoia uiroga pureuwore!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-006	Awuiarega turugodu rekoducedo(2) Iwoia padugaiewu uruberireu bopaguduia KIDOREU EIMEJERA tuwoie turugodu rekoducedo tooge ewidoduia tudugo paia meri rutu uia jetugae. Awuiarega turugodu rekoducedo!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-007	Ema tabariwa aiopado uiroga preuwore meririareu bopaguduia IWAGUDU BAKORORO apariwa aio pado uiroga ecewu Ecera Bororo bukejewuge eimejera atogewu KOGE BAKORORO upariwa aio pado ureuwore. Ema tabariwa aiopado uiroga pureuwore!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-008	Rukomagadoge tagire nono(2) Rukomagadoge tagiarega tare areaku AROE BAKORORO ekiga padarogwareu akaru rekoducedo rukomagadoge tamuguia Barubaru uia jetugae. Rukomagadoge tagire nono!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-009	Meriri urugudu akije toro(2) Meriri urugudo utaboiareu bopaguduia OKOGE ARARUIO akije toro akuwoduia akudawu baia bukorire. Meriri urugudo akije toro!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-010	Burekia birigodu rekoduiagu(2) Akare ikimamomo KUWARARE EIMEJERA burekia birigodu rekoduiagu turegoduia tuwororo okwabijire. Burekia birigodu rekoduiagu!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-011	Are inagu erewakawuio (2) Mariguruboreu bopaguduia AIADUGODDOGE EIMEJERA emareroka uworoio padarogwareu jerigiare etoiaga iabadodu umugure tuwororo paru buko. Utugarece tuiorud! aio butudo pu!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-012	Akare irokace(2) Jewaduiewo iturabo meririadowu akare ikimamomo AROWE BOKODORE ekera ekumodudoka Jurereu Bakororo akije jurereu etadugododu tabo kaiworo paru bukorire. Kaiworo arece tugomaka taboi!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-013	Awuiarega aiabado okwawugeje(2) Aturuareu bopaguduia WARINOGO BAKORORO tuwoie tuworoio padarogwareu jorigiare etoiaga atugo iabado toiaga tunanae eigoia reruio jemagudu parugajeje. Awuiarega iabado okwawugeje!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-014	Kuogodoka akije toro(2) Kuogodoka areaku KOGE URUKUIO akije toro maidoduia aiewere okwawugeje. Kuogodoka akije toro!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-015	Egowainotu paduregaje (2) Aredo JAKOMEA BAKORORODO egowainotu padure gaje tuiorudu iogoduia tagiri to roreu oia bukejewu tuguie jurereu etadugo aregodureu aruduia awugeje. Egowainotu paduregaje!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-016	Jorudu ekumodureu akire nono (2) Jorudu ekumodureu bopaguduia MERIGUIO BAKORORO akire nono akiarega akagaru metuiagu atugarege eigoia reruio jemagudu parugajeje. Jorudu ekumodureu akire nono!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-017	Aio padodu kaina mato(2) Aredo KUJIBO EIMEJERARODO eigerer tuguruguga ecerato padudore tarowewuio Aiadugodoge Eimejera aio batodu okwawugee. Aio padodu kaina mato!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-018	Inowu arowe tawuduia Itobore pijina mato(2) Inowu arowe tawuduia Itobore jaiowejewu ttaguie ukigaio meririkudu paduiagu taregoduia tawroro okwawugeje. Inowu arowe tawuduia Itobore pijina mato! __________________________________________________						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-019	Akagurudoce uwakururere(2) tuguie Bakororo ekera ekumodu tabowu utaboiareu bopaguduia Orowaribo Bakororo akagurudoce akare Enogujeba Bakororo akururere tawure akaruia tawabo acirio kiadodu okwawugeje. Akagurudoce uwakururere.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-020	Etooro ikudodu paduregaje (2) bopagudui ?wodude Eimejera ecebacewuetooro ikudodu paduregaje Arowe turododuia tuwororo uia jetugae. Etooro ikudodu paduregaje.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-021	Utugarece ewainotu jeturegaje(2) mamuiawu padarogwareu jorigiare etoiaga atugo are cimejera Metugoio Bakororeo akadugo aroduia awugeje. Utugarece ewainotu jetureaje.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-022	Aparigogo jorigiare(2) etoiaga atugo ameriri okwapado uiroga akare Baiporo Bakororo uparigogo jorigiare etoiaga atugo umeriri okwapado ureuwore. Ema ecerae tamoi. ------------------------------						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-023	Oieigo jetuiaga (2) Bokodoriware iga Oieigo wararere taagaruia mamuiawuge eiaruru umuguia iragirireu kurugugwe engwa akiri uredudu rerudodu kuogoreu cegimejera bopaguduia Marido Bakorororodo tuiagajejewu okwabijire. Oieigo jetuiaga.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-024	Napodoje tuguje toro(2) cewu bataruduia taboguru jaiowejewu tameriworo rukoreuge etoiaga urugu paduiagu turemoduia bopaguduia Marido Kaworuio Bakorororodo apodoce okwa bukorire. Napodoce tuguje toro.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-025	Ema tawiria uiroga pureuwore (2) kuogoreu bopaguduia Adugo Edu Bakororo awiria uiroga ecewu Ecera Bororo bukejewuge eimejera atogewu Arua Bakororo biria ureuwore. Ema tawiria uiroga pureuwore.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-026	Mamareuge tagire nono (2) Mamareuge tagiarega tare areaku Kieceba Bakororo ewaiga aio kuogoreu akarau rekoducedo mamareuge tamuguia iturabo uia jetugae. Mamareuge tagie nono.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-027	Akiguia urugudo akije toro(2) Akiguia urugudo bopaguduia Tugo Eimejera akije toro bopaguduia akudawu baia bukorire. Akiguia urugudo akije toro.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-028	Bure kia birigodu rekoduiagu(2) Akare ikimamomo Nabure Eimejera bure kia birigodu rekoduiagu arowe turegoduia tuwororo okwabijire. Bure kia birigodu rekoduiagu.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-029	Enogwa iemaro paduregaje (2) uiedoga Aropwe Bakororo enogwa iemaro paduregaje tuiorudu iogoduia tadugo padarogwareu oia bukejewu tuwiadawu cibae etao urugu aregodureu aruduia awugeje. Enogwa iemaro paduregaje.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-030	Bure kia birigodu rekoduiagu(2) Akare ikimamomo Bakugumoe Eimejera bure kia birigodu rekoduiagu arowe turegoduia tuwororo okwabijire. Bure kia birigodu rekoduiagu.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-031	Koemama ikudodu paduregaje(2) bopaguduia Kudorowuio Bakororo ecebacewu koemama ikudodu paduregaje aroe turedoduia Bakororo uia jetugae. Koemama ikudodu paduregaji.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-032	Ukuie kudugodu paduigaje(2) towo awogodori padugaiewu uruberireu bopaguduia Eibajiwu Bakororo ukuie kudugodu padugaje, aroe turedoduia tuwororo uia jeyugae. Ukuie kudugodu paduigaje.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-033	Akiri redudu muguiagu (2) uiedaga Aroeceba Bakororo ecebacewu akiri redudu muguiagu aroe turododuia tuiogwaio pwotogajeje. Akiri redudu muguiagu.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-034	Uwaiga itorodo muguiagu(2) uruberireu areaku cibaeceba Bakororo uwaiga itorodo muguiagu tooge ewidoduia Iturabo uia jetugae. Uwaiga itorodo muguiagu.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-035	Ako utugodu muguiagu(2) uiedaga Iparebo Bakororo ako utugodu muguiagu tuiorudu iogoduia cimo kuje eiegiri uredudu okwa bukejewu padarogwareu jorigiare etoiaga atugo aregodsureu aruduia awugeje. Ako utugodu muguiagu.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-036	Unowaqoro awaduna aregodu ona togire (2) Aredo Tamigiare Bakorororodo eigerere tarowewuio Arowe Aijoio unowagoro awaduna aregodu ona togire rekoduia tuwororo okwabijire. Unowagoro awaduna aregodu ona togire.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-037	Ieraro makudu wararere tugarece eta (2) Bopaguduia Bororo Kaewu Bakororo aieraro aiduia eimamomo eworoio padarogwareu jorigiare etoiaga atugo okwa akiri makudu wararere tugarece eta. Iararo makudu wararere tugarece eta.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-038	Aioreruna aiojitoro (2) bopaguduia Atuiere Bakororo cebarigogo aturuwareu okwa akiri uredudu aioreruna ekumodureu Juredoduia Bakororo aiojitoro aremoduna oioguaio okwa. Aioreruna aiojitoro.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-039	Enogwa iemaro paduregaje (2) Aredo Arua Bakorororodo enogwa iemaro paduregaje tuiorudu iogoduia tarowewuio Okoge Urukuio pudabowu bopaguduia Jakomea Akiri Bakororo aregoduia awugeje. Enogwa iemaro paduregaje						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-040	Ukuwodu jiroka nono(2) Areaku Boro Bakororo ukuwodu bureroka okwa akiridodu padure padarobo owotogajeje. Ukuwodu jiroka nono.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-041	Kudu iemaro paduregaje (2) Akare ikimamomo Tubore Eimejera kudu iemaro paduregaje. Arowe turododuia tuiogwaio owotogajeje. Kudu iemaro paduregaje.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-042	cibae etaro urugudo akije toro (2) cibae etaro urugudo bopaguduia Warinogo Bakororo akije toro bukuoduia akudawu baia bukorire. cibae etaro urugudo akije toro.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-043	Uwudore kiagodu butuie mato (2) Akare ikimamomo Kurugugue Eimejera uwudore kiagodu butuie mato. Arowe turododuia tunowagoro jeragududodu okwabijire. Uwudore kiagodu butuie mato.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-044	Burekia birigodu rekoduiagu (2) Akare ikimamomo Parabara Eimejera burekia birigodu rekoduiagu arowe turegoduia tuwororo okwabijire. Burekia birigodu rekoduiagu.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-045	Tarududoce roije toro (2) Aredo Baeiari Bakorororodo tarududoce tagarowewuio Buturoe Eimejera pudabowu bopaguduia Jamomea Akiriare Bkororo roije toro rerugoduia tuwororo okwabijire. Tarududoce roije toro.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-046	Burekia birigodu rekoduiagu(2) Akare ikimamomo Bokodori coio burekia birigodu rekoduiagu arowe turegoduia tuwororo okwabijire. Bure kia birigodu rekoduiagu.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-047	Ena uparigogo urugu jetu awadudo aregodu ona togire (2) Aredo cibae Eimejerarodo ena tarowewuio Koge Eimejera pudabowu bopaguduia Jakomea Awuru Bakororo uparigogo urugu jeto awadudo aregodu ona togire rekoduia tuwororo okwabijire. Ena uparigogo urugu jeto awadudo aregodu ona togire.						
