id	source	portuguese	reviewed	portuguese_reviewed	segmentation	gloss	editorial_note
BOR-CORBO-OIE-FINADO-BENTINHO-G86-001	Oieigo jetuiaga (2) Bokodoriware iga oieigo wararere taagaruia mamuiawuge etoduia Arigao Bororo oiadowu padarogwareu aiadugodoge eiga jaruru remoduia ako umuguio cegimejera bopaguduia MERIRI BAKORORO tuiagajejewu okwabijire. Oieigo jetuiaga.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-002	Na kana kaina mato (2) Akiarega akagaru utogewu Baeiari Bakororo cewogodori kuogoreu jeragudu paduiagu ekumodureu bopaguduia UKIGAIO BAKORORO akonaia toiogire. Na kana kaina mato.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-003	Na podoje tugu je toro (2) Ecewu bataruduia Aroe Ewororo jaiowejewu tabarigogo ukigareu oiaga urugu paduiagu turemoduio bopaguduia BUTURORI BAKORORO apodoje okwa bukorire. Na podoje tugu je toro.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-004	Ekorira ako butui mato (2) Cemorijewu uruberireu bopaguduia Kuidori Bakororo tuwoie cewu Iturabo tadawuge edugo aregodudo tarege BOKUOJEBA BAKORORO ceigoia turugudodu okwabijire. Ekorira ako butui mato.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-005	Ema taiagoia uiroga pureuwore (2) Mariguruboreu bopaguduia Utoboga Bakororo aiagoia uiroga evewu Ecera Bororo bukejewuge eimejera atogewu ARUA BAKORORO jakoia reuwore. Ema taiagoia uiroga pureuwore.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-006	Awuiarega turugodu rekoducedo (2) Iwaia padugajewu uruberireu bopaguduia Kugoe Eimejera tuwoie turugodu rekoducedo toge ewidoduia tudugo poia MERI Rutuia uia jetugae. Awuiarega turugodu rekoducedo.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-007	Ema tabariwa aio pado ui roga pureuwore (2) Meririareu bopaguduia Kaiadowu Bakororo apariwa aio pado uiroga ecewu Kudoru Bororo bukejewuge eimejera atogewu OWOIO BAKORORO upariwa aio pado ureuwore. Ema tabariwa aio pado ui roga pureuwore.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-008	Rukomagadoge tagire nono (2) Rukomagadoge tagiarega tare are aku Ipareceba Bakororo ekiga padarogwareu akaru rekoducedo rukomagadoge tamuguia BARU BARU uia jetugae.. Rukomagadoge tagire nono.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-009	Meriri ruguda akije toro (2) Meriri ruguda bopaguduia Aruguje Eimejera akije toro akuoduia akudawu bóia bukorire. Meriri ruguda akije toro.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-010	Bure kia birigodu rekoduiagu (2)Akare ikimamomo Buturoe Eimejera bure kia birigodu rekoduiagu Turegoduia tuwororo okwabijire. Bure kia birigodu rekoduiagu.						
