id	source	portuguese	reviewed	portuguese_reviewed	segmentation	gloss	editorial_note
BOR-CORBO-OIE-P-RODOLFO-M85-001	Oieigo jetuiaga Oieigo jetuiaga Bokodoriware iga oieigo wararere taagaruia ako utugodo umugu birigodure tudugarege Motuio Rarudoge eiaruru umuguia tumeriworo rukoreuge etoiaga urugu otogudawu ako muguio cegimejera bopaguduia Kuogori Bakororo tuiagajejewu okwabijire. Oieigo jetuiaga. Na kana kaina mato. Na kana kaina mato akiarega akagaru otogewu Iparebo Bakororo cegimamomo ikuie ewiria urugu paduiagu ekumodureu bopaguduia Arogia Bakororo akonaia otoiogire. Na kana kaina mato. Na podoje tugu je toro. Na podoje tugu je toro. Ecewu bataruduia Arowe Ewororo jaiowejewu tabarigogo akurarareu oiaga urugu paduiagu turemoduia bopaguduia Okoge Meriribo apodoje okwa bukorire. Na podoje tugu je toro. Ekorira ako butuie mato. Ekorira ako butuie mato cemorijewu uruberireu bopaguduia Enawureu Bakororo tuwoie ecewu iturabo tadawuge edugo aregodudo tarege Aroeceba Bakororo ceigoia turugudodu okwabijire. Ekorira ako butuie mato.						
BOR-CORBO-OIE-P-RODOLFO-M85-002	Ema taiagoia uiroga pureuwore. Ema taiagoia uiroga pureuwore. Mariguruboreu bopaguduia Bokodore Eimejera aiagoia uiroga ecewu Kiogori Bororo bukejewuge eimejera atogewu Tamigiare Bakororo jakoia reuwore. Ema taiagoia uiroga pureuwore.						
BOR-CORBO-OIE-P-RODOLFO-M85-003	Awuiarega turugodu rekoducedo. Awuiarega turugodu rekoducedo. Iwaia padugaiewu uruberireu bopaguduia Tugokia Bakororo tuwoie turugodu rekoducedo towoge ewidoduia tudugo opoia Meri rutu uia jetugae. Awuiarega turugodu rekoducedo.						
BOR-CORBO-OIE-P-RODOLFO-M85-004	Ema tabariwa aio pado uiroga pureuwore. Ema tabariwa aio pado uiroga pureuwore.Meririareu bopaguduia Iturawore Eimejera aparuia aio pado uiroga ecewu Arigao Bororo bukejewuge eimejera atogewu Aroia Bakororo upariwa aio pado reuwore. Ema tabariwa aio pado uiroga pureuwore. Rukomagadoge tagire nono. Rukomagadoge tagire nono Rukomagadoge tagiarega tare are aku Aijeiare Bakororo ekiga padarogwareu akaru rekoducedo rukomagadoge tamuguia Baru Baru uia jketugae. Rukomagadoge tagire nono.						
BOR-CORBO-OIE-P-RODOLFO-M85-005	Meriri urugudo akije toro. Meriri urugudo akije toro. Meriri urugudo utaboioreu bopaguduia Okoge Awuruio akije toro akuwoduia akudawu bóia bukorire. Meriri urugudo akije toro. Bure kia birigodu rekoduiagu. Bure kia birigodu rekoduiagu Akare ikimamomo Bakugumoe Eimejera bure kia birigodu rekoduiagu aroe turegoduia tuwororo okwabijire. Bure kia birigodu rekoduiagu.						
BOR-CORBO-OIE-P-RODOLFO-M85-006	Erewakawuio. Erewakawuio mariguruboreu bopaguduia Bokodore Eimejera emareroka aio oiaga utorododu umugure tuwororo paru bukorire. Utugarece tuiorudu aio butudo pu. Alkare irokace. Akare irokace iturabo meririadowu akare ikimamomo rukoreuge etoiaga urugudoka bopaguduia Kaiaruroe						
BOR-CORBO-OIE-P-RODOLFO-M85-007	Eimejera akije toro akuie jurereu etadugododu tabo kaiworo paru bukorire. Kaiworo arece tugu maka tabowu.						
BOR-CORBO-OIE-P-RODOLFO-M85-008	Awuiarega iabado okwawugeje. Awuiarega iabado aokwawugeje aturuwareu bopaguduia Etoiagare Bakororo tuwoie tuworoio padarogwareu jorigiare etoiaga atugo iabado toiaga betowaia okwawugeje tumana eigoia reruio jemagudu parugajeje.. Awuiarega iabado okwawugeje. Kuogodoka akije toro. Kuogodoka akije toro. Kuogodoka are aku Tamigiare Bakororo akije toro maidoduia aewere okwawugeje. Kuogodoka akije toro.						
BOR-CORBO-OIE-P-RODOLFO-M85-009	Egowainotu paduregaje. Egowainotu paduregaje Aredo Cibae Eimejerarodo egowainotu paduregaje, tuiorudu iogoduia tagiri tororeu oia bukejewu tuguie jurereu etadugo aregodureu aruduia awugeje. Egowainotu paduregaje. Jorudu ekumodureu akire nono. Jorudu ekumodureu akire nono. Jorudu ekumodureu bopaguduia Bataroe Eimejera akire nono akiarega akagaru metuiagu atugarege eigoia reruio jemagudu parugajeje. Jorudu ekumodu akire nono.						
BOR-CORBO-OIE-P-RODOLFO-M85-010	Aio batodu kaina mato. Aio batodu kaina mato Aredo Kujiboe Eimejerarodo eigerere tugurugugoe eceratu padudore tarowewuio Aiadugodoge Eimejera aio batodu okwawugeje. Aio batodu kaina mato. Inowu arowe tawuduia Itobore pijina mato. Inowu arowe tawuduia Itobore pijina mato. Inowu arowe tawuduia Itobore Jaiowejewu tagiga kogereu oiaga urugu paduiagu taregoduia tawororo okwawugeje. Inowu arowe tawuduia Itobore pijina mato.						
BOR-CORBO-OIE-P-RODOLFO-M85-011							
BOR-CORBO-OIE-P-RODOLFO-M85-012	Akagurudoce uwakururere. Akagurudoce uwakururere. Tuguie Bokodori ekera ekumodu tabowu bopaguduia Porireu Bakororo kagurudoce akare Ukigaio Bakororo akururere tawure akuruia tawabo acirio kiadodu okwawugeje. Akagurudoce uwakururere. Etoro ikudodu paduregaje. Etoro ikudodu paduregaje bopaguduia Koge Edugo Bakororo ecebacewu etoro ikudodu paduregaje aroe turododuia tuwororo uia jetugae. Etoro ikudodu paduregaje.						
BOR-CORBO-OIE-P-RODOLFO-M85-013	Utugarece ewainodu jeturegaje. Utugarece ewinodu paduregaje. Mamuiawu padarogwareu jorigiare etoiaga atugo are cimejera Koge Edugo Bakororo akadugo aruduia awugeje. Utugarece ewainodu paduregaje. Aparigogo. Aparigogo jorigiare etoiaga atugo ameriri okwapado uiroga akare Parabara Eimejera uparigogo jorigiare etoiaga atugo umeriri okwa pado ureuwore. Ema ecerae tamoi. OIEIGO DOS ECERAE						
BOR-CORBO-OIE-P-RODOLFO-M85-014	Oieigo jetuiaga. Oieigo jetuiaga Bokodoriware iga oieigo wararere taagaruia utugarege motuio rarudoge eiaruru umuguia akiri tororeu oia bukejewu uwuria etarireu cegimejera bopaguduia Enawureuare Bakororo tuiagajejewu okwabijire. Oieigo jetuiarega. Napodoje tugu je toro. Na podoje tugu je toro ecewu bataruduia Arowe Ewororo jaiowejewu utugarege Ekera Paguduia ukurugugoe enogwa akiri uredudu okwabejewu bopaguduia Koedugo Bakororo apodoje okwa bukorire. Napodoje tugu je toro. Napodoje okwa bukorire.						
BOR-CORBO-OIE-P-RODOLFO-M85-015							
BOR-CORBO-OIE-P-RODOLFO-M85-016	Ema tawiria uiroga pureuwore. Ema tawiria uiroga pureuwore kuogoreu bopaguduia Okoge Kudoroe Eiari awiria uiroga cewu urugudu Bororo bukejewu eimejera atogewu Enogujeba Bakororo biria ureuwore. Ema tawiria uiroga pureuwore. Mamareuge tagire nono. Mamareuge tagire nono. Mamareuge tagiarega tare are aku Bakugumoe Eimejera ewaiga aio kuogoreu akaru rekoducedo mamareuge tamuguia Iturabo uia jetugae. Mamareuge tagire nono.						
BOR-CORBO-OIE-P-RODOLFO-M85-017	Akiguia urugudo aki je toro. Akiguia urugudo aki je toro. Akiguia urugudo bopaguduia Okogebo Bakororo aki je toro bukuoduia akudawu bóia bukorire. Akiguia urugudo aki je toro. Bure kia birigodu rekoduiagu. Bure kia birigodu rekoduiagu. Akare ikimamomo Okoge Bakororo bure kia birigodu rekoduiagu, aroe turegoduia tuwororo okwabijire. Bure kia birigodu rekoduiagu.						
BOR-CORBO-OIE-P-RODOLFO-M85-018	Enogwa iemaro paduregaje. Enogwa iemaro paduregaje uiedaga Aroe Bakororo enogwa iemaro paduregaje tuiorudu iogoduia tadugo padarogwareu oia bukejewu tuwiadawu ikuie ewiria urugu aregodureu aruduia awugeje. Enogwa iemaro paduregaje. Bure kia birigodu rekoduiagu. Bure kia birigodu rekoduiagu. Akare ikimamomo Aiadugodoge Eimejera bure kia birigodu rekoduiagu Arowe turegoduia tuwororo okwabijire. Bure kia birigodu rekoduiagu.						
BOR-CORBO-OIE-P-RODOLFO-M85-019	Ikoemama ikudodu paduregaje. Ikoemama ikudodu paduregaje. bopaguduia Etoiagare Bakororo ecebacewu ikoemama ikudodu						
BOR-CORBO-OIE-P-RODOLFO-M85-020	paduregaje, arowe turododuia Bakororo uia jetugae.. Ikoemama ikudodu paduregaje. Ukuie kudugodu paduigaje. Ukuie kudugodu paduigaje towo awogodori padugaiewu uruberireu bopaguduia Okoge Etaro Bakororo ukuie kudugodu paduigaje arowe turododuia tuwororo uia jetugae. Kuie kudugodu paduigaje.						
BOR-CORBO-OIE-P-RODOLFO-M85-021	Akiri redudu muguiagu. Akiri redudu nuguiagu uiedaga Bokuojeba Bakororo ecebacewu akiri redudu muguiagu Arowe turododuia tuiogwaio owotogajeje. Akiri redudu muguiagu. Uwaiga itorodu muguiagu. Uwaiga itorodu muguiagu uruberireu are aku Aiororo Eimejera uwaiga itorodu muguiagu toge ewidoduia Iturabo uia jetugae. Uwaiga itorodu muguiagu.						
BOR-CORBO-OIE-P-RODOLFO-M85-022	Ako utugodu muguiagu. Ako utugodu muguiagu auiedaga Owoio Coió Bakororo ako utugodu muguiagu tuiorudu iogoduia cimo kuje eiegiri uredudu okwa bukejewu cenoia kakejewu padarogwareu jorigiare etoiaga atugo aregodureu aruduia awugeje. Ako utugodu muguiagu. Enowagoro awaduna aregodu ona togire Enowagoro awaduna aregodu ona togire. Aredo Tamigiare Bakorororodo eigerere taroweuio arowe aijoio unowagoro awaduna aregodu ona togire. Enowagoro awaduna aregodu ona togire.						
BOR-CORBO-OIE-P-RODOLFO-M85-023	Ieraro makudu wararere tugarece eta. Ieraro makudu wararere tugarece eta. Bopaguduia Cibae Eimejera aiieraro aiduia eimamomo padarogwareu jurereu enawu urugu makudu wararere tugarece eta. Ieraro makudu wararere tugarece eta.						
BOR-CORBO-OIE-P-RODOLFO-M85-024	Aioreruna aioji toro. Aioreruna aioji toro. Bopaguduia Aijoio Bakororo cebarigogo aturuwareu okwa akiri uredudu aioreruna ekumodureu bopaguduia Koge Awuruio aioji toro aremoduia aiogwaio okwa bukorire. Aioreruna uwaioji toro.						
BOR-CORBO-OIE-P-RODOLFO-M85-025	Enogwa iemaro paduregaje. Enogwa iemaro paduregaje. Aredo Akarubo Bakorororodo enogwa iemaro paduregaje tuiorudu iogoduia tarowewuio Arowe Aijoio pudabowu bopaguduia Aroe Egiri Bakororo aregoduia awugeje. Enogwa iemaro paduregaje. Kuodu jireka nono. Kuodu jiroka nono. Kuodu are aku Nabure Eimejera kuodu bureroka okwa akiridodu padure Padarobo owotogajeje. Kuodu jireka nono.						
BOR-CORBO-OIE-P-RODOLFO-M85-026	Kudu iemaro paduregaje. Kudu iemaro paduregaje. Akare ikimamomo Iwarare Eimejera kudu iemaro paduregaje arowe turododuia tuiogwaio owotogajeje. Kudu iemaro paduregaje. Cibae taro urugudo akije toro. Cibae taro urugudo akije toro. Cibae etaro urugudo bopaguduia Aogware Bakororo akije toro akuoduia akudawu bóia bukorire. Cibae etaro urugudo akije toro.						
BOR-CORBO-OIE-P-RODOLFO-M85-027	Uwudore kiagodu butui mato. Uwudore kiagodu butui mato. Akare ikimamomo Kuarare Eimejera uwudore kiagodu butui mato, arowe turododuia tuwororo uia jetugae. Uwudore kiagodu butui mato. Bure kia birigodu rekoduiagu. Bure kia birigodu rekoduiagu. Akare ikimamomo Joware Eimejera bure kia birigodu rekoduiagu arowe turododuia tuwororo okwabijire. Bure kia birigodu rekoduiagu.						
BOR-CORBO-OIE-P-RODOLFO-M85-028							
BOR-CORBO-OIE-P-RODOLFO-M85-029	Tarududoce roije toro. Tarududoce roije toro. Aredo Aroia Bakorororodo tarududoce togarowewuio Kuiade Eimejera pudabowu bopaguduia Bokodori Akiriare Bakororo roije toro rerugoduia tuwororo okwabijire. Ema tarududoce roije toro. Bure kia birigodu rekoduiagu. Bure kia birigodu rekoduiagu. Akare ikimamomo Buturue Eimejera bure kia birigodu rekoduiagu Arowe turododuia tuwororo okwabijire. Bure kia birigodu rekoduiagu.						
BOR-CORBO-OIE-P-RODOLFO-M85-030	Ema parigogo urugu jeto awadudo aregodu ona togire. Ema parigogo urugu jeto awadudo aregodu ona togire. Aredo Ikuiebo Bakorororodo ona tarowewuio Kurugugoe Eimejera pudabowu bopaguduia Koegiri Bakororo uparigogo urugu jeto awadudo aregodu ona togire rekoduia tuwororo okwabijire. Ema parigogo urugu jeto awadudo aregodu ona togire. Bure kia birigodu rekoduiagu. Bure kia birigodu rekoduiagu. Akare ikimamomo Bokodori Eimejera bure kia birigodu rekoduiagu arowe turododuia tuwororo okwabijire. Bure kia birgodu rekoduiagu.						
BOR-CORBO-OIE-P-RODOLFO-M85-031	Etoiaga iemaro paduregaje. Etoiaga iemaro paduregaje uiedaga Umuguio Bakororo ecebacewu etoiaga iemaro paduregaje aroe turododuia Taboguru uia jetugae. Etoiaga iemaro paduregaje. Etoiaga atugodoka akije toro. Etoiaga atugodoka akije toro. Etoiaga atugodoka akare Aroe Morigao Bakororo akonaia kajejewu padarogwareu jorigiare etoiaga atugodoka ikuie epoboia ekumodu bopaguduia Kuduriga Bakororo akije toro koia cimo kuje eiegiri rerudodu paduregaje. Etoiaga atugodoka akije toro.						
BOR-CORBO-OIE-P-RODOLFO-M85-032							
BOR-CORBO-OIE-P-RODOLFO-M85-033	Jorudu kiogo muguiagu. Jorudu kiogo muguiagu. Aredo Cibae Eimejerarodo jorudu kiogo muguiagu tagiridodu tabo Aroe Bakororo pudabowu uparigogo urugudodu parugajeje. Jorudu kiogo muguiagu. Akiri waratuie tagire nono. Akiri waratuie tagiarega tare are aku Mano Bakororo enawuia kuogoreu akaru rekoducedo akiri waratuia tamuguia Taroiabo uia jetugae. Akiri waratuie tagire nono.						
BOR-CORBO-OIE-P-RODOLFO-M85-034	Akiri redudu muguiagu.. Akiri redudu muguiagu. Aredo Mano Bakorororodo akiri redudu muguiagu tarowewuio arowe Aijoio pudabowu bopaguduia Porireu Bakororo aregoduia awugeje. Akiri redudu muguiagu. Uwogodori jeragudu butui mato. Uwogodori jeragudu butuiemato. Bopaguduia Koge Meriribo uwogodori jeragudu butui mato tuigoia cimo kuje eiegiri rerudodu tabo Arowe tuwororo parugajeje. Uwogodori jeragudu butuie mato.						
BOR-CORBO-OIE-P-RODOLFO-M85-035	Etaro ekudodu paduregaje. Etaro ekudodu paduregaje. Bopaguduia Koge Ekudu Bakororo ecebacewu etaro ekudodu paduregaje aroe turododuia Kugarubo uia jetugae. Etaro ekudodu paduregaje. Ema tamorido bure roka pureuwore. Ema tamorido bureroka pureuwore. Akaruio bopaguduia Tugokiareu Bakororo ema tamorido bure roka pureuwore tagiga oiagadodu padure taiogwaio owotogajeje. Ema tamorido bure roka pureuwore.						
BOR-CORBO-OIE-P-RODOLFO-M85-036	Akowainotu muguiagu. Akowainotu muguiagu. Aredo Kuogori Bakorororodo akowainotu muguiagu tuiorudu iogoduia tuwiria						
BOR-CORBO-OIE-P-RODOLFO-M85-037	ekuio oia bukejewu tuguie jurereu etadugo aregodureu aruduia awugeje, Akowainotu muguiagu. Uparigogo okwagujo muguiagu. Uparigogo okwagujo muguiagu Akare ikimamomo Utugoio Eimejera uparigogo okwagujo muguiagu aroe turododuia tuwororo uia jetugae. Uparigogo okwagujo muguiagu. OIEIGO AO Upodoje tugu je toro. Upodoje tugu je toro. Bokuoduia arireu oiaga urugu paduiagu atugoia bopaguduia Koe Etaro Bakororo apodoje okwa bukorire. Apodoje tugu je toro. Atugododu jaeiarega. Atugododu jaeiarega. Aredo Akarubo Bakorororodo eigerere tumorijewu tarowewuio arowe Aijoio bopaguduia Okoge Cibaiari atugododu bureradore bokuoduia tugudawu bóia bukorire. Atugododu jaeiarega. Tare kamace akaru tugu je toro. Tare kamace akaru tugu je toro. Aroduio rukomagaio tawidoduia tabaguduia bopaguduia Barameri Bakororo ewaiga aio kuogoreu akaru rekoducedo akuie eruduia Meriribo Bororo aio jetugae. Tagikamace Akaru tugu je toro.						
BOR-CORBO-OIE-P-RODOLFO-M85-038							
