id	source	portuguese	reviewed	portuguese_reviewed	segmentation	gloss	editorial_note
BOR-CORBO-OIE-PARA-DEUS-GARCAS-001	Oieigo jetuiaga, Bokodoriware oieigo wararere taagaruia utugarege Motuio Rarudoge eiaruru muguio akiri tororeu oia bukejewu padarogwareu uwiria etarireu urugu remoduia ako muguia cegimejera bopaguduia CIBAE EIMEJERA tuiagajejewu onawuio okwabijire. Oieigo jetuiaga.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-002	Ina kana kaina mato, akiarega akagaru otogewu IPAREBO BAKORORO cebariwa ikuiereu atugo paduiagu ekumodureu bopaguduia AROGIA BAKORORO akonaia otoiogire. Ina kana kaina mato.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-003	Na apodojo tuguje toro, ecewu bataruduia aroe ewororo jaiobejewu tabarigogo okogereu oiaga urugu paduiagu turemoduia bopaguduia PORIREU BAKORORO apodoje okwa bukorire. Na apodoje tuguje toro.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-004	Ekorira ako butuie mato, cemorijeu uruberireu bopaguduia KOGE EDUGO BAKORORO tuwoie cewu iturabo tadawuge edugo aregodudo tarege KURUGUGOE EIMEJERA ceigoia turugudodu okwabijire. Ekorira ako butuie mato.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-005	Ema taiagoia uiroga pureuwore marigurubureu bopaguduia BOKODORE EIMEJERA aiagoia uiroga ecewu Apibo Bororo bukejewuge eimejera atogewu AROECEBA BAKORORO jakoia reuwore. Ema taiagoia uiroga pureuwore.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-006	Awuiarega turugodu rekoducedo, iwoia padugaiewu uruberireu bopaguduia OKOGE MERIRIBO tuwoie turugodu rekoducedo toge ewidoduia tudugo paia meri rutu uia jetugae. Awuiarega turugodu rekoducedo.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-007	Ema tabariwa aio pado uiroga pureuwore, meririareu bopaguduia OKOGE KUDOROE EIARI aparuia aio pado uiroga ecewu Kiegeri Bororo bukejewuge eimejera atogewu AIJOIO BAKORORO upariwa aio pado ureuwore. Ema tabariwa aio pado uiroga pureuwore.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-008	Rukomagadoge tagire nono, rukomagadoge tagiarega tare are aku MERIRI BAKORORO ekiga okogereu oiaga urugu akaru rekoducedo rukomagadoge tamuguia barubaru uia jetugae. Rukomagadoge tagire nono.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-009	Meriri urugudo akije toro, meriri urugudu okwaguioreu bopaguduia BATAROE EIMEJERA akije toro akuoduia akudawu baia bukorire. Meriri urugudu akije toro.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-010	Burekia birigodu rekoduiagu, akare ikimamomo KARAWUIO EIMEJERA burekia birigodu rekoduiagu turegoduia tuwororo okwabijire. Burekia birigodu rekoduiagu.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-011	Erewakawuio, mariguruboreu bopaguduia CIBAE ERUDU BAKORORO emareroka aio metuia aio merireu urugu iabadodu umugure tuwororo paru buko. Utugarece tuiorudu aio butudo puwugeje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-012	Akare irokace, orowaribo meririadowu akare ikimamomo AROWE TUBORE enonoia ekumodudoka bopaguduia ITURAWORE EIMEJERA akije toro akuie jurereu etadugododu tabo kaiworo paru bukorire. Kaioro arece tugu maka taboi.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-013	Awuiarega aiabado okwawugeje, aturuwareu bopaguduia ETOIAGARE BAKORORO tuwoie tuwororo padarogwareu jorigiare etoiaga atugo iabado toiaga betowaia tumanae eigoia reruio jemagudu parugajeje. Awuiarega aiabado okwawugeje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-014	Kuogodoka akije toro, kuogodoka are aku KAIADOWU BAKORORO akije toro maidoduia aewere okwawugeje. Kuogodoka uwakije toro.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-015	Egowainodu paduregaje, aredo AROGIA BAKORORORODO egowainodu padurgaje tuierudu ioguduia tagiri tororeu oia bukejewu tuguie jurereu etadugo aregodureu aruduia awugeje. Egowainodu paduregaje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-016	Jorudu ekumodureu akire nono, jorudu ekumodureu bopaguduia OKOGE KUOGOREU akire nono akiarega akagaru metuiagu atugarege eigoia reruio jemagudu paduregaje. Jorudu ekumodureu akire nono.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-017	Aio batodu kaina mato, aredo KUJIBO EIMEJERARODO eigerere tuguruguge eceratu padudore tarowewuio aiadugodoge eimejera aio batodu okwawugeje. Aio batodu kaina mato.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-018	Inowu aroe tawuduia Itobore pijina mato, inowu arowe tawuduia Itobore jaiowejewu tagiga padarogwareu oiaga urugu paduiagu taregoduia tawororo okwabijire. Inowu aroe tawuduia Itobore pijina mato.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-019	Akagurudoce uwakururere, tuguie bokodore ekera ekumodu tabowu mariguruboreu bopaguduia BOKODORE EIMEJERA akagurudoce akare BOTORE BAKORORO akururere tawure akuruia tawabo acirio kiadodu okwawuegeje. Akagurudoce uwakururere.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-020	Etore ikudodu paduregaje, bopaguduia KUDOROEIARI BAKORORO ecebacewu etoro ikudodu paduregaje aroe turododuia tuwororo uia jetugae. Etoro ikudodu paduregaje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-021	Utugarece ewainodu jeturegaje, mamuiawu padarogwareu uwuria etarireu urugu are cimejera OKOGE EKUDU BAKORORO akadugo aruduia awugeje. Utugarece ewainodu jeturegaje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-022	Aparigogo jerigiare, etoiaga atugo ameriri okwa pado uiroga akare TOROWARI BAKORORO uparigogo jerigiare etoiaga atugo umeriri okwa pado ureuwore. Ema cerae tamoi. __________________________________						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-023	Oieigo jetuiaga Bokodoriware eiga oieigo wararere taagaruia mamuiawuge eiaiwo tororeu uredudu okwa bukejewu aio metuia meriri urugu rerudodu cegimejera bopaguduia KUOGORI BAKORORO tuiagajejewu okwabijire. Oieigo jetuiaga.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-024	Na apodoje tuguje toro, cewu bataruduia taboguru jaiobejewu tameriworo rukoreuge etoiaga urugu paduiagu turemoduia bopaguduia OGOGEDUGO BAKORORO apodoje okwa bukorire. Na apodoje tuguje toro.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-025	Ema tawiria uiroga pureuwore, kuogoreu bopaguduia BARAMERI BAKORORO awiria uiroga ecewu Ecerae Bororo bukejewuge eimejera atogewu IPARECEBA BAKORORO biria reuwore. Ema tawiria uiroga pureuwore.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-026	Mamareuge tagire nono, mamareuge tagiarega tare are aku OTOBOGA EIMEJERA ewaiga aio kuogoreu akaru rekoducedo mamareuge tamuguia Iturabo uia jetugae. Mamareuge tagire nono.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-027	Akiguia urugudo akije toro, akiguia urugudo bopaguduia KOEDUGO BAKORORO akije toro bokuoduia akudawu baia bukorire. Akiguia urugudo akije toro.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-028	Burekia birigodu rekoduiagu, akare ikimamomo OKOGE BAKORORO burekia birigodu rekoduiagu aroe turododuia tuwororo okwabijire. Burekia birigodu rekoduiagu.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-029	Enogwa iemaro paduregaje, uiedoga ENOGUJEBA BAKORORO enogwa iemaro paduregaje tuierudu ioguduia tadugo padarogwareu oia bukejewu tuwiedawu ikuie biria urugu aregodureu aruduia awugeje. Enogwa iemaro paduregaje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-030	Burekia birigodu rekoduiagu, akare ikimamomo EKOE EIMEJERA burekia birigodu rekoduiagu aroe turegoduia tuwororo okwabijire. Burekia birigodu rekoduiagu.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-031	Koemama ikudodu paduregaje, bopaguduia AOGWARE BAKORORO ecebacewu koemama ikudodu paduregaje aroe turododuia Bakororo uia jetuage. Koemama ikudodu paduregaje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-032	Ukuie kudugodu paduigaje, to awogodori padugaiewu uruberireu bopaguduia BUTUGOE EIMEJERA ukuie kudugodu paduigaje aroe turododuia tuwororo uia jetugae. Ukuie kudugodu paduigaje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-033	Akiri uredudu muguiagu, uiedoga BOKUOJEBA BAKORORO ecebacewu akiri uredudu muguiagu aroe turododuia tuiogwaio owotogajeje. Akiri uredudu muguiagu.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-034	Uwaiga itorodo muguiagu, uruberireu are aku ATURUWA BAKORORO uwaiga itorodu muguiagu toge ewidoduia iturabo uia jetugae.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-035	Ako tugodu muguiagu, uiedaga UWOIOCOIO BAKORORO ako tugodu muguiagu tuierudu iogoduia cimo kuje eiegiri uredudu iabadodu apumoio enogwa urugu aregodureu aruduia awugeje. Ako tugodu muguiagu.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-036	Unowagoro awaduna aregodu ona togire, aredo TAMIGIARE BAKORORO eigerere tarowewuio arowe aijoio unowagoro awaduna ona togire rekoduia tuwororo okwabijire. Unowagoro awaduna aregodu ona togire.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-037	Ieraro makudu wararere utugarece eta, bopaguduia OKOGE EKUREU BAKORORO aieraro aiduia ekera metuia meriri urugu makudu wararere utugarece eta. Ieraro makudu wararere utugarece eta.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-038	Aioreruna aioji toro, bopaguduia TAMIGIARE BAKORORO cebarigogo aturuwareu okwa akiri uredudu aioreruna ekumodureu bopaguduia OKOGEIA BOKODORI aioji toro aremoduia aiogwaio okwa. Aio reruna uwaioji toro.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-039	Etoiaga iemaro paduregaje, Uiedaga BORO BAKORORO ecebacewu etoiaga iemaro paduregaje aroe torododuia taboguru uia jetugae. Etoiaga iemaro paduregaje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-040	Burekia birigodu rekoduiagu, akare ikimamomo KUWARARE EIMEJERA burekia birigodu rekoduiagu aroe turegoduia tuwororo okwabijire. Burekia birigodu rekoduiagu.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-041	Enogwa iemaro paduregaje, aredo IKUIEBO BAKORORORODO enogwa iemaro paduregaje tuierudu iogoduia tarowewuio Kuruguge Eimejera pudabowu bopaguduia CIBAEIKARE BAKORORO aregoduia awugeje. Enogwa iemaro paduregaje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-042	Ukuodu jiroka nono, ukuodu are aku BUTURORI BAKORORO ukudawu bureroka okwa akiridodu padure Padarobo owotogajeje. Ukuodu jiroka nono.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-043	Kudu iemaro paduregaje, akare ikimamomo IWARARE EIMEJERA kudu iemaro paduregaje aroe turododuia tuiogwaio owotogajeje. Kudu iemaro paduregaje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-044	Cibae taro urugudo akije toro, Cibae taro urugudo bopaguduia AROEKUIE BAKORORO akije toro bokuoduia akudawu baia bukorire. Cibae taro urugudo akije toro.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-045	Jorudu kiogo muguiagu, aredo CIBAIBO BAKORORORODO jorudu kiogo muguiagu tagiridodu tabo Aroe Bakororo pudabowu uparigogo urugudodu parugajeje. Jorudu kiogo muguiagu..						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-046	Etoiaga atugodoka akije toro, etoiaga atugodoka akare AIORORO EIMEJERA uworoio padarogwareu jorigiare etoiaga atugodoka ikuie epoboia ekumodudoka bopaguduia BOKODORI AKIRI BAKORORO akije toro maedoduia aewere okwawugeje. Etoiaga atugodoka akije toro.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-047	Uwogodori jeragudu paduregaje, bopaguduia OKOGE CIBAIARI uwogodori jeragudu paduigaje uigoia cimo kuje eiegiri uredudu rerudodu tabo aroe tuwororo parugajeje. Uwogodori jeragudu paduregaje.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-048	Ako tugodu muguiagu, uiedaga UMUGUIO BAKORORO ako tugodu muguiagu tuigoia tuworoio okwaguioreu aroeceba ekenawu urugu rerudodu aroe tumarido arireu umugudodu parugajeje. Ako tugodu muguiagu.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-049	Oiaga awaduna aregodu ona togire, aredo AROIA BAKORORORODO eigerere turowewuio KUIADE EIMEJERA pudabowu BAKARAIE IKARE BAKORORO oiaga awaduna aregodu ona togire rekoduia tuwororo okwabijire. Oiaga awaduna aregodu ona togire.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-050	Akiri waratuie tagire nono, akiri waratuie tagirarega tare are aku COBAIO BAKORORO enawuia kuogoreu akaru rekoducedo akiri waratuie tamuguia Taroiabo uia jetugae. Akiri waratuie tagire nono.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-051	Ema tamorido bureroka pureuwore, akaruio bopaguduia BAIARI BAKORORO ema tamorido bureroka pureuwore tagiga oiagadodu padure taiogwaio owotogajeje. Ema tamorido bureroka pureuwore.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-052	Uparigogo okwagujo umuguiagu, akare ikimamomo UTUGOIO EIMEJERA uparigogo okwagujo muguiagu rerudoduia tuwororo okwabijire. Uparigogo okwagujo umuguiagu.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-053	Akowainotu muguiagu, aredo ENAWUREU BAKORORORODO akowainotu muguiagu tuierudu iogoduia tuwiria ekuio oia bukejewu tuguie bokodori ekera ekumode aregodureu aruduia awugeje. Akowainotu muguiagu.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-054	Etoro ikudodu paduregaje, bopaguduia CIBAEKIA BAKORORO ecebacewu etaro ikudodu paduregaje aroe turododuia Kugarubo uia jetugae. Etoro ikudodu paduregaje. OIEIGO AO:						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-055	Upodoje tuguje toro, bokuoduia arireu oiaga urugu paduiaga atugoia bopaguduia PORUIEPA BAKORORO apodoje okwa bukorire. Podoje tuguje toro.						
BOR-CORBO-OIE-PARA-DEUS-GARCAS-056	Atugododu jaeiarega, aredo IPARE EIMEJERARODO eigerere turowewuio aroe aijoio pudabowu bopaguduia MAGUREREU BAKORORO atugododu bureradore bokuoduia tagudawu baia bukorire. Atugododu jaeiarega.						
