id	source	portuguese	reviewed	portuguese_reviewed	editorial_note
BOR-CORBO-PAU-001	Oinore boe egore	É assim que contam os bororos	Oinore boe egore:	É assim que contam os bororos	
BOR-CORBO-PAU-002	Bóe emagore bakaruji	Os bororos falam em mitos	Boe emagore bakaru ji.	Os bororos falam em mitos	
BOR-CORBO-PAU-003	Bakaru jeture pumegi	Os bakuru estao um ao lado do outro		Os bakuru estão um ao lado do outro	
BOR-CORBO-PAU-004	Bakaru kodure toro boe [parugajeje]	Bakaru voou para la [por toda a parte]	Bakaru kodure toro boe parugajeje	Bakaru voou para lá [por toda a parte]	
BOR-CORBO-PAU-005	Bakaru ure oino ia boe etaregoduji	A notícia é assim que um bororo chegou	Bakaru ure oino ia boe etaregodu ji	A notícia é assim que um bororo chegou	
BOR-CORBO-PAU-006	Ia bakarurogu oino imagomode Tagogorogu roji	Eu irei contar um bakaru assim sobre os feitos da corujinha	Ia bakarurogu oino imagomode Tagogorogu ro ji	Eu irei contar um bakaru assim sobre os feitos da corujinha	
BOR-CORBO-PAU-007	Boe emeruiure Boe emeru keje	Sobre como os bororos caçavam, sobre como caçam		Sobre como os bororos caçavam, sobre como caçam	
BOR-CORBO-PAU-008	nowu tagogorogu kodui boe ebo	Esta coruja indo (acompanhando) com os bororos		Esta coruja vai acompanhando os bororos	
BOR-CORBO-PAU-009	Du ito pemega-gä ragaie	Por isso ela é boa de flechar forte	Du ito pemegago ragaie	Por isso ela é boa de flechar forte	
BOR-CORBO-PAU-010	merumode jorudumode baregei jorudumode jugodogei	Irá/Caçará vai ver os animais vai ver os queixadas	merumode jorudumode barege ji jorudumode jugodoge ji	Irá caçar, vai ver os animais, vai ver os queixadas	
BOR-CORBO-PAU-011	nowu aroe ebo du ito pemegare nowu itomode utugu jetu kigodure baregei, kiogoji, karoji, du	Com estes espíritos então o seu flechar é bom, ele vai flechar com sua flecha sempre  animais, pássaors, peixes,	nowu aroe ebo du ito pemegare nowu itomode utugu jetu kigodure barege ji, kiogo ji, karo ji, du	Com estes espíritos, então, o seu flechar é bom; ele vai acertar sempre animais, pássaros e peixes com sua flecha	
BOR-CORBO-PAU-012	Awu ime iage etaidu jokodukare ji	Por isso Alguns destes homens não gostam muito dela		Por isso, alguns destes homens não gostam muito dela	
BOR-CORBO-PAU-013	Du ia imedu merure tuginoi-godu	Por isso um homem (sai para) caminha/caça sozinho	Du ia imedu merure tuginoigodu	Por isso, um homem sai para caminhar/caçar sozinho	
