file	ref	titulo	lingua	local	ano	autor
file01.txt	ref01	BOE EKEROIA BA OKWJIWU	Bororo	LOCAL01	2006	Ochoa Camargo, Gonçalo (Cibaikare)
file02.txt	ref02	KIE EKE ROIA	Bororo	LOCAL02	2006	Ochoa Camargo, Gonçalo (Cibaikare)
file03.txt	ref03	BOKODORI ECERAE EKE ROIA	Bororo		2006	Ochoa Camargo, Gonçalo (Cibaikare)
file04.txt	ref04	OIEIGO JIWU BAKARU	Bororo	Artigo OIEIGO		Ochoa Camargo, Gonçalo (Cibaikare)
file05.txt	ref05	Artigo OIEIGO	Bororo	LOCAL03	1986	Ochoa Camargo, Gonçalo (Cibaikare)
file06.txt	ref06	AROE ETAWUJEDU - RITUAIS BORORO	Bororo	Meruri	1986	Frederico Coqueiro & Ochoa Camargo, Gonçalo (Cibaikare)
file07.txt	ref07	Frederico Coqueiro autobiografia	Bororo	Meruri	1982	Frederico Coqueiro & Ochoa Camargo, Gonçalo (Cibaikare)
file08.txt	ref08	NT-Bororo	Bororo	LOCAL08	YEAR08	AUTHOR08
file09.txt	ref09	BAKARU MAIWU	Bororo	Mato Grosso	1992	Ochoa Camargo, Gonçalo (Cibaikare), SBD
file10.txt	ref10	ÊXODO 2	Bororo	LOCAL10	YEAR10	AUTHOR10

